"recommendation_id","priority_rank","feature_family","implementation_bucket","source_name","source_url","native_geography","coverage_scope","local_data_ready","available_at_bg","available_at_tract","ags_consistent","proposed_feature_examples","proposed_transformation_summary","value_rationale","risk_notes"
"public_signal_01_sld_activation",1,"street_network_and_location_efficiency","implementable_now_from_local_data","EPA Smart Location Database v3.0","https://www.epa.gov/smartgrowth/smart-location-mapping","block group","National block-group coverage; most variables nationwide; transit metrics partial",true,true,true,true,"intersection density; four-way share; land-use mix; jobs-housing balance; transit access; walkability","Use BG-native metrics; aggregate to tract and jurisdiction by appropriate weights; retain transit availability flags; winsorize heavy-tailed densities","Highest ready-now upgrade because the source is already on disk and directly fills the built-form and accessibility gap in the ACS plus LODES frame","Transit fields are incomplete outside served metros and need explicit coverage flags"
"public_signal_02_tiger_roads_network",2,"road_network_morphology_and_access","bounded_new_public_pull","Census TIGER/Line Roads","https://www2.census.gov/geo/tiger/TIGER2020/ROADS/","county road shapefiles","Nationwide county TIGER roads files",false,true,true,true,"road km per sqkm by class; primary-road distance; ramp distance; intersection density; dead-end share; alley or service-road share","Finish national TIGER pull; build node-degree features; normalize class lengths by land area; add nearest-distance features to primary roads and ramps","Direct access and permeability layer for burglary; robbery; and motor-vehicle theft exposure","Current local materialization is partial and the national pull should be cached with a manifest"
"public_signal_03_nlcd_land_impervious",3,"land_cover_and_imperviousness","bounded_new_public_pull","MRLC Annual NLCD Land Cover plus Fractional Impervious Surface plus Impervious Descriptor","https://www.mrlc.gov/data/references/national-land-cover-database-2021-landcover-imperviousness-nlcd2021","30 meter raster","National science products for land cover and imperviousness",false,true,true,true,"mean impervious percent; road-impervious share; urban impervious share; developed intensity shares; tree canopy; water and wetland shares","Area-weight raster means and class shares; separate road-impervious from other urban-impervious surfaces; use nonlinear transforms for imperviousness","Strong missing structural opportunity layer for property crime and vehicle theft","Raster processing cost is moderate and OCONUS handling should use the newest MRLC products or explicit fallback rules"
"public_signal_04_nces_public_schools",4,"k12_institutional_attractors","bounded_new_public_pull","NCES EDGE Public School Locations","https://nces.ed.gov/programs/edge/geographic/schoollocations","school point locations","National annual school-year files",false,true,true,true,"public school count within 1 km and 3 km; nearest school distance; enrollment-weighted school gravity; high-school share","Build multi-radius counts and inverse-distance gravity features; separate elementary and secondary when possible","Stable daytime attractor layer with likely value for assault; larceny; and robbery exposure","Use annual school-year snapshots and dedupe administrative or closed points"
"public_signal_05_nces_postsecondary",5,"postsecondary_and_campus_attractors","bounded_new_public_pull","NCES EDGE Postsecondary School Locations","https://nces.ed.gov/programs/edge/geographic/schoollocations","postsecondary point locations","National annual point files derived from IPEDS",false,true,true,true,"college count within 3 km and 5 km; nearest college distance; enrollment-weighted campus gravity; large-campus flag","Use multi-radius counts and gravity features; build simple campus clusters when many same-name points co-locate","Campus environments are concentrated attractors for robbery; larceny; and motor-vehicle theft","Point-only representation may understate true campus footprint unless clustered or buffered"
"public_signal_06_cms_hospitals",6,"hospital_and_medical_institution_attractors","bounded_new_public_pull","CMS Provider of Services File - Hospital and Non-Hospital Facilities","https://data.cms.gov/provider-characteristics/hospitals-and-other-facilities/provider-of-services-file-quality-improvement-and-evaluation-system","provider address records","National quarterly provider enrollment and certification file",false,true,true,true,"acute hospital count within 5 km; critical-access hospital distance; psychiatric hospital proximity; medical facility density","Filter hospital provider types from the broader POS frame; geocode once; maintain versioned facility cache; build count and nearest-distance features","Stable institutional-attractor source with stronger update cadence than catalog-only hospital metadata pages","The POS file includes many non-hospital facility types and needs CCN-based hospital filtering"
"public_signal_07_transit_access",7,"transit_stop_and_station_access","bounded_new_public_pull","FTA National Transit Database and National Transit Map geospatial feeds","https://www.transit.dot.gov/ntd","stop and route geospatial feeds","National reporter coverage; strongest where GTFS submissions are complete",false,true,true,true,"transit stops within 800 m; nearest fixed-guideway station distance; route-type mix; service-frequency proxy; transit-rich flag","Aggregate stop counts and service-weighted accessibility by mode; keep completeness flags by agency and geography","Meaningful opportunity and guardianship proxy in dense metros that complements Smart Location metrics","Coverage and service-quality fields vary across agencies and years"
"public_signal_08_padus_open_space",8,"parks_and_public_open_space_access","bounded_new_public_pull","USGS PAD-US 4.1","https://www.usgs.gov/programs/gap-analysis-project/science/pad-us-data-download","protected-area polygons","National polygon inventory of public parks and protected open space",false,true,true,true,"public open-space share; nearest accessible park distance; adjacency to large recreation land","Intersect PAD-US access-capable polygons with BG and tract boundaries; build edge-distance features to large parks","Adds park and open-space access signal that coarse land-cover classes cannot fully recover","USGS advises against naive cross-version change comparisons; treat as structural context"
"public_signal_09_prison_boundaries",9,"correctional_institution_attractors","bounded_new_public_pull","HIFLD Prison Boundaries","https://catalog.data.gov/dataset/prison-boundaries","facility polygons","National metadata catalog entry for prison boundaries",false,true,true,true,"prison overlap share; nearest prison distance; correctional adjacency flag","Use polygon overlap and nearest-edge distance features; separate prison and jail-like facilities if attributes allow","Sparse nationally but strong in local contexts where correctional facilities reshape exposure","HIFLD public access is operationally weaker than MRLC or NCES or CMS and should be version-snapshotted after retrieval"
"public_signal_10_osm_commercial_poi",10,"commercial_and_activity_poi","interesting_but_low_priority","OpenStreetMap extracts via Geofabrik","https://download.geofabrik.de/north-america/us.html","OSM point line and polygon features","National extracts updated frequently with state-level files available",false,true,true,true,"retail and food-service amenity density; parking facility density; nightlife proximity; shopping-center gravity","Use strict tag whitelists and entity deduplication; freeze monthly or quarterly extracts; prefer broad classes over brittle individual tags","Potentially useful for larceny and robbery in commercial corridors but less stable than federal sources","Coverage heterogeneity and schema volatility make this a second-wave source family"
