source_id,source_type,title,publisher,location,accessed_date,relevance,notes
bart_about,official_web,About BART,Bay Area Rapid Transit,https://www.bart.gov/about,2026-03-24,"Current official system-facts source stating that BART operates in five counties with 131 miles of track and 50 stations.","Useful current system-scope source showing the provider is multi-county, not a Contra Costa-only police agency."
bart_police_page,official_web,BART Police,Bay Area Rapid Transit,https://www.bart.gov/about/police,2026-03-24,"Current official BART police page describing a single BART Police Department whose mission is safety within the transit system.","Good current identity source for one department serving the transit system."
bart_police_zone_map,official_web,Know Your Zone / BART Police Zone Map,Bay Area Rapid Transit,https://www.bart.gov/about/police/zones,2026-03-24,"Current official police zone map showing one BART police command structure spanning the network, including multiple Contra Costa stations and beats.","Useful for rejecting single-city proxies inside Contra Costa and for showing current Contra Costa coverage is part of one systemwide police map."
bart_bpd_strategic_plan_2023_2027,official_pdf,BART Police Department Strategic Plan 2023-2027,Bay Area Rapid Transit,https://www.bart.gov/sites/default/files/docs/BPD%20Strategic%20Plan%20Draft%202023%20-%202027%20-%20FINAL.pdf,2026-03-24,"Current official police PDF stating BART PD provides police services 24/7 for the district and that the district is a 131-mile 50-station system servicing five counties.","Best current police-specific source showing one districtwide department rather than separate county departments."
bart_police_annual_report_2017,official_pdf,BART Police Department Report,Bay Area Rapid Transit,https://www.bart.gov/sites/default/files/docs/BART%20Police%20AR%2010_16_17.pdf,2026-03-24,"Official BART police report stating BART PD is the primary law-enforcement authority for the BART District including trackway, stations, and parking stalls spanning Alameda, Contra Costa, San Francisco, and San Mateo Counties.","Strong property-scope source showing the geography is BART property, not general county territory."
bart_chief_monthly_report_2026_01,official_pdf,BART Police Department Monthly Report January 2026,Bay Area Rapid Transit,https://www.bart.gov/sites/default/files/2026-02/2026-01%20Chief%27s%20Monthly%20Report.pdf,2026-03-24,"Current official BART police report with a Systemwide section and separate Contra Costa County performance pages inside the same Bay Area Rapid Transit Police Department report.","Key source showing Contra Costa is an active county reporting slice within one department, not a separate police agency."
ca_penal_code_830_33,official_statute,California Penal Code Section 830.33,California Legislature,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=830.33.,2026-03-24,"Official statute tying BART peace-officer authority to enforcement in or about district-owned, operated, or administered property and related duties involving district patrons, employees, and properties.","Core legal basis for rejecting countywide or placewide proxying."
ca_public_utilities_code_99170,official_statute,California Public Utilities Code Section 99170,California Legislature,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PUC&sectionNum=99170.,2026-03-24,"Official statute governing conduct on transit-district property and on facilities where BART owes policing responsibilities to a local government under agreement.","Important for the exact include/exclude boundary of a BART custom footprint."
fbi_ca_2019_employee_table,official_public_table,FBI Crime in the United States 2019 California table 81,Federal Bureau of Investigation,https://ucr.fbi.gov/crime-in-the-u.s/2019/crime-in-the-u.s.-2019/tables/table-81/table-81-state-cuts/california.xls,2026-03-24,"Official FBI public table listing 'San Francisco Bay Area Rapid Transit' with a distinct 'Contra Costa County' unit row.","Useful public official roster-style evidence that the Contra Costa slice existed as a named reporting unit, without implying a separate county police department."
fbi_ca_2018_hate_crime_table,official_public_table,FBI Hate Crime Statistics 2018 California table 13,Federal Bureau of Investigation,https://ucr.fbi.gov/hate-crime/2018/tables/table-13-state-cuts/california.xls,2026-03-24,"Official FBI public table showing San Francisco Bay Area Rapid Transit broken into Alameda County, Contra Costa County, and Santa Clara Transit District rows.","Useful public evidence that BART county/unit slicing is longstanding and administrative."
contra_costa_station_area_deir,official_county_pdf,Pittsburg/Bay Point BART Station Area Specific Plan DEIR,Contra Costa County / City of Pittsburg / Bay Area Rapid Transit District,https://www.contracosta.ca.gov/DocumentCenter/View/52195/DRAFT-Recirculated-EIR-PDF---Large-File,2026-03-24,"County/public planning document stating Contra Costa County Sheriff serves Bay Point, Pittsburg Police serves Pittsburg, and BART provides police services to the Pittsburg/Bay Point BART Station; it further states BART police is responsible for security and law enforcement on BART-owned properties.","Best county/public source for rejecting county or city proxies and for showing BART policing follows BART property inside Contra Costa."
local_fbi_roster_bart_rows,local_repo_evidence,2024 FBI-derived BART roster rows,local repo,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,2026-03-24,"Local roster evidence showing active 2024 BART rows for Alameda, Contra Costa, San Francisco, San Mateo, and Santa Clara counties.","Current repo evidence that the county-tagged BART slices remain active in 2024."
local_bart_validation_rows,local_repo_evidence,2024 validation rows for BART county-tagged ORIs,local repo,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/validation/ori_source_validation_2024.csv,2026-03-24,"Local validation evidence showing CA0071800 is active and carries its own annual totals, while several other BART county-tagged rows share an Oakland administrative anchor.","Useful for distinguishing active county reporting slices from true local county/place agencies."
