# stage1_adjudications registry: zero_missing_adjudicated.csv
# source_registry: state/qa/stage1_adhoc_review/zero_missing_adjudicated.csv
# source_pass: pass 4 (apply_stage1_final_rulings.py) landing on passes 1-3
# rows: live rulings only (the per-class registries hold no superseded rows); the full
#   audit ledger with every superseded instance is state/qa/stage1_adhoc_review/rulings_full.csv
# target_year: 2024
# generated_by: scripts/review/source_audit/promote_stage1_adjudications_to_configs.py
# generated_at: 2026-07-30T04:10:35+00:00
# source_sha256: 47cab976df81797903489372c69534c54f2074e2e0d15c46f4c3f8c965e2b6cd
# rows_written: 263
case_id,target_year,state,oris,verdict,downstream_action,believable_months,confidence,needs_review,detail
x-MN0181100-pequot-lakes,2024,MN,MN0181100,misread_missing,treat_missing_repair,,high,0,"FILE NOTE (applies to the whole batch, stated once here): cleanup_batches/batch_000.json does not exist. manifest.csv shows the cleanup batches are 1-indexed (batch_001.json .. batch_026.json, 10 cases each except 025=4 and 026=2); the only batch_000.json under state/qa/stage1_adhoc_review/ is gold_repair/batch_000.json, a 3-case gold-repair set from an earlier pass. I adjudicated /Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/qa/stage1_adhoc_review/cleanup_batches/batch_001.json (index 0, the first cleanup batch). All case_ids below are the true ids from that file. RULING: 2024 should go MISSING and fillable for MN0181100. Do NOT fill from own history: hist_median over 2018-2023 (=14) and trend_log_linear both draw on 2022 (12) and 2023 (2), which are themselves products of the same decay, so an own-history fill launders the artefact. Use a size-band peer fill for local_police in the (1000,2500] band. No ORI-succession issue: MN0181100 is on the 2024 CDE roster, carries an unbroken panel row 2018-2024, and holds a single exclusive w=1 footprint (Census place 2750416, Pequot Lakes city)."
r-AL0080200-blountsville,2024,AL,AL0080200,misread_missing,treat_missing_repair,,high,0,"2024 goes MISSING and fillable. ZERO believable months: SRS filed 0 months, and the 12-month NIBRS header carries no offence in any of the seven streams, so there is no measured month behind the published zero. Fill anchored on the last demonstrably full-coverage years — 2022 (32, SRS 12mo + NIB 12mo) and 2023 (31, NIB 12mo) → ~31.5/yr; composition from baseline years: larceny ~14.5, MVT ~4.5, burglary ~3.5, agg assault ~2.2, rape ~0.5, robbery ~0.5. Do NOT anchor on the quoted 2018-2023 median 25.5 — it is contaminated by the 8-month 2020 (raw 12) and 11-month 2018 (raw 30) partials — and do not let the 2024 zero enter any future base rate for this ORI. Peer-band cross-check (702.6/100k x 1,816 → ~12.8/yr) sits well below own demonstrated level; own history governs."
b2-PA0032200-east-franklin-township,2024,PA,PA0032200,misread_missing,treat_missing_repair,,high,0,"Cleanest BLANK-AS-ZERO case in the batch. Set PA0032200 2024 to missing and fill. Fill guidance: do NOT use the raw recent values (2021:1, 2022:7, 2023:3) — those are themselves partial years at 3mo, 7mo and 5mo. Annualize first (2021 -> 4, 2022 -> 12, 2023 -> 7.2) and take the median for a fill of ~7, or use the 2018-2020 full-year level (33, 27, 31 at 11mo -> 33.8) if the pipeline judges the 2021+ decline to be feed degradation rather than real. The gap between those two answers (~7 versus ~31) is genuine and I am not confident which is right; flag it for the fill step rather than hard-coding. PIPELINE GAP: the same partials-used-as-baseline error will affect every PA small-township ORI, since PA's SRS participation is chronically partial."
r-GA0710300-buchanan,2024,GA,GA0710300,misread_missing,treat_missing_repair,,high,0,"2024 goes MISSING and fillable; 2023 should be flagged MISSING on the same basis (0 filed months in SRS and no NIB row at all). ZERO believable months in 2024. Fill anchored on the last demonstrably full-coverage years — 2018 (48, SRS 12mo), 2020 (12, NIB 12mo), 2021 (24, NIB 12mo), median 24 — scaled for the population fall from 1,205 (2021) to 966 (2024), giving ~19-24/yr; composition larceny ~17, MVT ~4.3, agg assault ~3.3, burglary ~3. Reject any base rate drawn from 2022-2023."
x-TX2300300-ore-city,2024,TX,TX2300300,misread_missing,treat_missing_repair,,high,0,Set 2024 to missing and fillable; zero months are believable.
x-MN0610200-starbuck,2024,MN,MN0610200,misread_missing,treat_missing_repair,6,medium,1,"2024 should go MISSING and fillable for MN0610200. token_reporting_flag is arithmetically void here even though a partial record exists: the Return-A lane carries 6 submitted months and all six are zero, so uplift x2.0 republishes 0. Fill should NOT come from 2021-2023 own history (median 7), which is post-NIBRS-transition degraded; prefer a size-band peer fill, or an own-history fill anchored on the pre-transition full years (2018 CIUS 68, 2019 CIUS 48) discounted for the population band. No succession issue: on the 2024 roster, single exclusive w=1 footprint (place 2762500, Starbuck city)."
x-TX1940300-bogata,2024,TX,TX1940300,misread_missing,treat_missing_repair,0,high,0,"2024 should go MISSING and fillable for TX1940300. Anchor any fill on the credible full years 2018-2022 (47, 27, 32, 19, 21 -> level ~21-27), not on 2023, which is a broken record rather than a low year. A size-band peer fill for (1000,2500] is also defensible. No succession issue: on the 2024 roster, single exclusive w=1 footprint (place 4809172, Bogata city)."
b2-PA0021H00-crescent-township,2024,PA,PA0021H00,misread_missing,treat_missing_repair,,high,0,"Void the CIUS zero; set 2024 missing and fillable. Fill from annualized own history: the partial-year submissions annualize to 2019 30, 2020 18, 2022 18, 2023 20 — a fill of roughly 20 Part-I, or a PA sub-3,000 township-police peer rate. The last real report (2023, 3mo) is within 2 years so the own-history path is open. Downstream must also stop treating a CIUS row as evidence of submission when SRS months=0."
x-IL0141300-germantown,2024,IL,IL0141300,misread_missing,treat_missing_repair,,high,0,Set 2024 to missing and fillable; zero months are believable.
b2-MN0120200-montevideo,2024,MN,MN0120200,misread_missing,treat_missing_repair,,high,0,"Void the zero and treat 2023 the same way; set both years missing. Do NOT use the own-history fill — the in-window values (2022: 2, 2023: 0) are themselves the degraded feed, so the recency rule would launder the artifact into a fill of ~2. Fill from peers instead: local_police 5-10k band at 1,096.9/100k x 5,180 = ~57, trimmed toward MN-specific peer rates (~40-60). Downstream rule to add: block own-history fills when the in-window history is itself sub-peer-floor. The crosswalk is already flagged_auto."
b2-VT0141000-norwich,2024,VT,VT0141000,misread_missing,treat_missing_repair,,high,0,"The printed zero is unusable; mark 2024 missing and fillable. Fill from own history — 2023 = 20 at 12mo in BOTH lanes (a clean, unambiguous full year, well inside the within-2-years rule); the 2018-2023 median is 21.5. Recommend ~20-21. EST2024=0 observed deletes a real agency's full year from a w=1 exclusive municipal footprint."
x-NM0090400-hurley,2024,NM,NM0090400,misread_missing,treat_missing_repair,,high,0,"2024 should go MISSING and fillable for NM0090400. Critically, the fill must exclude this ORI's own zero years: hist_median over 2018-2023 is contaminated by the 2021 and 2023 zeros, which this ruling holds to be non-reports. Anchor on the positive years only (2018 CIUS 14, 2019 SRS 8, 2022 NIB 8 -> level ~8-11) or use a size-band peer fill for (1000,2500]. 2023 (NIB 0 on 7 months, SRS 0 on 3 months) carries the same signature and should be re-examined in the same pass. No succession issue: on the 2024 roster, single exclusive w=1 footprint (place 3533850, Hurley town)."
x-KY0110200-junction-city,2024,KY,KY0110200,misread_missing,treat_missing_repair,1,high,1,"2024 should go MISSING and fillable for KY0110200. Do not use trend_log_linear or hist_median naively -- this ORI's own history is wildly unstable (3, 72, 3) and the 2022 lane divergence (CIUS 72 vs NIB 40) means even the peak year has two vintages; a size-band peer fill for local_police in (1000,2500] is the defensible route. No succession issue: on the 2024 roster (NIBRS since 2009-01-01), unbroken panel rows 2018-2024, single exclusive w=1 footprint (place 2141338, Junction City city). Note the roster lists two counties (BOYLE, LINCOLN) while the footprint is one place at w=1 -- worth a Stage-2 check but it does not affect this verdict."
b2-PA0071000-williamsburg,2024,PA,PA0071000,misread_missing,treat_missing_repair,,high,0,"The printed zero is unusable and must not stand. Set 2024 to missing and fillable. Fill basis: own history with a real report inside 2 years — 2023 is 8 at SRS 8mo (~12 annualized) and CIUS 8; 2019 is 16 at 12mo; 2018 is 11. A fill of ~8-12 Part-I offences is defensible for a 1,188-person borough PD. EST2024=0 observed is not defensible: 0 x any uplift is still 0, so leaving it as observed permanently deletes the agency from the panel. Also note the agency is is_nibrs=False with no NIBRS row at all, so there is no second FBI lane that could ever corroborate this zero — the CIUS row is the only thing asserting a full year."
b2-SD0290100-miller,2024,SD,SD0290100,misread_missing,treat_missing_repair,,medium,0,"Treat the 2024 zero as missing and fillable. Fill basis: own history within 2 years — 2023 is 4 at NIB 9mo (~5.3 annualized), 2020 is 5 at 12mo, 2019 is 5 at 9mo (~6.7) — giving ~4-6 Part-I offences for this 1,319-person town. EST2024=0 observed is not defensible. Do NOT treat the 2022 zero as supporting evidence: it sits on NIB 4 months and SRS 0 months, i.e. it is a partial-year zero and statistically uninformative by the standing rule. Same settling test as Bridgeport: pull the NIBRS segment-level zero-report indicator — twelve explicit zero-report records would flip this to genuine_zero_year, their absence confirms an auto-populated header."
b2-AL0340400-slocomb,2024,AL,AL0340400,misread_missing,treat_missing_repair,,high,0,"Carry 2024 as MISSING and fillable, and treat 2023 the same way (NIB 0 on 2 months plus SRS 0 on 0 months is a non-report, not a zero). 2022 (11, 12-month NIBRS, also published in CIUS) is the last real report and sits at the 2-year boundary, so the own-history anchor is ~11-15 (2021 = 15). Nothing here is uplift-repairable: a 0-month zero and a 2-month zero both annualise to 0."
b2-MO0570700-hawk-point,2024,MO,MO0570700,misread_missing,treat_missing_repair,9,high,0,"The 2024 agency-year must go MISSING and be filled, not carried as an observed complete zero on place 2931024. The defensible anchor is the agency's own last real years -- 11 on a 12-month 2018 (CIUS) and 6 on 11 months of 2019 (about 6.5 annualised) -- i.e. roughly 6-11 offences, which the band peer median (503.4/100k, ~3.8) understates by two- to threefold; note that the pipeline's within-2-years rule blocks that own-history fill, so this needs an explicit override or a flagged low-weight fill. Residual risk to record: if Lincoln County SO has taken over policing, the fill may overlap sheriff-recorded counts inside the city limits."
x-OH0070300-bridgeport,2024,OH,OH0070300,misread_missing,treat_missing_repair,,medium,1,"2024 should go MISSING and fillable for OH0070300. This is the weakest misread ruling in the batch and the counter-evidence deserves to travel with it: OH0070300 is a 26-year NIBRS reporter (start 1998-04-01) with 11-12 month NIBRS coverage in every year on record and a smooth monotone decline (27, 11, 10, 8, 5, 4) that tracks a 13% population loss (1,756 -> 1,522) -- the most genuine-looking decline in the batch. If a supervisor re-opens any single case here, make it this one. Fill: anchor on the recent credible full years (2022 CIUS 5, 2023 NIB 4 on 11mo -> level ~4-6) rather than the 16/yr baseline, since part of the decline is probably real. No succession issue: on the 2024 roster, single exclusive w=1 footprint (place 3908560, Bridgeport village)."
x-MO0600500-goodman,2024,MO,MO0600500,misread_missing,treat_missing_repair,,high,0,year goes missing and fillable
x-KY1130300-uniontown,2024,KY,KY1130300,misread_missing,treat_missing_repair,,high,1,"2024 should go MISSING for KY1130300, but the fill decision needs one extra check the panel can answer: whether Uniontown PD is still the policing agency. If it is, fill from the pre-collapse full years (2018 CIUS 36, 2019 CIUS 18, 2020 NIB 13 -> level ~13-22) or a size-band peer fill for (0,1000] (peer median 503.4/100k). If policing has passed to the Union County Sheriff or KSP, the year should be missing WITHOUT an own-history fill, so the county/remainder lane carries the exposure and the city is not double-counted. Do NOT use hist_median across 2018-2023 either way -- it averages in the 2021, 2022 and 2024 zeros this ruling holds to be non-reports. 2021, 2022 and 2023 carry the same signature and should be re-examined in the same pass. No succession issue on the ORI itself: on the 2024 roster (NIBRS since 2009), single exclusive w=1 footprint (place 2178492, Uniontown city)."
b2-CA0309600-irvine-valley-college,2024,CA,CA0309600,misread_missing,treat_missing_repair,,high,0,"Treat 2024 as missing and fillable. Do not carry the printed 0. Fill from own CIUS history anchored on the two most recent real full years (2022=8, 2023=5), i.e. roughly 5-6, NOT the 6-year median 9.5 which is dragged up by 2018-2019 (17, 11) and ignores the monotone decline. Peer-rate fill is structurally unavailable: FBIpop is 0/null for every year of this ORI. Separately flag that this ORI sits on 06:statewide_overlap_layer w=1, so whatever value lands gets smeared across all of California — a campus agency's counts should not ride a statewide layer."
b2-IL0970300-norris-city,2024,IL,IL0970300,misread_missing,treat_missing_repair,,high,0,"ORI IL0970300 (NORRIS CITY, IL). Panel should carry: MISSING. No own-history fill is defensible because the last positive report was 2020, which fails the within-2-years rule."
b2-ME0101300-veazie,2024,ME,ME0101300,misread_missing,treat_missing_repair,,high,0,"The 2024 agency-year must go MISSING and be filled from the agency's own recent record, not carried as an observed complete zero on cousub 2301978780. The own-history anchor is strong and in-policy: 2021-2023 are all 12-month NIBRS years at 13, 4 and 5 offences (median 5), with a 2023 real report well inside the within-2-years fill rule. Do not use the band peer median (702.6/100k, ~12.8) -- the agency's own recent level is the better anchor and is roughly 5."
b2-IL0169C00-south-suburban-college,2024,IL,IL0169C00,misread_missing,treat_missing_repair,,medium,0,"Treat the 2024 zero as a non-report; the agency-year should be missing and fillable. Fill from own history — the last real report is 2023 (=9), inside the 2-year recency rule; median of the non-zero best-values 2018-2023 (9, 8, 6, 5, 9) is 8. Footprint is a statewide overlap layer at w=1, so the mass impact is immaterial either way; the point is not to let a printed zero stand as a measurement."
r-OK0120500-fort-towson,2024,OK,OK0120500,misread_missing,treat_missing_repair,,high,0,"2024 goes MISSING and fillable — and 2021, 2022 and 2023 must be flagged MISSING on the identical basis, otherwise any own-history fill for 2024 is laundered by them. ZERO believable months in all four years. Fill anchored on the last full-coverage years with real submissions: 2018 (28, SRS 12mo + NIB 12mo), 2019 (18 NIB 12mo / 17 CIUS), 2020 (25, SRS 12mo + NIB 12mo) → ~25/yr; composition larceny ~12, burglary ~6.3, agg assault ~3.3. REJECT mass_hint 8.5: both the CIUS-lane median {2018:28, 2019:17, 2022:0, 2023:0} and the quoted 'full-year median 8.5' average two real years against two automatic-zero years — that figure is own-history laundering, not a base rate. Magnitude caveat: the own anchor (~25/yr, i.e. ~5,040/100k at pop 496) is ~10x the peer-band rate (503.4/100k → ~2.5/yr), so before filling, check for a live successor — if Choctaw County Sheriff now covers Fort Towson town, the packet's superseded-ORI rule applies and the footprint routes there instead of being filled."
x-MN0110700-pillager,2024,MN,MN0110700,unclear_escalate,retain_current_flag_review,,medium,1,"Escalating rather than guessing -- this is the one case in the batch where the record genuinely does not separate the hypotheses, and the per-capita stakes are the highest in the batch (either direction moves a 524-person place by roughly 800-2,000 per 100k). WHAT WOULD SETTLE IT, in order of decisiveness: (1) whether Pillager PD was operationally active in 2023-2024 -- the MN BCA 'Minnesota Uniform Crime Report' agency table, or any MN BCA/POST roster carrying sworn-officer counts for MN0110700; (2) the Cass County Sheriff's ORI (MN0110000) totals for 2022 -> 2024 -- a compensating step up in the sheriff's counts would establish a contract/dissolution and make this structural_zero_treat_as_missing with NO own-history fill; (3) the 2023 agency-year, which carries the identical signature and should be ruled in the same motion rather than separately. SECONDARY DEFECT worth logging regardless of verdict: the panel line for this ORI carries plc<NA> while the crosswalk assigns place 2750902 (Pillager city) at w=1 exclusive -- the place field is null in the panel rendering but populated in the crosswalk."
b2-MO0660200-iberia,2024,MO,MO0660200,genuine_zero_year,retain_zero,,medium,0,Carry 0 as an observed 12-month value.
x-IL0580100-blue-mound,2024,IL,IL0580100,misread_missing,treat_missing_repair,,high,0,"2024 must go MISSING and fillable across all seven offenses, not carried as an observed zero. Own-history fill is unavailable — last real report is 2020, outside the 2-year window — so place 1706756 (Blue Mound village) has to fall to a peer/band fill. 2021-2023 are already zero-month SRS shells (same non-report) and should not be treated as evidence of a low level."
x-MN0640400-morgan,2024,MN,MN0640400,genuine_zero_year,retain_zero,,medium,0,carry 0 as observed
x-IL0110500-assumption,2024,IL,IL0110500,misread_missing,treat_missing_repair,,medium,0,"2024 goes MISSING and fillable for place 1702609 (Assumption city). Fill-source caution: an own-history fill anchored on the post-2021 NIBRS-era values (0/3/0/0) re-imports the same artifact even though 2022 is technically inside the 2-year window; the defensible anchors are the pre-transition full years (2018=11, 2019=21) or a peer/band fill. 2023 is the same artifact and should not stand as an observed zero either."
x-IL0920900-ridge-farm,2024,IL,IL0920900,misread_missing,treat_missing_repair,,medium,0,"2024 goes MISSING and fillable for place 1763862 (Ridge Farm village). Own-history fill is legitimate here — 2023 is a real 12-month NIBRS report of 8 offenses, inside the 2-year window — so the polygon should carry an own-history estimate rather than the published zero. No partial-month treatment: the 2024 SRS 1-month zero cannot be uplifted to anything but zero."
x-AL0380900-taylor,2024,AL,AL0380900,misread_missing,treat_missing_repair,,medium,0,"Do not carry 0 as observed. The 2024 agency-year goes MISSING and fillable. Own-history fill is available and in-window (2023 NIB 2 on 11 months is a real report within 2 years): carry ~2 Part-I offences, composition larceny-dominant (2018 baseline 5 larceny + 2 MVT; 2023 added 1 agg assault). That repair moves Taylor town from 0 to ~86 per 100k, still only 12% of the 702.6 per 100k peer median for the (1000,2500] band, so the fill is conservative rather than inflationary. Footprint unchanged: place 0175096 ""Taylor town"", w=1 exclusive."
x-GA1050200-eton,2024,GA,GA1050200,misread_missing,treat_missing_repair,,medium,0,"2024 goes MISSING and fillable for place 1327932 (Eton city). 2023 (4 offenses, real 12-month NIBRS) is inside the 2-year window, so own-history fill applies; no months of 2024 are believable as measured coverage, so this is not a partial-year case."
b2-MN0540100-ada,2024,MN,MN0540100,misread_missing,treat_missing_repair,,medium,0,"Drop the 2024 CIUS/NIB zero; mark MN0540100 2024 missing and fillable. Own-history fill is licensed (real report in 2023, within 2 years): best-any-lane 2020-2023 = 8/5/2/11, median ~6.5, so a fill of 6-7 Part-I with a normal small-town mix. Do NOT carry 0 forward."
