source_id,title,url,publisher,source_type,key_finding
1,Police | Brunswick GA,https://www.brunswickga.org/police,City of Brunswick,official_city_police_page,"The official police page says Brunswick Police Department is a certified city police agency with primary responsibility for enforcing city ordinances and state traffic and criminal laws within the city."
2,Police Contact Information | Brunswick GA,https://www.brunswickga.org/police/page/police-contact-information,City of Brunswick,official_city_police_page,"The police contact page lists Brunswick-specific police command and support roles including a crime analyst, TAC, patrol, investigations, and support-services staff, confirming an active city police organization."
3,Brunswick Chief of Police Press Release,https://www.brunswickga.org/community/page/brunswick-chief-police-press-release,City of Brunswick,official_city_press_release,"The city announced in August 2025 that the City Commission affirmed Angela Smith as Brunswick's chief of police, which confirms ongoing city police governance."
4,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,City of Brunswick,official_city_crime_statistics_page,"The city publishes Brunswick-specific monthly UCR Part 1 tables through 2025; for the tracked review offenses it reports 2024 counts of rape 9, robbery 26, aggravated assault 106, burglary 88, larceny 412, and vehicle theft 66, and 2023 counts of rape 9, robbery 51, aggravated assault 131, burglary 94, larceny 328, and vehicle theft 57."
5,Ride-Along Program | Glynn County, GA,https://www.glynncounty.org/2405/Ride-Along-Program,Glynn County,official_county_police_page,"Glynn County says its police department provides patrol and community-policing services to unincorporated Glynn County on the mainland plus Saint Simons and Sea Islands and provides mutual aid to the City of Brunswick Police."
6,MUTUAL AID AGREEMENT,https://www.glynncounty.org/DocumentCenter/View/67017/MOU-Mutual-Aid-City-and-County,Glynn County and City of Brunswick,official_local_agreement_pdf,"The 2020 mutual-aid agreement states that the City and County each maintain and staff a police department, directly refuting a county-replacement reading."
7,About Glynn-Brunswick 9-1-1,https://www.glynncounty.org/government/departments/glynn-brunswick-9-1-1-center/about-us,Glynn County,official_joint_public_safety_page,"The 911 oversight page lists separate City of Brunswick Police Chief, Glynn County Police Chief, and Glynn County Sheriff leadership roles in the joint communications structure."
8,About Us | Glynn County Sheriff's Office,https://www.glynncountysheriff.org/158/About-Us,Glynn County Sheriff's Office,official_sheriff_page,"The sheriff page emphasizes detention-center operations, court security, warrants, subpoenas, civil process, transport, and sex-offender monitoring, supporting a separate sheriff function rather than city-police replacement."
9,Crime Statistics | Georgia Bureau of Investigation,https://gbi.georgia.gov/services/crime-statistics,Georgia Bureau of Investigation,official_state_crime_program_page,"GBI says annual UCR data is compiled directly from agency submissions and that additional UCR data can be retrieved for special-purpose reports upon request."
10,GBI Crime Statistics Database | Georgia Bureau of Investigation,https://gbi.georgia.gov/services/crime-statistics/gbi-crime-statistics-database,Georgia Bureau of Investigation,official_state_crime_database_status_page,"GBI says the public Uniform Crime Reporting Statistics database is not available at this time, which explains why a clean public agency-level Brunswick row is hard to recover from the state website."
11,2024 Crime Statistics Summary,https://gbi.georgia.gov/document/document/2024-crime-statistics-summary/download,Georgia Bureau of Investigation,official_state_crime_summary,"The 2024 GBI summary says county totals are compiled from all law-enforcement agencies operating in a county and reports Glynn County and Brunswick GA MSA totals only as aggregates, not as Brunswick city agency rows."
12,GA FBI CDE agency roster mirror 2024,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/raw/GA.json,FBI Crime Data Explorer mirrored in repo,official_federal_roster_repo_mirror,"The mirrored 2024 FBI roster lists Brunswick Police Department as a City agency, Glynn County Police Department as a County agency with NIBRS start date 2019-05-01, and Glynn County Sheriff's Office as a separate sheriff agency."
13,ori_source_validation_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/validation/ori_source_validation_2024.csv,CrimeRisk repo,internal_repo_artifact,"Repo validation shows `GA0630100` present in the official FBI roster but absent from repo 2024 observations, while `GA0630200` is fully aligned and active."
14,agency_to_jurisdiction_crosswalk.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.csv,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes `GA0630100` exclusively to Brunswick city and leaves `GA0630200` and `GA0630000` in state nonmunicipal remainder."
15,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show Brunswick Police with nonzero summary counts in 2018, 2019, and 2022 but zero placeholders in 2020, 2021, 2023, and 2024, while Glynn County Police remains active across 2018-2024."
16,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Brunswick city offense controls carry zero preferred reported counts and structurally_missing_or_unreliable reporting regime flags."
17,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Brunswick city is a high-impact full-fill municipal target with no reported support and priority rank 3 in the review queue."
