failure_mode_id,category,trigger,how_to_detect,central_disposition_hint,packet_integration_hint,promotion_effect,standard_response,reusable_fix_pattern,city_examples
FM01,taxonomy_drift,Live offense values no longer match old crosswalk assumptions.,Distinct live values fail to join old categories or require new overrides.,needs_schema_work,review,Do not promote until the crosswalk is refreshed.,Refresh offense_crosswalk.csv from live values and mark exact versus approximate lines.,yes,san_francisco|austin|mesa
FM02,date_contract_drift,Live date fields changed or older midpoint logic is no longer valid.,Packet finds different date columns from historical loader assumptions.,needs_schema_work,review,Year assignment can be wrong and every downstream count can drift.,Rewrite date logic against the live schema and validate the resulting year totals.,yes,seattle
FM03,coverage_year_gap,One or more years in the target window are materially undercovered.,Year counts show anomalously low totals or code sanity thresholds fail.,needs_schema_work,blocked,City is not buildable for the intended window.,Treat as a source contract problem before any promotion discussion.,yes,chicago|seattle
FM04,duplicate_incident_rows,Source contains multiple rows per incident or per incident offense.,Counts exceed expectation until dedupe is applied or duplicate key values exist.,needs_schema_work,review,Raw and reconciled counts are inflated until dedupe is fixed.,Define the dedupe grain explicitly and store it with the offense contract.,yes,san_francisco|new_york|chicago
FM05,geocode_loss,Coordinates are missing or invalid for too many mapped rows.,Plausible lat or lon share is low or falls below city-specific sanity gates.,needs_geocode_work,blocked,Spatial shares are unsafe for city-wide promotion.,Look for source-provided block groups or a retained proxy geography before discarding the city.,yes,seattle|austin
FM06,proxy_geography_dropped_from_cache,Raw feed has fallback geography but the builder cache stripped it out.,Packet shows raw fields like beat exist but minimal parquet lacks them.,needs_schema_work,blocked,Public recovery path is lost inside the live builder path.,Expand cache contract or reread the full raw feed in the builder.,yes,seattle
FM07,privacy_redaction_without_public_proxy,Rows are privacy-redacted and no stable public proxy geography survives.,Serious offenses have missing or snapped locations with no retained proxy field.,insufficient_quality,blocked,City-wide promotion is blocked and offense-level promotion may also be blocked.,Treat unresolved rows as a bounded public tail only if that tail is small and explicit.,yes,san_francisco
FM08,out_of_city_rows,Feed mixes city incidents with out-of-city or OOJ events.,Rows carry Out of SF or OOJ like markers or fail city membership joins.,insufficient_quality,blocked_or_watch,Counts and shares are inflated if rows are retained.,Filter or separately track city-level residuals and never allocate them to block groups.,yes,san_francisco|seattle|austin
FM09,dual_feed_overlap_or_cutoff_error,Historical and current feeds overlap or change systems midstream.,Both feeds populate the same year or metadata documents a system break.,needs_schema_work,review,Double-counting or contract gaps persist until cutoff is explicit.,Set a hard cutoff date and record overlap behavior in the packet.,yes,new_york|san_francisco
FM10,supplement_or_noninitial_pollution,Feed includes supplements, follow-ups, or noninitial report types that should not drive offense totals.,Report type distribution shows large supplement volumes and reconciliation improves after filtering.,insufficient_quality,blocked_or_offense_selective_candidate,Naive city totals are inflated or unstable.,Gate on initial-only or equivalent report type before promotion.,yes,san_francisco
FM11,official_public_comparability_mismatch,Published reference counts a different concept than the public incident feed.,Packet can only label the comparison approximate or finds offense-count versus incident-count mismatch.,needs_schema_work_or_insufficient_quality,review_or_blocked,Approximate lines cannot justify city-wide promotion alone.,Use exact-comparable lines as the hard gate and keep approximate lines as support only.,yes,chicago|seattle|austin|new_york
FM12,high_null_offense_code_share,Large share of rows lacks the field needed for exact offense mapping.,Null rate on offense code or offense category is materially high.,needs_schema_work,review_or_bounded_loader_refresh_pending,Direct mapping is incomplete and may undercount key offenses.,Isolate bounded candidate rules and validate them across more than one period before promotion.,yes,austin
FM13,empirical_refresh_candidate_only,Packet finds an empirical rule that improves reconciliation but the live contract does not document it.,Candidate rule matches one or two periods closely but lacks source-contract backing.,needs_schema_work,blocked_pending_bounded_loader_refresh,Do not promote on the candidate alone.,Mark the candidate explicitly and require multi-period validation before central adoption.,yes,austin
FM14,legacy_live_exception,Older city is already live despite gaps that would block a new promotion today.,Packet notes active use plus ongoing hardening despite material exact-comparable divergence.,ready_now,active,Do not treat the city as the default quality threshold for future promotions.,Use it for packet shape and source clues but not as the bar for new city-wide approvals.,yes,new_york
