source_type,source_name,source_url,authority_level,why_used
official_authority_page,About the Airports Authority,https://www.mwaa.com/about-airports-authority-0,primary,Official MWAA page establishing the interstate compact entity and stating MWAA exists to operate Reagan National and Dulles International under long-term federal lease.
official_police_page,Chief of Police,https://www.mwaa.com/policefireems/mwaa-police-department/chief-police,primary,Official MWAA Police page stating the department serves Reagan and Dulles and enforces county codes in Arlington Fairfax and Loudoun.
official_police_page,Operational Services,https://www.mwaa.com/policefireems/mwaa-police-department/operational-services,primary,Official MWAA Police page stating patrol officers are assigned to Reagan National Command or Dulles Command and that jurisdiction includes airport terminals airport property roadways the Dulles Toll Road and Dulles Access Highway.
official_police_report,MWAA Police Annual Report 2024,https://www.mwaa.com/sites/mwaa.com/files/2025-03/2024_police_annual_report.pdf,primary,Official annual report describing routine police responsibilities at Reagan Dulles the Dulles Toll Road and the Dulles International Access Highway and confirming policing across three jurisdictions.
official_police_page,Safety Service Patrol / Dulles Toll Road,https://www.mwaa.com/policefireems/mwaa-police-department/safety-service-patrol-dulles-toll-road,primary,Official MWAA Police page saying authority police provide primary law enforcement to buildings and properties surrounding both airports and patrol the Dulles Access Road and Dulles Toll Road.
official_public_safety_page,Public Safety Communications,https://www.mwaa.com/policefireems/public-safety-communications,primary,Official MWAA public-safety page stating emergency communications support Reagan Dulles and the Dulles Toll Road.
official_police_reporting,Citizen Online Reporting System,https://www.mwaa.com/citizen-online-reporting-system,primary,Official MWAA police reporting page listing the department's incident limits as Reagan Dulles the Dulles Toll Road and the Dulles Access Highway.
official_airport_page,Reagan National Airport Overview,https://www.flyreagan.com/airport-overview,primary,Official Reagan page confirming the airport is located in Virginia and is a bounded 860-acre airport campus with terminals parking and roadways.
official_airport_page,Dulles International Airport Overview,https://www.flydulles.com/airport-overview,primary,Official Dulles page confirming the airport spans Loudoun and Fairfax Counties and includes a large airport property with on-airport roads and the Dulles Airport Access Road connection.
official_environmental_notice,DCA Roadway Network Improvements Final EA Notice,https://www.mwaa.com/notice-availability-dca-roadway-network-improvements-and-associated-development-final-environmental,primary,Official MWAA environmental notice documenting on-airport roadway and associated development at Reagan and reinforcing airport-property based geometry.
official_toll_road_notice,Toll Calculator Now Available on Dulles Toll Road Website,https://www.mwaa.com/news/toll-calculator-now-available-dulles-toll-road-website,primary,Official MWAA news item stating the Dulles Toll Road is operated and maintained by MWAA under permit from the Commonwealth of Virginia.
official_statute,Virginia Code § 5.1-152 Definitions,https://law.lis.virginia.gov/vacode/title5.1/chapter10/section5.1-152/,primary,Official Virginia law defining Authority Facilities broadly and expressly including the existing Dulles Airport Access Road and its right-of-way.
official_statute,Virginia Code § 5.1-156 Powers and duties of the Authority,https://law.lis.virginia.gov/vacode/title5.1/chapter10/section5.1-156/,primary,Official Virginia law stating MWAA exists to acquire operate maintain develop promote and protect Reagan National and Dulles International together as primary airports.
official_statute,Virginia Code § 5.1-158 Police,https://law.lis.virginia.gov/vacode/title5.1/chapter10/section5.1-158/,primary,Official Virginia law describing concurrent police authority on Authority Facilities and within 300 yards and preserving concurrent jurisdiction for Arlington Fairfax and Loudoun.
