source_id,source_type,title,publisher,url,accessed_date,relevance,notes
ucpd_jurisdiction,official_web,Jurisdiction,Berkeley UCPD,https://ucpd.berkeley.edu/topics/jurisdiction,2026-03-24,"Primary official source for UCPD Berkeley's campus-and-associated-properties jurisdiction, Berkeley PD's off-campus role, and the four specific cooperative properties where UCPD has primary responsibility.","Best direct operational jurisdiction source."
ucpd_campus_community_safety,official_web,Enhancing Safety On Campus and In the Community,Berkeley UCPD,https://ucpd.berkeley.edu/safety/enhancing-safety-campus-and-community,2026-03-24,"Official Berkeley statement that UCPD is responsible for the main campus and university properties while Berkeley Police handles city property bordering campus and adjacent neighborhoods.","Useful for distinguishing campus-owned geography from adjacent city-policing geography."
vca_ucpd_annual_report,official_web,2022 VCA Annual Report - UC Police Department Berkeley,UC Berkeley Administration Division,https://vca.berkeley.edu/annual-reports/2022-vca-annual-report/milestones-and-goals-vca-department-2023/2022-vca-annual-9,2026-03-24,"Official Berkeley source stating that UCPD Berkeley has primary law-enforcement jurisdiction on the Berkeley campus and associated university properties in Albany, Berkeley, Emeryville, Kensington, Oakland, and Richmond.","Core source showing the footprint spans multiple cities and crosses the Berkeley city boundary."
berkeley_map_page,official_web,Campus Map,University of California Berkeley,https://www.berkeley.edu/map/,2026-03-24,"Official map page describing the Berkeley Campus as Campus Park, Hill Campus, Clark Kerr Campus, and other university-owned properties, while warning that some off-campus locations are not shown on campus maps.","Important for separating the core campus map from the full property footprint."
berkeley_map_pdf,official_pdf,Printable Campus Map (PDF),University of California Berkeley,https://www.berkeley.edu/wp-content/uploads/2025/06/campus-map-20250609.pdf,2026-03-24,"Official printable campus map for the main Berkeley campus footprint.","Useful for the core campus geometry component but not sufficient for the entire UCPD footprint."
university_village_albany,official_web,Family Student Housing: University Village,UC Berkeley Housing,https://housing.berkeley.edu/explore-housing-options/family-student-housing-university-village/,2026-03-24,"Official Berkeley housing source identifying University Village as family student housing in Albany.","Confirms a named non-Berkeley UC Berkeley property within the UCPD-served footprint."
richmond_field_station,official_web,Home,Richmond Field Station / UC Berkeley,https://rfs.berkeley.edu/,2026-03-24,"Official Richmond Field Station site describing it as UC Berkeley's campus for applied research across 175 acres.","Confirms a named Richmond UC Berkeley property within the UCPD-served footprint."
edc_92600,official_statute,Education Code Section 92600,California Legislative Information,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=EDC&sectionNum=92600.,2026-03-24,"Primary California statute defining UC police authority on campuses, within one mile of campus boundaries, and on Regents-controlled property.","Legal baseline for scope analysis; important for distinguishing legal authority from operational footprint."
pen_830_2,official_statute,Penal Code Section 830.2,California Legislative Information,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=830.2.,2026-03-24,"Primary California statute granting UC police statewide peace-officer status while tying primary duty back to Education Code Section 92600 geography.","Legal corroboration that statewide authority does not make this a statewide UC-system footprint."
richmond_city_location,official_web,History of Richmond,City of Richmond,https://www.ci.richmond.ca.us/112/History-of-Richmond,2026-03-24,"Official Richmond page stating Richmond is located on the western shore of Contra Costa County.","Used to verify that the Berkeley-named Richmond property lies outside Alameda County."
kensington_county_page,official_web,Kensington,Contra Costa County,https://www.contracosta.ca.gov/4433/Kensington,2026-03-24,"Official Contra Costa County page treating Kensington as a county-governed community.","Used to verify that the Berkeley-named Kensington property is not inside an Alameda County proxy."
