source_id,title,url,publisher,source_type,key_finding
1,Public Safety Analysis,https://www.deerfield-beach.com/DocumentCenter/View/20947,City of Deerfield Beach,official_city_public_safety_study,"The city says BSO is the primary law-enforcement authority within Deerfield Beach, the city has contracted with BSO for law-enforcement services since 1990, and a 24-month implementation period effective October 1, 2025 keeps BSO providing services while the city transitions."
2,Police Services Contract 2021-2026,https://www.deerfield-beach.com/DocumentCenter/View/20718/Police-Services-Contract-2021-2026,City of Deerfield Beach,official_city_contract_pdf,"The city approved a five-year BSO police-services agreement commencing April 1, 2021 and continuing through March 31, 2026, after earlier Deerfield-BSO police contracts."
3,The Future of Public Safety in Deerfield Beach,https://deerfield-beach.com/m/newsflash/Home/Detail/4992,City of Deerfield Beach,official_city_news_release,"On December 22, 2025, the city announced it would not renew the BSO contract and would build its own police department, but also stated that BSO remains contractually and legally obligated to continue providing full service during a nearly two-year transition."
4,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Deerfield Beach Police Department with population 80,178 and total index crime 1,888."
5,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report retains Deerfield Beach Police Department as a named municipal row with population 87,106 but all offense cells blank."
6,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS offense workbook found no Deerfield Beach Police Department row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets."
7,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0060200 exclusively to Deerfield Beach city."
8,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0060200 is classified as a local police department with SRS and NIBRS source-presence flags through 2024 even though Deerfield Beach is currently a BSO contract-policing city."
9,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"FL0060200 has CIUS-backed 2018-2019 rows, an FDLE-aligned 2020 SRS annual row with total index crime 1,888, then zero annual rows from 2021 through 2024."
10,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Deerfield Beach offense controls are fully fill-backed because preferred reported support is zero and the row is treated as structurally missing or unreliable."
11,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Deerfield Beach is queued in high_impact_full_fill_place with total_fill_count 2,484.0 and total_reported_count 0.0."
