source_id,title,url,publisher,source_type,key_finding
1,About Us,https://jacksonvillebeach.org/463/About-Us,City of Jacksonville Beach,official_city_police_page,"The official Jacksonville Beach Police Department page says the department is a CALEA-accredited full-service law-enforcement agency with 100 sworn officers and employees, lists patrol and specialized units, and links to annual reports."
2,Chief Gene Paul Smith,https://jacksonvillebeach.org/490/Chief-Gene-Paul-Smith,City of Jacksonville Beach,official_city_police_leadership_page,"The official city site identifies Gene Paul Smith as the current police chief and describes his long service across Jacksonville Beach Police Department operations."
3,FY 2026 Annual Budget,https://www.jacksonvillebeach.org/DocumentCenter/View/6669/FY-2026,City of Jacksonville Beach,official_city_budget,"The adopted FY2026 budget names Gene P. Smith as Chief of the Police Department, shows police as a funded city business plan, and lists current police-protection summary statistics."
4,Police Department Annual Reports Archive,https://jacksonvillebeach.org/Archive.aspx?AMID=36,City of Jacksonville Beach,official_city_archive,"The official police archive center publishes Jacksonville Beach Police Department annual reports and currently exposes archived annual reports for 2016, 2017, and 2018."
5,2018 Annual Report (PDF),https://jacksonvillebeach.org/Archive.aspx?ADID=52,City of Jacksonville Beach,official_city_annual_report,"The 2018 Jacksonville Beach Police Department annual report publishes city crime and traffic statistics, including 2018 counts for homicide, robbery, burglary, larceny, and motor-vehicle theft."
6,2011 Peyton Transition Report - Chapter on Office of the Sheriff,https://www.jacksonville.gov/City-Council/Docs/Consolidation-Task-Force/2011-PeytonTransitionReport.aspx,City of Jacksonville,official_city_government_report,"Jacksonville's consolidation materials say the sheriff structure brought Jacksonville and Duval law enforcement under one entity while the three beach communities retained separate police departments."
7,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Jacksonville Beach Police Department as a Duval municipal row with population 23,394 and total index crime 850."
8,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal report retains Jacksonville Beach Police Department as a named municipal row with population 24,075 but blanks the offense cells during the transition year."
9,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"The official FDLE FIBRS workbook contains no Jacksonville Beach Police Department row in the 2021, 2022, 2023, or 2024 sheets, but Jacksonville Beach reappears in the 2025 Q2 sheet."
10,agency_rosters_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,FBI Crime Data Explorer,official_federal_agency_roster_extract,"The official FBI CDE 2024 agency roster lists FL0160300 Jacksonville Beach Police Department as a City agency with `is_nibrs` true and `nibrs_start_date` 2025-01-01."
11,ori_source_validation_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/validation/ori_source_validation_2024.csv,CrimeRisk repo using official FBI CDE roster inputs,internal_validation_against_official_federal_roster,"The validation artifact classifies FL0160300 as present_but_no_2024_observation with issue official_nibrs_start_after_2024."
12,fdle_fibrs_2024_offense_period_extract.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FDLE-FIBRS-2024/fdle_fibrs_2024_offense_period_extract.csv,CrimeRisk repo,internal_normalized_official_state_extract,"The normalized extract built from FDLE's official 2024 FIBRS workbook contains no Jacksonville Beach agency row."
13,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0160300 exclusively to 12:municipal:place:1235050 Jacksonville Beach city."
14,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0160300 is classified as a local_police agency and still carries SRS and NIBRS presence flags through 2024 despite the missing public 2021-2024 state offense rows."
15,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show Jacksonville Beach annual support in 2018, 2019, and 2020, followed by zero-valued annual rows from 2021 through 2024."
16,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Jacksonville Beach offense controls are fully filled because preferred reported support is zero and the row is treated as structurally missing or unreliable."
17,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Jacksonville Beach is queued in high_impact_full_fill_place with suspect_reason full_fill_no_reported_support, total_fill_count 990.0, total_reported_count 0.0, and priority_rank 10."
