path_or_pattern,category,where_it_came_from_or_how_it_was_written,wiring_status
"README.md","repository_documentation","Hand-maintained product-facing repository overview.","Documentation only; not wired into the build."
"docs/SPEC.md","technical_documentation","Technical build specification maintained alongside the live project.","Documentation only; not wired into the build."
"docs/TRACKER.md","process_documentation","Running tracker and work log maintained during implementation.","Documentation only; not wired into the build."
"docs/AGS-CrimeRisk-Methodology-2025B.txt; docs/AGS-CrimeRisk-Methodology-2025B.pdf","external_reference","Published AGS methodology documents retained for citation and comparison.","Reference material only; not wired into the build."
"scripts/release/assets/Manual_Input_Inventory.md; scripts/release/assets/manual_input_inventory.csv","release_documentation","Submission-package inventory files describing the non-raw, non-code materials shipped in the clean package.","Documentation only; not wired into the build."
"configs/agency_master_supplement.csv","human_edited_production_config","Maintained during agency-roster cleanup to add or correct agency master fields that were not reliable in the raw FBI/state rosters alone.","Live build input to the agency master and reference layer."
"configs/city_incident_sources.csv","human_edited_production_config","Curated during city-source research to record benchmark-city candidates, source locations, access notes, and packet keys.","Defines the city packet universe and promotion targets."
"configs/city_incident_priority.csv","human_edited_support_config","Prepared during benchmark-city scoping to rank additional city research lanes.","Review prioritization only; not a direct release-build input."
"configs/city_incident_categories/*.csv","human_authored_mapping_tables","Written during city packet review when a city's offense labels could not be mapped cleanly by generic rules.","Live build input for promoted city packet normalization."
"configs/local_resolution_overrides.csv","human_edited_production_config","Written during local reference review for agency-to-place or agency-to-jurisdiction cases where the automated resolver was wrong or ambiguous.","Live build input to reference promotion and jurisdiction matching."
"configs/municipal_geometry_overrides.csv","human_edited_production_config","Written during municipal geometry QA and map inspection for places that needed explicit footprint help.","Live build input to geometry support and municipal allocation."
"configs/overlap_custom_footprints.csv","human_edited_production_config","Compiled during overlap research for overlapping or special-purpose agencies whose footprint could not be inferred generically.","Live build input to overlap handling."
"configs/overlap_footprint_overrides.csv","human_edited_production_config","Written during overlap review to select among competing candidate footprints.","Live build input to overlap handling."
"configs/reporting_regime_overrides.csv","human_edited_production_config","Written during reporting QA for agency-year cases where the automated regime classifier produced an implausible label.","Live build input to reporting-regime classification."
"configs/source_preference_overrides.csv","human_edited_production_config","Written during source-audit work for agency-year-offense rows where the automated source ranking was known to be wrong.","Live build input to source selection in the observations and controls lanes."
"configs/templates/*.csv","dormant_templates","Starter templates retained as examples for future override work.","Not wired into the live build."
"state/review/support/service_structure_notes.csv","review_support_notes","Notes collected during local-resolution review about service structure, contracting, and agency-jurisdiction relationships.","Provenance/support only."
"state/review/support/methodology_audit_log.csv","review_support_notes","Maintained as a running log of methodology changes and decisions.","Provenance/support only."
"state/review/support/model_diagnostic_review.csv","review_support_notes","Maintained to summarize model experiments and benchmark interpretations.","Provenance/support only."
"state/review/support/feature_source_inventory.csv","review_support_notes","Curated inventory of candidate feature families and source status.","Provenance/support only."
"state/review/support/seeds/*.csv","review_support_seeds","Seed lists used to initialize review queues and packet scaffolds.","Review support only."
"state/review/queues/local_resolution/local_agency_manual_review.*; agency_jurisdiction_review.*; nonmunicipal_manual_review.*; local_queue_resolved_final.*; nonmunicipal_special_resolved_final.*; provisional_local_agency_matches.*","manual_review_outputs","These files begin as review candidates but the listed variants carry reviewed adjudications about agency-jurisdiction relationships.","Upstream manual evidence later promoted into canonical reference inputs."
"state/reference/inputs/*.parquet","promoted_manual_input_surface","Canonical promoted parquets written from the resolved local-resolution review tables.","Direct live build input to build-reference-layers."
"state/review/packets/municipal_targets/*/packet_manifest.json; sources.csv; research_findings.json; recommendation.csv; published_reference_extract.csv; *_offense_extract.csv","municipal_packet_review_files","Municipal packet artifacts assembled during local-publication review from official annual reports and manual packet conclusions.","Review provenance and promotion source material; recommendation and extract files directly feed local-publication promotion."
"state/modeling/inputs/local_publication/*/*; state/modeling/inputs/local_publication_annual.parquet","promoted_municipal_manual_input_surface","Canonical municipal packet copies and consolidated annual local-publication surface created from accepted packet extracts.","Direct live build input to local-publication promotion, observations, and 2024 controls."
"state/review/packets/city/*/packet_manifest.json; packet_status.csv; packet_checklist.csv; source_candidate.csv; research_findings.json; reconciliation_summary.csv","city_packet_review_files","Packet-level city review materials created during benchmark-city source research, offense harmonization, and geography validation.","Upstream review/provenance for city-incident promotion."
"state/modeling/inputs/city_incident/*/packet_status.csv; packet_offense_status.csv; offense_crosswalk.csv; published_reference_extract.csv","promoted_city_manual_input_surface","Canonical city packet inputs copied from reviewed packet state. The crosswalk and offense-status files record the accepted mapping from city-native incident labels to the project ontology.","Direct live build input to city-incident promotion and city-share building."
"state/review/packets/source/states/*/packet_manifest.json; packet_status.csv; research_findings.json; source_recommendations.csv; state_priority_rows.csv; issue_bucket_summary.csv; supporting_issue_metrics.csv","state_source_review_packets","State-level source-audit packet materials created during official-publication research.","Provenance/support; only some states became active loader lanes."
"state/review/packets/source/states/fl/fdle_fibrs_2024_ingestion_contract.json; fdle_fibrs_2024_workbook_schema.json; state/review/packets/source/states/ms/official_ingestion_contract.json","manual_ingestion_contracts","Parsing contracts written after studying the official Florida and Mississippi state-publication exports.","These contracts explain how the active state-publication loaders were configured."
"state/review/packets/source/states/ca/reference_master_omission_patch.csv; state/review/packets/source/states/tx/reference_master_omission_patch.csv; state/review/packets/source/reference_master_omission_patch_all.csv","manual_reference_patches","Curated omission or patch lists for reference-master gaps identified during state source review.","Provenance/support; not part of the normal release rebuild path unless explicitly promoted later."
"state/review/runs/**/*.json; state/review/packets/source/states/*/codex_worker_*.txt; state/review/packets/source/states/*/codex_worker_*.jsonl","review_process_logs","Worker prompts, batch descriptors, and machine-readable run logs from agent-assisted review sweeps.","Provenance only; not used by the live build."
