source_id,title,url,publisher,source_type,key_finding
1,City Manager,https://www.cityofhomestead.com/citymanager,City of Homestead,official_city_government,"The City Manager page says the manager oversees day-to-day city operations, implements City Council policies, and manages the annual budget, confirming Homestead is a live municipal government."
2,Police Explorers,https://www.cityofhomestead.com/explorers,City of Homestead,official_police_page,"The official police site says the Police Explorers program falls under the City of Homestead Police Department and lists Homestead Police Department headquarters and contact information at 45 Northwest 1st Avenue."
3,"Special Call Meeting Police Chief Swearing In Ceremony Agenda, January 3 2025",https://local.cityofhomestead.com/weblink/0/edoc/567914/2025-01-03%20SPECIAL%20CALL%20SWEARING-IN%20AGENDA.pdf,City of Homestead,official_city_agenda,"The official city agenda documents the swearing-in of Mario Knapp as Police Chief on January 3, 2025 and references the Homestead Police Honor Guard."
4,2024 Annual Report,https://local.cityofhomestead.com/weblink/0/edoc/605532/2024%20-%20Annual%20Report.pdf,City of Homestead,official_city_annual_report,"The 2024 annual report says the Police Department accomplished projects and initiatives during 2024 and lists multiple police-related operating and capital actions."
5,Adopted Budget Book for FY25 (Numbers Only) Updated 02-2025,https://local.cityofhomestead.com/weblink/0/edoc/570767/Adopted%20Budget%20Book%20for%20FY25%20%28NUMBERS%20ONLY%29%20UPDATED%2002-2025.pdf,City of Homestead,official_city_budget,"The adopted FY2025 budget book includes active Police Department operating lines, police public-records lines, and police pension funding, confirming that Homestead still funds a city police function."
6,2022 Annual Report,https://local.cityofhomestead.com/weblink/0/edoc/497798/2022%20-%20Annual%20Report.pdf,City of Homestead,official_city_annual_report,"The 2022 annual report says the Police Department processed 15,422 incident/offense and crash reports and completed 561 public-records requests, showing a maintained local police records surface."
7,2023 Annual Report,https://local.cityofhomestead.com/weblink/0/edoc/534397/2023%20-%20Annual%20Report.pdf,City of Homestead,official_city_annual_report,"The 2023 annual report says the Police Department processed 13,036 incident/offense and crash reports, completed 190 public-records requests, and deployed ProPhonix as a replacement for CAD, records management, and report writing."
8,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's official 2021 county-and-municipal report lists Homestead Police Department as a municipal row with population 81,110 and total index crime 2,258."
9,Florida Incident-Based Report Reporting System (FIBRS),https://www.fdle.state.fl.us/cjab/fibrs,Florida Department of Law Enforcement,official_state_crime_portal,"FDLE states that Florida incident-based reporting submissions for the 2021-2025 Q3 cycles are available via the downloadable FIBRS Excel workbook."
10,fdle_fibrs_2024_offense_period_extract.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FDLE-FIBRS-2024/fdle_fibrs_2024_offense_period_extract.csv,CrimeRisk repo,internal_normalized_official_state_extract,"The normalized extract built from the official FDLE 2024 FIBRS workbook contains no Homestead agency row."
11,agency_rosters_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,FBI Crime Data Explorer,official_federal_agency_roster_extract,"The official FBI CDE 2024 agency roster lists FL0130500 Homestead Police Department and gives a NIBRS start date of 2025-01-01."
12,ori_source_validation_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/validation/ori_source_validation_2024.csv,CrimeRisk repo using official FBI CDE roster inputs,internal_validation_against_official_federal_roster,"The validation artifact classifies FL0130500 as present_but_no_2024_observation with issue official_nibrs_start_after_2024."
13,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0130500 exclusively to 12:municipal:place:1232275 Homestead city."
14,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0130500 is classified as a local_police agency with SRS and NIBRS presence flags and years listed through 2024."
15,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"FL0130500 has real annual support in 2018, 2019, 2020, and 2022 but zero annual rows in 2021, 2023, and 2024, which is inconsistent with the official 2021 FDLE publication."
16,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Homestead offense controls are fully filled because preferred reported support is zero and the row is treated as structurally missing or unreliable."
17,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Homestead is queued in high_impact_full_fill_place with suspect_reason full_fill_no_reported_support, total_fill_count 2271.1193146698256, and zero reported support."
