source_id,title,url,publisher,source_type,key_finding
1,Broward Sheriff's Office Dania Beach district page,https://testorg.sheriff.org/dania-beach/,Broward Sheriff's Office,official_county_sheriff_district_page,"As of March 24, 2026, BSO operates a current Dania Beach district and says Dania Beach is served through a contractual agreement with BSO with an annual operating budget of about $19.5 million and 94 positions."
2,City of Dania Beach FY 2017 Annual Comprehensive Financial Report,https://daniabeachfl.gov/DocumentCenter/View/10674,City of Dania Beach,official_city_financial_report,"The City's FY 2017 financial statements say Dania Beach police officers became Broward Sheriff's Office employees effective October 1, 1988 under an August 30, 1988 service agreement."
3,FDLE ATMS agency registry search surface,https://atms.fdle.state.fl.us/atms/od/searchOD.jsf,Florida Department of Law Enforcement,official_state_agency_registry,"FDLE's current agency registry still lists the legacy identity 'Dania Police Department (FL0060100)'."
4,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Dania Beach Police Department with population 32,215 and total index crime 1,226."
5,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report retains Dania Beach Police Department as a named municipal row with population 31,837 but all offense cells blank."
6,FIBRS Offense Detail 2021-2025 Q3 workbook repo copy,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FDLE-FIBRS-2024/FIBRS_Offense_Detail_2021-2025_Q3.xlsx,Florida Department of Law Enforcement / CrimeRisk repo copy,official_state_crime_workbook_repo_copy,"Inspection of the repo's official FDLE FIBRS offense workbook copy found no Dania or FL0060100 row in the 2021, 2022, 2023, 2024, or 2025 Q3 sheets."
7,FBI CDE Florida roster raw file 2024,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/raw/FL.json,Federal Bureau of Investigation / CrimeRisk repo copy,official_federal_agency_roster_repo_copy,"The FBI CDE 2024 Florida roster still lists Dania Beach Police Department, ORI FL0060100, as a City agency and marks it non-NIBRS."
8,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0060100 exclusively to 12:municipal:place:1216335."
9,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0060100 remains classified as a local police agency with SRS and NIBRS source-presence flags through 2024 even though the public observation surface is empty post-2020."
10,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"FL0060100 has substantive SRS annual observations in 2018, 2019, and 2020, then zero annual rows from 2021 through 2024."
11,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Dania Beach offense controls are fully fill-backed with preferred reported support 0.0 and dominant reporting regime structurally_missing_or_unreliable."
12,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Dania Beach is queued in high_impact_full_fill_place with suspect_reason full_fill_no_reported_support, total_fill_count 1260.0, and total_reported_count 0.0."
