source_id,title,url,publisher,source_type,key_finding
city_budget_2026,FY 2026 Adopted Budget Book with links,https://lauderdalelakes.org/DocumentCenter/View/7477/FY-2026-Adopted-Budget-Book-with-links,City of Lauderdale Lakes,official_city_budget,"The City says BSO serves as Lauderdale Lakes' primary law-enforcement agency, District 4 delivers service under a renewable contract, the agreement was renewed effective May 5 2025, approximately 50 positions are contracted for dedicated police services, and the City first contracted with BSO for police and code-compliance services in 1978."
fdle_offense_2020,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Lauderdale Lakes PD with population 36,527 and total index crime 1,057."
fdle_offense_2021,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report retains Lauderdale Lakes PD as a Broward municipal row with population 36,647 but blanks all offense fields."
fdle_fibrs_workbook,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS offense workbook found no Lauderdale Lakes row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets, even though Broward peers such as Coral Springs, Davie, Fort Lauderdale, Miramar, Pembroke Pines, Hillsboro Beach, Southwest Ranches, and Seminole appear in at least some years."
fbi_cde_agency_roster_2024,agency_rosters_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.parquet,FBI Crime Data Explorer via official API pull cached in repo,official_federal_agency_roster_repo_copy,"The official 2024 FBI CDE agency roster row for FL0061700 lists Lauderdale Lakes Police Department as a City agency in Broward County, with is_nibrs set to false and no nibrs_start_date."
agency_to_jurisdiction_crosswalk,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0061700 exclusively to 12:municipal:place:1239525."
agency_master,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0061700 is still classified as a local police department and is flagged with both SRS and NIBRS presence across 2018-2024 despite no recovered public NIBRS observation rows."
agency_year_observations,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show FL0061700 with annual Part I totals of 1,521 in 2018, 1,294 in 2019, and 1,057 in 2020, followed by zero-valued SRS annual placeholders in 2021-2024 and no NIBRS rows."
jurisdiction_controls_2024,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"Every 2024 Lauderdale Lakes offense control row is preferred from srs_return_a_annual with reported_count_preferred 0.0 and dominant_reporting_regime structurally_missing_or_unreliable."
municipal_target_review_queue,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Lauderdale Lakes is queued in high_impact_full_fill_place with total_fill_count 1272.0, total_reported_count 0.0, and priority_rank 8."
