source_id,title,url,publisher,source_type,key_finding
1,Town Directory | Islip, NY,https://islipny.gov/town-directory,Town of Islip,official_town_government,"The Town directory lists Public Safety Enforcement, Code Enforcement, Harbor Police, Fire Prevention, and Parking Violations rather than a general town police department."
2,Town of Islip 2024 Adopted Budget Book,https://www.islipny.gov/community-and-services/documents/departments/comptroller/1240-2024-town-of-islip-adopted-budget-book/file,Town of Islip,official_town_budget,"The budget describes the Department of Public Safety Enforcement as a quality-of-life and enforcement unit rather than a general municipal police department."
3,Code Enforcement | Islip, NY,https://islipny.gov/departments/public-safety-enforcement/code-enforcement,Town of Islip,official_town_government,"The Town's code-enforcement page describes specialized enforcement of building and town-code violations, not general criminal-law policing."
4,Village Governments | Islip, NY,https://islipny.gov/government/village-governments,Town of Islip,official_town_government,"The Town officially lists incorporated village governments inside Islip, confirming that the town is not a single undivided local service surface."
5,Public Safety | Suffolk County,https://www.suffolkcountyny.gov/public-safety,Suffolk County,official_county_government,"Suffolk County states that the Suffolk County Police Department provides all police services for the Suffolk County Police District, comprised of the five western towns including Islip."
6,Emergency Telephone Numbers | Suffolk County,https://www.suffolkcountyny.gov/Departments/FRES/Communications-Bureau/Emergency-Telephone-Numbers,Suffolk County,official_county_government,"County emergency-contact materials use Suffolk County Police as the non-emergency incident-reporting surface and list a separate town emergency-management number for Islip."
7,Traffic Stops by Suffolk County Police,https://www.suffolkcountyny.gov/Portals/0/formsdocs/police%20reform/Traffic%20Stops%20by%20Suffolk%20County%20Police%2010.19.2020.pdf,Suffolk County,official_county_police_reference,"County police materials map Islip communities into Suffolk County Police precinct geography rather than a town-specific police department."
8,Town of Islip and Suffolk County Police Take Action Against Illegal Cannabis Sales in Smoke and Vape Shops,https://islipny.gov/news/press-releases/296-town-of-islip-and-suffolk-county-police-take-action-against-illegal-cannabis-sales-in-smoke-and-vape-shops,Town of Islip,official_town_news,"The Town describes itself as partnering with Suffolk County Police on enforcement activity, which is consistent with county police primary jurisdiction rather than an independent town police force."
9,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"NY0510800 is zero in every panel year 2018-2024."
10,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"The 2024 Islip town control row is entirely fill-driven with no reported support."
