path_or_pattern,category,where_it_came_from_or_how_it_was_written,wiring_status
"README.md","release_documentation","Written as the package overview for a reviewer using the clean submission surface.","Documentation only; not wired into the build."
"report/CrimeRisk_Submission_Report.md","release_documentation","Generated canonical release report describing the implemented pipeline, diagnostics, and results.","Documentation only; not wired into the build."
"report/Manual_Input_Inventory.md","release_documentation","Hand-written inventory describing the non-raw, non-code materials retained in the package.","Documentation only; not wired into the build."
"references/AGS-CrimeRisk-Methodology-2025B.txt","external_reference","Published AGS methodology document copied into the package for citation and comparison.","Reference material only; not wired into the build."
"repro/configs/agency_master_supplement.csv","human_edited_production_config","Maintained during agency-roster cleanup to add or correct agency master fields that were not reliable in the raw FBI/state rosters alone.","Live build input to the agency master and reference layer."
"repro/configs/city_incident_sources.csv","human_edited_production_config","Curated during city-source research to record benchmark-city candidates, source locations, access notes, and packet keys.","Defines the city packet universe and promotion targets."
"repro/configs/city_incident_priority.csv","human_edited_production_config","Prepared during benchmark-city scoping to rank candidate city lanes for the live city-share build.","Live build input to build-city-incident-shares, which reads it to order candidate city lanes before packet-status gating."
"repro/configs/city_incident_categories/*.csv","human_authored_mapping_tables","Written during city packet review when a city's offense labels could not be mapped cleanly by generic rules.","Live build input for promoted city packet normalization."
"repro/configs/local_resolution_overrides.csv","human_edited_production_config","Written during local reference review for agency-to-place or agency-to-jurisdiction cases where the automated resolver was wrong or ambiguous.","Live build input to reference promotion and jurisdiction matching."
"repro/configs/municipal_geometry_overrides.csv","human_edited_production_config","Written during municipal geometry QA and map inspection for places that needed explicit footprint help.","Live build input to geometry support and municipal allocation."
"repro/configs/overlap_custom_footprints.csv","human_edited_production_config","Compiled during overlap research for overlapping or special-purpose agencies whose footprint could not be inferred generically.","Live build input to overlap handling."
"repro/configs/overlap_footprint_overrides.csv","human_edited_production_config","Written during overlap review to select among competing candidate footprints.","Live build input to overlap handling."
"repro/configs/reporting_regime_overrides.csv","human_edited_production_config","Written during reporting QA for agency-year cases where the automated regime classifier produced an implausible label.","Live build input to reporting-regime classification."
"repro/configs/source_preference_overrides.csv","human_edited_production_config","Written during source-audit work for agency-year-offense rows where the automated source ranking was known to be wrong.","Live build input to source selection in the observations and controls lanes."
"repro/state/review/queues/local_resolution/local_agency_manual_review.*; agency_jurisdiction_review.*; nonmunicipal_manual_review.*; local_queue_resolved_final.*; nonmunicipal_special_resolved_final.*; provisional_local_agency_matches.*","manual_review_outputs","These files begin as review candidates but the listed variants carry reviewed adjudications about agency-jurisdiction relationships.","Direct package rebuild input to the reference-input promotion step."
"repro/state/review/packets/municipal_targets/*/packet_manifest.json","municipal_packet_metadata","Packet metadata used by the local-publication promotion step to attach the reviewed extract to the intended jurisdiction and reporting ORI.","Immediate upstream input to local-publication promotion."
"repro/state/review/packets/municipal_targets/*/recommendation.csv","municipal_promotion_decision","Final packet-level recommendation after review, including whether the case should promote and which rows are usable.","Immediate upstream input to local-publication promotion."
"repro/state/review/packets/municipal_targets/*/published_reference_extract.csv; *_offense_extract.csv","municipal_manual_extracts","Structured extracts assembled from official municipal publications and normalized into the project offense/reference format.","Promotion source material for local-publication inputs."
"repro/state/review/packets/city/*/packet_status.csv; packet_offense_status.csv; offense_crosswalk.csv; published_reference_extract.csv; reconciliation_summary.csv","city_packet_promotion_inputs","Reviewed gating, offense-mapping, publication-anchor, and reconciliation files consumed by the city-incident promotion step before city-share building.","Immediate upstream input to city-incident promotion."
