batch_file,index_in_batch,case_id,class,cleanup_reason,constituent_reasons,original_class,state,oris,mass_hint,n_source_cases,source_case_ids,signal_arms,evidence_chars
batch_001.json,0,x-MN0181100-pequot-lakes,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,MN,MN0181100,37.0,2,b2-MN0181100-pequot-lakes;c-MN0181100-pequot-lakes,capacity_then_zero+pop_gt_1500,14711
batch_001.json,1,x-TX2300300-ore-city,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,TX,TX2300300,30.0,2,b2-TX2300300-ore-city;c-TX2300300-ore-city,capacity_then_zero,15107
batch_001.json,2,x-MN0610200-starbuck,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,MN,MN0610200,28.5,2,b2-MN0610200-starbuck;c-MN0610200-starbuck,capacity_then_zero,14918
batch_001.json,3,x-TX1940300-bogata,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,TX,TX1940300,24.0,2,b2-TX1940300-bogata;c-TX1940300-bogata,capacity_then_zero,14835
batch_001.json,4,x-IL0141300-germantown,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,IL,IL0141300,20.0,2,b2-IL0141300-germantown;c-IL0141300-germantown,capacity_then_zero,16481
batch_001.json,5,x-NM0090400-hurley,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,NM,NM0090400,14.0,2,b2-NM0090400-hurley;c-NM0090400-hurley,capacity_then_zero,15008
batch_001.json,6,x-KY0110200-junction-city,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,KY,KY0110200,12.5,2,b2-KY0110200-junction-city;c-KY0110200-junction-city,capacity_then_zero+pop_gt_1500,14509
batch_001.json,7,x-OH0070300-bridgeport,token_zero_shaped,merged_contradiction,cross_class_contradiction,published_zero+token_reporter,OH,OH0070300,11.0,2,b2-OH0070300-bridgeport;c-OH0070300-bridgeport,capacity_then_zero+pop_gt_1500,15152
batch_001.json,8,x-KY1130300-uniontown,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,KY,KY1130300,10.0,2,b2-KY1130300-uniontown;c-KY1130300-uniontown,capacity_then_zero,15266
batch_001.json,9,x-MN0110700-pillager,token_zero_shaped,merged_contradiction,cross_class_contradiction,published_zero+token_reporter,MN,MN0110700,8.5,2,b2-MN0110700-pillager;c-MN0110700-pillager,capacity_then_zero,13878
batch_002.json,0,x-IL0580100-blue-mound,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,IL,IL0580100,8.0,2,b2-IL0580100-blue-mound;c-IL0580100-blue-mound,capacity_then_zero,14389
batch_002.json,1,x-IL0110500-assumption,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,IL,IL0110500,7.5,2,b2-IL0110500-assumption;c-IL0110500-assumption,capacity_then_zero,15196
batch_002.json,2,x-IL0920900-ridge-farm,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,IL,IL0920900,7.5,2,b2-IL0920900-ridge-farm;c-IL0920900-ridge-farm,capacity_then_zero,14891
batch_002.json,3,x-GA1050200-eton,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,GA,GA1050200,7.0,2,b2-GA1050200-eton;c-GA1050200-eton,capacity_then_zero,14524
batch_002.json,4,x-IL1011000-durand,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,IL,IL1011000,6.0,2,b2-IL1011000-durand;c-IL1011000-durand,capacity_then_zero,15340
batch_002.json,5,x-MI7859600-morrice,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,MI,MI7859600,6.0,2,b2-MI7859600-morrice;c-MI7859600-morrice,capacity_then_zero,13971
batch_002.json,6,x-VA0960400-pound,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,VA,VA0960400,6.0,2,b2-VA0960400-pound;c-VA0960400-pound,capacity_then_zero,15979
batch_002.json,7,x-MN0400600-cleveland,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,MN,MN0400600,5.5,2,b2-MN0400600-cleveland;c-MN0400600-cleveland,capacity_then_zero,16024
batch_002.json,8,x-TX0980200-spearman,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,TX,TX0980200,5.5,2,b2-TX0980200-spearman;c-TX0980200-spearman,capacity_then_zero+pop_gt_1500,15293
batch_002.json,9,x-IL0090100-ashland,token_zero_shaped,merged_contradiction,cross_class_contradiction+structural_plausibility_residue,published_zero+token_reporter,IL,IL0090100,5.0,2,b2-IL0090100-ashland;c-IL0090100-ashland,capacity_then_zero,14762
