source_id,title,url,publisher,source_type,key_finding
1,SUNRISE POLICE DEPARTMENT,https://www.sunrisefl.gov/departments-services/police,City of Sunrise,official_city_police_page,"The City says Sunrise Police Department is a Florida-accredited law-enforcement agency and that the City's Public Safety Building is the department's headquarters and contains the City's 9-1-1 Dispatch Center."
2,Office of The Chief,https://www.sunrisefl.gov/departments-services/police/office-of-the-chief-of-police,City of Sunrise,official_city_police_page,"The City identifies Daniel J. Ransone as Chief of the Sunrise Police Department and says he assumed chief responsibilities in June 2023."
3,Message From the Chief,https://www.sunrisefl.gov/departments-services/police/message-from-the-chief,City of Sunrise,official_city_police_page,"The Chief's message page says the department had 323 professional employees as of June 2023, including 219 sworn officers and 104 civilian employees."
4,Sunrise Police History,https://www.sunrisefl.gov/departments-services/police/about-police/agency-history,City of Sunrise,official_city_history_page,"The City's police-history page says the City of Sunrise Golf Village Police Department was established in 1961."
5,Police Records,https://www.sunrisefl.gov/departments-services/police/police-divisions/communications-records,City of Sunrise,official_police_records_page,"The Records Unit page says the unit maintains crime reports and statistical records and provides police-report access from the Sunrise Public Safety Building."
6,BSO On Call,https://www.sheriff.org/Pages/BSO-On-Call.aspx,Broward Sheriff's Office,official_county_sheriff_page,"BSO's public On Call page lists law-enforcement service areas including Cooper City, Deerfield Beach, Lauderdale Lakes, Pembroke Park, Weston, and the Broward Municipal Services District; Sunrise is not listed."
7,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Sunrise Police Department with population 94,333 and total index crime 1,519."
8,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report lists Sunrise Police Department as a municipal row with a partial-year indicator, 120 days, population 97,359, and total index crime 507."
9,FIBRS Offense Detail 2021-2025 Q3 workbook,https://www.fdle.state.fl.us/getContentAsset/d7a9c200-43fd-4a08-8f39-fe9382115a42/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q3.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS offense workbook found no Sunrise Police Department row in the 2021, 2022, 2023, 2024, or 2025 Q3 sheets."
10,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0062700 exclusively to Sunrise city."
11,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0062700 is classified as a local police department and is flagged with SRS and NIBRS years through 2024, even though nibrs_max_months_reported is 0.0."
12,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"FL0062700 currently has CIUS local rows in 2018 and 2019, a nonzero 2020 SRS annual row, and zero-valued SRS rows for every tracked offense from 2021 through 2024."
13,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Sunrise offense controls are fully filled because preferred reported support is zero and the row is treated as structurally missing or unreliable."
14,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Sunrise is queued in high_impact_full_fill_place with total_fill_count 2202.0 and zero reported support."
