source_id,title,url,publisher,source_type,key_finding
1,Constables (1872-1933),https://www.townofbabylonny.gov/539/Constables-1872-1933,Town of Babylon,official_town_history_page,"The Town of Babylon states that its Police Department started in 1947 and was dissolved and merged into the Suffolk County Police Department effective January 1, 1960."
2,Town Directory,https://townofbabylonny.gov/128/Contact-Us,Town of Babylon,official_town_government,"The Town directory lists Public Safety, Fire Marshal's Office, and other departments, but does not list a Town Police Department."
3,Code Enforcement,https://www.townofbabylonny.gov/795/Code-Enforcement,Town of Babylon,official_town_government,"Babylon's Code Enforcement division works closely with local police and government agencies and can issue summonses, indicating a support/enforcement role rather than general policing."
4,Park Rangers,https://www.townofbabylonny.gov/796/Park-Rangers,Town of Babylon,official_town_government,"Park Rangers are NYS peace officers responsible for protecting town parks and maintaining order within Town parks and recreational facilities."
5,Bay Constables,https://www.townofbabylonny.gov/794/Bay-Constables,Town of Babylon,official_town_government,"Bay Constables patrol the Great South Bay and Town beaches and facilities as NYS peace officers."
6,What is a Hamlet?,https://www.townofbabylonny.gov/698/What-is-a-Hamlet,Town of Babylon,official_town_government,"The Town says it is comprised of ten hamlets and three incorporated villages."
7,Town History,https://www.townofbabylonny.gov/530/Town-History,Town of Babylon,official_town_history_page,"The Town history page identifies the three incorporated villages inside Babylon town as Amityville, Babylon, and Lindenhurst."
8,Public Safety,https://www.suffolkcountyny.gov/public-safety,Suffolk County,official_county_government,"Suffolk County states that its Police Department provides all police services for the five western towns, including Babylon, and separately provides various services for incorporated villages that maintain their own police departments."
9,First Precinct,https://suffolkpd.org/precincts-and-specialized-units/precincts/first-precinct,Suffolk County Police Department,official_county_police_page,"The First Precinct states that it proudly covers the Town of Babylon."
10,Police Department,https://www.amityville.com/163/Police-Department,Incorporated Village of Amityville,official_village_government,"Amityville maintains an official village Police Department with its own phone number, chief, and emergency guidance."
11,Village of Babylon Departments,https://www.villageofbabylonny.gov/departments,Incorporated Village of Babylon,official_village_government,"Babylon Village directs emergency matters to 911 and quality-of-life complaints to Code Enforcement, while presenting no village police department."
12,Contact the Village of Babylon,https://www.villageofbabylonny.gov/contact-the-mayors-office,Incorporated Village of Babylon,official_village_government,"Babylon Village lists Police as 911 in its emergency numbers and lists village offices such as Code Enforcement separately."
13,Village of Lindenhurst Contact Information,https://villageoflindenhurstny.gov/contact/,Incorporated Village of Lindenhurst,official_village_government,"Lindenhurst lists Police Emergency as 911 and does not present a village police department in its official contact information."
14,Village Square Public Safety Office Opens,https://villageoflindenhurstny.gov/village-square-public-safety-office-opens/,Incorporated Village of Lindenhurst,official_village_government,"Lindenhurst states that its Village Public Safety Officers work with the Suffolk County Police Department to provide an additional layer of safety."
15,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Babylon town is queued as service_structure_suspect / cousub with six filled offenses, total_fill_count 4535.449057141323, and total_reported_count 0.0."
16,agency_to_jurisdiction_crosswalk.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.csv,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes NY0510200 exclusively to 36:municipal:cousub:3610304000 with weight 1.0."
17,local_agency_resolved_full.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/local_agency_resolved_full.csv,CrimeRisk repo,internal_repo_artifact,"The agency master resolves NY0510200 raw name 'babylon town' as a local_police record matched to Babylon town."
18,agency_jurisdiction_review.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/agency_jurisdiction_review.csv,CrimeRisk repo,internal_repo_artifact,"The agency review shows NY0510200 has SRS and NIBRS presence through 2024 but a latest SRS part I total of 0.0 and months reported of 0.0."
19,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"For NY0510200, every listed Part I offense row from 2018 through 2024 has count 0.0 and months_reported 0.0."
20,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"Babylon town's 2024 control rows have reported_count_preferred 0.0 for every offense and rely entirely on current-year fill."
