source_id,title,url,publisher,source_type,key_finding
1,Department of Public Services | City of College Park, Maryland,https://www.collegeparkmd.gov/dps,City of College Park,official_city_government,"The City's Department of Public Services manages public safety and the Contract Police Program; the page does not identify a city police department."
2,Public Safety & Emergency Preparedness | City of College Park, Maryland,https://www.collegeparkmd.gov/publicsafety,City of College Park,official_city_government,"The City routes emergency and non-emergency incident reporting to Prince George's County Police and publishes PGPD monthly crime maps for incidents within city limits."
3,Department of Public Services | City of College Park, Maryland,https://www.collegeparkmd.gov/162/Public-Services,City of College Park,official_city_government,"The City states that its Contract Police Program provides off-duty Prince George's County police officers to supplement the County's regular police services within the City."
4,CITY OF COLLEGE PARK FY24 Adopted Budget,https://www.collegeparkmd.gov/DocumentCenter/View/6009/FY24-Budget-Adopted,City of College Park,official_city_budget,"The City budget explicitly says the City does not have a Police Department and that police services are provided through the University of Maryland Police Department and contractual arrangements with Prince George's County."
5,CITY OF COLLEGE PARK FY23 Adopted Budget,https://www.collegeparkmd.gov/DocumentCenter/View/4681/FY23-Adopted-Budget-FINAL-interactive,City of College Park,official_city_budget,"The Contract Police program is described as enhancing and supplementing five agencies with primary or concurrent jurisdiction, and it identifies PGPD as having primary jurisdiction citywide."
6,An Assessment of Public Safety and Police Services in College Park Maryland,https://www.collegeparkmd.gov/DocumentCenter/View/979/Police-Foundation-College-Park-Police-Services-Assessment-Final-March-2018,Police Foundation for the City of College Park,city_commissioned_public_safety_assessment,"The assessment says PGPD is the local law-enforcement agency with primary jurisdiction throughout the city and recommends remaining under the current policing structure in the short term."
7,Jurisdiction | University of Maryland Police Department,https://umpd.umd.edu/about-us/jurisdiction,University of Maryland Police Department,official_university_police,"UMPD states that it has primary jurisdiction on university property and concurrent jurisdiction in adjacent parts of College Park, while PGPD remains the primary agency for off-campus investigations in that concurrent-jurisdiction area."
8,UNIVERSITY OF MARYLAND POLICE DEPARTMENT Annual Security Report,https://umpd.umd.edu/sites/default/files/2024-12/AnnualSecurityReport.pdf,University of Maryland Police Department,official_university_police_report,"The annual security report reiterates that UMPD's PGPD agreement covers adjacent parts of College Park but that PGPD is the primary investigating agency off campus."
9,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"MD0170600 is a zero-count summary row in every panel year 2018-2024."
10,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"The 2024 College Park city control row is entirely current-year fill with no reported support."
