source_id,title,url,publisher,source_type,key_finding
1,Police Department,https://www.melbourneflorida.org/Government/Departments/Police-Department,City of Melbourne,official_police_page,"The City maintains an official Melbourne Police Department page with headquarters, non-emergency contact information, and a city crime map updated daily."
2,MPD Launches Interactive Community Crime Map,https://www.melbourneflorida.org/Government/Departments/Police-Department/MPD-News/MPD-Launches-Interactive-Community-Crime-Map,City of Melbourne,official_city_news,"The City announced on June 5, 2025 that Melbourne Police Department launched an interactive crime map for reported crime in the City of Melbourne, confirming current active municipal policing operations."
3,Budget,https://www.melbourneflorida.org/Government/Budget,City of Melbourne,official_city_budget_page,"The city budget page includes police-department budget actions and Law Enforcement Trust Fund actions, supporting an active municipally funded police function."
4,County and Municipal Offense Data 2019,https://www.fdle.state.fl.us/CJAB/UCR/Annual-Reports/UCR-Annual-Archives/County-and-Municipal-Offense-Data/County_and_Municipal_Offense_Report_2019A,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE lists Melbourne Police Department as a separate Brevard municipal law-enforcement row in 2019."
5,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/CJAB/UCR/Annual-Reports/UCR-Annual-Archives/County-and-Municipal-Offense-Data/County_and_Municipal_Offense_Report_2020A,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE lists Melbourne Police Department with a 2020 index total of 3,288 while separately listing Brevard County Sheriff's Office, West Melbourne Police Department, and Melbourne International Airport PD."
6,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE still lists Melbourne Police Department in 2021 with a nonzero index total of 2,925, showing that the municipal reporting surface continued after 2020."
7,UCR Incident-Based Reports,https://www.fdle.state.fl.us/cjab/ucr/annual-reports/fibrs,Florida Department of Law Enforcement,official_state_crime_portal,"FDLE states that downloadable FIBRS Excel reports cover the 2021-2024 and 2025 Q1 reporting cycles, making this the most likely official post-2021 backfill surface for Melbourne Police Department."
8,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live repo crosswalk routes FL0050700 exclusively to 12:municipal:place:1243975."
9,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show nonzero annual totals for FL0050700 in 2018-2020 and zero annual totals in 2021-2024."
10,official_fibrs_spotcheck_2024_reconciled.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/fl/official_fibrs_spotcheck_2024_reconciled.csv,CrimeRisk repo,internal_validated_state_packet_artifact,"The Florida source packet records FL0050700 as not_found_in_workbook in the official 2024 workbook reconciliation, indicating a current-era state-surface continuity problem."
