source_id,title,url,publisher,source_type,key_finding
1,Kankakee Police Department,https://citykankakee-il.gov/departments/police/,City of Kankakee,official_city_government,"The City maintains a live Kankakee Police Department page with department services, current links, and police-specific city contact information."
2,Chief's Corner,https://citykankakee-il.gov/departments/police/police-chief.php,City of Kankakee,official_city_government,"The City presents Chief Christopher Kidwell as the current police chief and describes his long Kankakee City Police career."
3,History of Kankakee Police Department,https://citykankakee-il.gov/departments/police/history.php,City of Kankakee,official_city_government,"The department history page describes a substantial sworn and civilian Kankakee Police Department with patrol, investigations, juvenile, records, technology, and community-service functions."
4,Public Safety Committee,https://citykankakee-il.gov/publicsafety.php,City of Kankakee,official_city_government,"The City says the Public Safety Committee receives monthly police-department reports including incident summaries, operations, budget management, expenses, and training."
5,Patrol,https://www.kankakeecountysheriff.com/divisions/patrol,Kankakee County Sheriff's Office,official_county_government,"The sheriff describes a county patrol division serving rural and urban Kankakee County and county court functions, which is a separate county layer rather than evidence that the city police department was dissolved."
6,Crime in Illinois Annual Uniform Crime Report,https://isp.illinois.gov/CrimeReporting/CrimeInIllinoisReports,Illinois State Police,official_state_crime_publication,"Illinois State Police still maintains the legacy Crime in Illinois annual-publication archive through 2021."
7,Crime in Illinois 2021,https://isp.illinois.gov/StaticFiles/docs/CrimeReporting/cii/cii21/Crime%20in%20Illinois%202021.pdf,Illinois State Police,official_state_crime_publication,"The 2021 annual report still published a nonzero Kankakee city row with population 25,872, crime rate 510.2, and total offenses 1,039."
8,Crime in Illinois Online Home,https://ilucr.nibrs.com/,Illinois State Police,official_state_crime_portal,"The official Illinois portal says that starting in 2023 agency data will be published only after achieving NIBRS certification."
9,agency_rosters_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,FBI Crime Data Explorer mirrored in repo,official_federal_roster_mirror,"The mirrored 2024 FBI roster still lists IL0460200 as Kankakee Police Department, agency type City, with is_nibrs false."
10,ori_source_validation_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/validation/ori_source_validation_2024.csv,CrimeRisk repo,internal_repo_artifact,"The validation artifact flags IL0460200 as present in the official FBI roster but with no repo 2024 observation."
11,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"IL0460200 is routed exclusively to 17:municipal:place:1738934."
12,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Kankakee carries positive observed counts in 2018-2020 and only zero-valued SRS placeholders in 2021-2024."
13,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Kankakee is queued as a high-impact full-fill place with zero reported support and 100 percent fill share."
14,Offense and Arrest Summary Report - NIBRS Agencies only,https://ilucr.nibrs.com/Report/AgencySummaryReport,Illinois State Police,official_state_crime_portal,"A direct April 2026 query against the public agency report path still exposed IL0460200 - KANKAKEE in the selector, but the selection was cleared on submit and no 2024 annual report surface materialized."
