city_key,city_name,jurisdiction_id,state_abbr,priority_bucket,priority_rank,basis,notes,source_name,source_url,portal_type,coverage_start_year,coverage_end_year,years_usable,recommended_disposition,geocode_quality_tier,packet_dir
new_york,New York,36:municipal:place:3651000,NY,first_wave,1,Largest municipal payoff in the country; the 2018-2024 dual-feed build is now working and the public year-end NYPD release gives a clean sanity-check anchor.,"Keep improving the reconciliation and share behavior, but NYC is no longer blocked.",NYPD Complaint Data Historic + Current feeds,https://data.cityofnewyork.us/api/views/qgea-i56i/rows.csv?accessType=DOWNLOAD ; https://data.cityofnewyork.us/api/views/5uac-w243/rows.csv?accessType=DOWNLOAD,socrata_dual_feed,2007,2025,7,ready_now,high,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/new_york
chicago,Chicago,17:municipal:place:1714000,IL,first_wave,2,"Single stable feed, direct coordinates, mature offense/location crosswalks, and long history.",Strong second city. Store and review annual-report reconciliation before scaling further.,Chicago Crimes 2001 to Present,https://data.cityofchicago.org/api/views/ijzp-q8t2/rows.csv?accessType=DOWNLOAD,socrata,2001,2025,25,ready_now,high,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/chicago
boston,Boston,25:municipal:place:2507000,MA,first_wave,3,Large AGS-seed city with official BPD/Analyze Boston direct-coordinate incidents and packet-validated property-offense reconciliation.,"Boston is now ready offense-selectively for larceny and motor_vehicle_theft only. Keep the initial live window at 2019-2024 because 2018 still needs explicit dedupe; keep murder pending explicit policy sign-off and leave rape, robbery, aggravated_assault, and burglary blocked by current public-feed coverage limits.",Boston Police Department Crime Incident Reports (August 2015 - To Date) (Source: New System),https://data.boston.gov/dataset/crime-incident-reports-august-2015-to-date-source-new-system,ckan_multi_resource_csv,2015,2026,6,ready_now,high,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/boston
seattle,Seattle,53:municipal:place:5363000,WA,first_wave,4,"AGS-seed city with strong public NIBRS-coded incidents, official annual WASPC counts, and a working Beat-aware fallback path.",Seattle is now ready offense-selectively. Keep murder rape robbery burglary larceny and motor_vehicle_theft live and leave aggravated_assault blocked as a methodological public-data limit rather than a remaining spatial bug.,Seattle SPD Crime Data 2008 to Present,https://data.seattle.gov/api/views/tazs-3rd5/rows.csv?accessType=DOWNLOAD,socrata,2008,2025,18,ready_now,high,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/seattle
san_francisco,San Francisco,06:municipal:place:0667000,CA,first_wave,5,"Existing local dual-feed ETL now supports a live offense-selective path, though public rape and homicide remain blocked.",Keep SF blocked city-wide but live offense-selectively for robbery aggravated_assault burglary larceny and motor_vehicle_theft; murder and rape remain blocked by public-data limits.,SFPD incidents early + late feeds,https://data.sfgov.org/api/views/tmnf-yvry/rows.csv?accessType=DOWNLOAD ; https://data.sfgov.org/api/views/wg3w-h783/rows.csv?accessType=DOWNLOAD,socrata_dual_feed,2003,2025,23,ready_now,high,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/san_francisco
austin,Austin,48:municipal:place:4805000,TX,first_wave,6,"Long continuous series and source-provided block groups make Austin valuable, and the remaining problem is now narrowed to a bounded aggravated-assault disagreement rather than a broad ETL question.",Austin is now live offense-selectively for robbery burglary larceny and motor_vehicle_theft. Keep aggravated_assault blocked until the official APD lookup and the empirical refresh candidate can be reconciled cleanly.,Austin APD Crime Reports,https://data.austintexas.gov/api/views/fdj4-gpfu/rows.csv?accessType=DOWNLOAD,socrata,2003,2025,23,ready_now,high,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/austin
mesa,Mesa,04:municipal:place:0446000,AZ,second_wave,7,"Second-wave offense-selective city with a validated current-feed contract and packet-approved counting rules for robbery, burglary, larceny, and motor_vehicle_theft.",Now live offense-selectively off the 2020-present feed for 2024-first use. Keep murder and rape blocked on location redaction and aggravated_assault blocked on the victim-count gap.,Mesa Police incidents 2020-present,"https://data.mesaaz.gov/resource/hpbg-2wph.csv?$select=crime_id,crime_type,report_date,report_year,occurred_date,verified,address,city,state,nibrs_code,nibrs_description,crime_against,offense_type,location&$where=report_year=%272024%27&$limit=60000",socrata_csv,2020,2025,6,ready_now,medium,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/mesa
baltimore,Baltimore,24:municipal:place:2404000,MD,second_wave,8,Large independent-city overlay candidate with official geocoded legacy SRS incidents and packet-validated offense-specific counting rules.,"Now live offense-selectively for rape, robbery, aggravated_assault, and larceny under the packet-validated 2024 legacy-SRS window through 2024-12-28. Keep murder blocked on the unresolved year-end homicide mismatch, burglary blocked on the persistent public-count overrun, and motor_vehicle_theft blocked on the remaining annual reconciliation gap.",Baltimore legacy SRS Part 1 feed + Baltimore NIBRS Group A companion feed,https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/Part1_Crime_Beta/FeatureServer/0 ; https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/NIBRS_GroupA_Crime_Data/FeatureServer/0,arcgis_dual_feed,2011,2025,14,ready_now,high,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/baltimore
philadelphia,Philadelphia,42:municipal:cousub:4210160000,PA,second_wave,8,"Large city police jurisdiction with a stable public incident feed, direct coordinates on most rows, and a packet-validated official reconciliation anchor.","Now live offense-selectively for aggravated_assault and burglary. Keep murder pending a clean criminal-homicide-only public anchor and keep rape, robbery, larceny, and motor_vehicle_theft blocked by stable reconciliation gaps.",City of Philadelphia Crime Incidents / incidents_part1_part2,https://opendataphilly.org/datasets/crime-incidents/ ; https://phl.carto.com/api/v2/sql,opendataphilly_plus_carto_sql_api,2006,2026,19,ready_now,high_with_4.2pct_xy_missing_2024,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/philadelphia
los_angeles,Los Angeles,06:municipal:place:0644000,CA,second_wave,9,"High municipal payoff, but the public LA surface is fragmented across geocoded legacy incidents and non-spatial post-transition NIBRS feeds.",Keep blocked until a public post-transition spatial contract or a validated district-boundary fallback exists. This is not a near-term selective-promotion lane.,LAPD legacy geocoded incidents plus public NIBRS companion feeds,https://data.lacity.org/api/views/63jg-8b9z/rows.csv?accessType=DOWNLOAD ; https://data.lacity.org/api/views/2nrs-mtv8/rows.csv?accessType=DOWNLOAD ; https://data.lacity.org/api/views/y8y3-fqfu/rows.csv?accessType=DOWNLOAD ; https://data.lacity.org/api/views/gqf2-vm2j/rows.csv?accessType=DOWNLOAD,socrata_multiplex,2010,2025,15,blocked,mixed_blocked,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/los_angeles
