component,current_rule,audit_status,retain_replace_decision,evidence_summary,next_action,owner
source_governance_2026_03_25,"Model CIUS local annual rows as first-class source identity, keep CIUS/SRS/NIBRS source semantics explicit, treat CIUS as canonical annual observation rather than hidden SRS or fake monthly support, and stop allowing explosive two-point local trend projection.",reviewed,replace,"Repo review found CIUS promoted as srs_return_a_annual with provenance flags, which forced downstream source-selection and estimator code to reason about 'secret CIUS SRS rows'. Local observations, tracker context, UCR book guidance, and official FBI/BJS transition materials support a cleaner doctrine: CIUS is the canonical FBI-published local annual row when present; otherwise SRS and NIBRS arbitrate as distinct sources by quality. Follow-up review also found CIUS rows being mislabeled as `full_monthly` in the reporting-regime layer even though CIUS only proves annual published completeness, and found the municipal estimator using a blunter regime-only observed rule than the jurisdiction estimator. The same review found the panel estimator allowing explosive two-point log-linear projection, which produced absurd 2020-2021 local estimates.",promote_cius_publication_annual_as_first_class_source_treat_it_as_annual_observed_not_monthly_and_raise_local_trend_projection_guardrails_to_3_usable_years_with_1_year_gap,codex
feature_filter_information_floor,Let any numeric non-protected non-count-like column flow into the model path as long as its dtype is numeric.,reviewed,replace,"The live BG frame showed several dead or near-dead features surviving selection solely because they were numeric: `road_median_length_km` was constant, `hh_family_other_share` was constant, and `other_road_length_km` had only about `0.2%` non-null coverage with effectively zero non-zero support. Leaving those columns in the shared feature stack adds noise and obscures which families are genuinely informative. The safer generic rule is to require a minimum information floor before a numeric column is eligible for the model path.","Keep numeric feature selection generic but enforce minimum-information gates: require at least `1%` non-null coverage, at least `2` unique non-null values, and at least `0.1%` non-zero support before a column reaches the model-selection stage.",codex
nibrs_as_universal_srs_replacement,Use NIBRS-derived counts as a drop-in universal replacement for SRS wherever NIBRS exists.,reviewed,replace,"Local QA artifacts comparing Kaplan SRS-style agency-year counts to our NIBRS-derived hierarchy-collapse counts show that the two are not uniformly interchangeable even on overlapping fully reported agencies. In the 2024 12-month overlap bucket, aggregate NIBRS/SRS ratios are close for robbery (~0.986) and larceny (~1.002), but materially lower for rape (~0.755) and aggravated assault (~0.814). The new state-level audit at artifacts/qa/srs_nibrs_exploration/srs_vs_nibrs_state_ratios_2024_12m.csv shows that this is not just one national tail: the same pattern recurs across large states like TX, MI, CA, VA, GA, and NC.","Keep NIBRS in V2 as explicit parallel or fallback annual support; if broader substitution is ever considered, require offense-aware validation and documented reconciliation rather than treating NIBRS-derived counts as automatically equivalent to the traditional SRS-style series.",codex
nibrs_hybrid_continuity,Treat 2024 NIBRS-backed rows as if they imply one seamless pre-2021-to-2024 NIBRS/SRS reconciliation framework already exists in V2.,reviewed,replace,"Official BJS/FBI materials distinguish three regimes: pre-2021 traditional estimates already combined SRS with NIBRS submissions converted down to SRS-style counts; 2021 used a distinct NIBRS-only estimation framework because coverage collapsed; 2022-2024 restored hybrid traditional estimates alongside separate NIBRS-only estimates. Local V2 code currently uses NIBRS mainly as annual fallback/parallel support, not as a full historical reconciliation layer.","Keep the current 2024 NIBRS annual-support lane explicit and narrow; if we later extend historical continuity logic, implement it as a deliberate reconciliation workstream rather than assuming the current fallback machinery already does that job.",codex
srs_number_of_months_reported_semantics,Treat the Kaplan/OpenICPSR SRS annual field `number_of_months_reported` as a literal count of reported months and propagate it through production as canonical `months_reported`.,reviewed,replace,"The exact raw annual source used by V2 carries both `number_of_months_reported` and `last_month_reported`, and the live 2024 file aligns them exactly as a last-month code (`12 -> december`, `11 -> november`, ..., `0 -> no months reported`). Kaplan's openICPSR release notes explicitly say `last_month_reported` is how the FBI defines `number_of_months_reported` and that the old variable name is misleading. V2 then amplified that ambiguity by renaming raw `number_of_months_reported` to plain `months_reported` in production builders and using it as if it were a true completeness denominator. The safe canonical quantity is the true non-missing SRS month count derived from the monthly `month_missing` mask; annual `number_of_months_missing` is only a fallback when monthly detail is unavailable. After patching observations, reporting regimes, controls, reference helpers, and the exploratory QA script, fallback-SRS rows match raw monthly non-missing month counts exactly once the audit uses the same production keying rule, `COALESCE(NULLIF(ori9,''), ori || '00')`. The earlier apparent mismatch tail was an audit join bug, not a residual source inconsistency problem.","Keep the corrected SRS semantics locked in the spec/tracker, treat CIUS-backed summary rows as intentionally separate complete-reporter semantics, and audit raw SRS monthly consistency only with the same ORI coalescing rule used in production.",codex
municipal_drop_promotion_gap_2026_03_26,Fix the production-promotion gap where reviewed municipal-target drop decisions were suppressing review queues but not actually changing the live reference/control build.,reviewed,replace,"The architecture audit found a real divergence between review state and production state: active reviewed drop conclusions for Brookhaven town, Islip town, Silver Spring CDP, Owings Mills CDP, College Park MD, Babylon town, and Huntington town NY existed in configs/service_structure_notes.csv and removed those cases from the municipal review queue, but production never consumed that free-text note file. Those invalid rows therefore stayed alive in jurisdiction_master, jurisdiction_controls_2024, and the 2024 non-observed tail. The fix was to promote the reviewed drop cases into the canonical production override surface, configs/municipal_geometry_overrides.csv, as explicit exclude decisions and then rebuild the full downstream chain through reference, observations, reporting regimes, municipal estimates, controls, geometry, and outputs.",Keep service_structure_notes as review/log material only; every reviewed drop or remap that should affect production must be promoted into a canonical override surface rather than assumed to flow through automatically.,codex
overlap_allocator_mask_bug_2026_03_26,Fix the live output-build failure in src/crimerisk/allocation.py caused by non-boolean overlap grouping masks reaching np.select.,reviewed,replace,"After the rebuilt reference/control chain, python main.py build-outputs failed in _build_overlap_group_targets because one of the overlap-treatment masks had nullable/object boolean dtype and numpy.select rejected it. The logic itself was still correct; the bug was mask typing. The fix was to coerce every overlap group condition mask to an explicit boolean ndarray before passing the condlist into np.select, after which build-outputs completed and rewrote the live ags_core outputs.","When pandas nullable/string-derived masks feed numpy branching in production code, coerce them explicitly to plain boolean ndarrays instead of assuming numpy will accept extension-dtype masks.",codex
nonlocal_local_resolution_override_gap_2026_03_26,"Apply local-resolution override decisions consistently to nonlocal final routing, not just full_local rows.",reviewed,replace,"The architecture audit found that configs/local_resolution_overrides.csv only changed full_local rows. That meant reviewed municipal reroutes for nonlocal agencies could exist in tracker doctrine without ever changing production routing. The concrete live failure was FL0160000 Jacksonville Sheriff's Office still feeding 12:state_nonmunicipal_remainder even though the reviewed Jacksonville doctrine required it to anchor Jacksonville city. The fix was to teach src/crimerisk/jurisdiction_reference.py to apply municipal_place, municipal_cousub, reclassify_nonmunicipal, and reclassify_overlap overrides to full_nonlocal rows and then promote FL0160000 into configs/local_resolution_overrides.csv as a municipal_place override for Jacksonville city.",Keep configs/local_resolution_overrides.csv as the canonical reroute surface for both local and nonlocal rows; do not assume reviewed doctrine changes production unless the nonlocal path consumes the same override contract.,codex
state_publication_florida_lane_2026_03_26,Handle state official annual publication rows as a first-class source lane instead of forcing Florida official data through SRS semantics or ORI-by-ORI hacks.,reviewed,replace,"Implemented the first live state-official publication lane as source = state_publication_annual. Added src/crimerisk/state_publications.py to ingest quarter-complete 2024 FDLE annual/YTD offense totals, map them to AGS offenses, and promote them into agency observations with raw_data_source = fdle_fibrs_offense_detail_ytd. Then wired state_publication_annual through source_provenance, observations, reporting_regimes, source_selection, municipal_estimator, jurisdiction_estimator, and controls so official state-publication rows are treated as explicit annual observed support rather than disguised SRS behavior. Verified intermediate rebuilt outputs show Jacksonville city and Fort Lauderdale city using preferred_source = state_publication_annual with reported_regime_usable support while Miami Beach correctly remains outside the lane because the reviewed FDLE annual surface is still only three quarters complete there.",Treat state-official publication lanes as explicit source identities with state-specific completeness rules; use Florida as the first implementation and keep Mississippi as the next state-official source lane rather than burying this work inside generic SRS/NIBRS arbitration.,codex
state_publication_alias_contract_2026_03_26,Limit official-publication matcher aliases to canonical ORI-backed agencies so synthetic roster noise cannot block valid state-publication matches.,reviewed,replace,"The Florida official-publication matcher initially missed clean cities like Fort Lauderdale because synthetic Broward-style NIBRS roster rows with ...X ORIs were allowed to generate publication aliases, making official names like Fort Lauderdale Police Department ambiguous even though the real municipal ORI was present. The fix in src/crimerisk/state_publications.py was to build publication aliases only from canonical ORI-backed agencies with ori7 present and from exclusive jurisdiction aliases tied to those canonical agencies. After that change the live FDLE lane increased to 959 offense rows across 137 ORIs and correctly matched Jacksonville, Fort Lauderdale, Fort Myers, and Palm Beach Gardens without introducing Florida-specific hardcoded exceptions.","For state-official publication matching, use canonical agency identities plus reviewed jurisdiction aliases, not every synthetic or roster-derived agency stub that happens to share a city name.",codex
