source_id,title,url,publisher,source_type,key_finding
1,Police Department - Calumet City,https://calumetcity.org/dept-direct/police-department/,City of Calumet City,official_city_police,"The official police page lists Calumet City Police Department command staff, records hours, the police-station address at 1200 Pulaski Road, crime-reporting channels, and the department mission statement, confirming an active city police agency."
2,Board of Fire and Police Commissioners - Calumet City,https://calumetcity.org/board-of-fire-and-police/,City of Calumet City,official_city_governance,"The city maintains a live Board of Fire and Police Commissioners page with police-officer eligibility results posted in June 2025, which supports ongoing municipal police hiring and promotion governance rather than county replacement."
3,Annual Appropriation Ordinance FY2025,https://calumetcity.org/wp-content/uploads/2024/07/annual-approp-ord-2025.pdf,City of Calumet City,official_city_budget,"Calumet City's FY2025 appropriation ordinance contains a standalone Police Department budget with chief, assistant-chief, patrol, records, communications, overtime, training, vehicle, and equipment lines plus a police pension fund, confirming an operating city police function for fiscal year May 1 2024 through April 30 2025."
4,Calumet City Newsletter January 2025,https://calumetcity.org/wp-content/uploads/2024/12/Calumet_City_Newsletter_January25_121925.pdf,City of Calumet City,official_city_newsletter,"The January 2025 city newsletter says the city council approved hiring 8 new police officers and documents the Citizens Police Academy, local police operations, and Text-to-911 rollout, which indicates an active municipal department rather than a defunct target."
5,Calumet City Newsletter June 2025,https://calumetcity.org/wp-content/uploads/2025/06/Calumet_City_Newsletter_June2025.1.pdf,City of Calumet City,official_city_newsletter,"The June 2025 city newsletter says the Calumet City Police Department introduced 7 new police officers, had 4 additional police candidates in academy training, recognized an officer of the year, hosted Beat 1 Crimewatch meetings at the police department, and advertised National Night Out at the Calumet City Police Department."
6,Sheriff's Police Secure Murder Charge in Forest Preserve Death,https://cookcountysheriffil.gov/sheriffs-police-secure-murder-charge-in-forest-preserve-death/,Cook County Sheriff's Office,official_county_sheriff_press_release,"Cook County Sheriff's Office said Cook County Forest Preserve Police and Calumet City Police jointly responded to a November 22 2022 shooting in Calumet City, which supports Calumet City Police as a separate municipal partner rather than a sheriff-replacement structure."
7,Crime in Illinois Reports,https://ilucr.nibrs.com/CrimePublication/CrimeinIllinois,Illinois State Police / Illinois UCR Program,official_state_crime_portal,"The live Illinois Crime in Illinois portal says 767 law-enforcement agencies reported 2024 statistics, compared with 641 agencies for 2023, and that archives only run through 2021 while later years are searchable through the portal, showing the state's transition away from the legacy annual PDF publication path."
8,Agency Monthly Tracker,https://ilucr.nibrs.com/Report/AgencyMonthlyTracker,Illinois State Police / Illinois UCR Program,official_state_reporting_portal,"The public Agency Monthly Tracker interface for Illinois includes CALUMET CITY as an agency option for 2024 NIBRS submission tracking, which supports Calumet City as a recognized current reporting agency in the live state portal."
9,Crime in Illinois 2021 Index Crime,https://isp.illinois.gov/StaticFiles/docs/CrimeReporting/cii/cii21/Index%20Crime.pdf,Illinois State Police,official_state_crime_publication,"The archived 2021 Illinois index-crime publication still includes a substantive Calumet City municipal row with positive reported offenses and population 36,128, confirming that Calumet City remained a normal city-specific reporting surface in the transition year."
10,agency_rosters_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,FBI Crime Data Explorer,official_federal_agency_roster_extract,"The official FBI CDE 2024 agency roster lists IL0161700 Calumet City Police Department as a City agency in Cook County with is_nibrs true and nibrs_start_date 2023-01-01."
11,ori_source_validation_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/validation/ori_source_validation_2024.csv,CrimeRisk repo using official FBI CDE roster inputs,internal_validation_against_official_federal_roster,"Repo validation classifies IL0161700 as present_but_no_2024_observation with official_nibrs_started_by_2024_but_repo_no_nibrs, which strongly supports a continuity or ingestion failure rather than an invalid target."
12,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes IL0161700 exclusively to 17:municipal:place:1710487 with weight 1.0, supporting Calumet City city as the correct municipal target."
13,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations carry real Calumet City summary counts in 2018 through 2020 but collapse to zero-valued native-summary placeholder rows in 2021 through 2024 despite official city, state, and FBI evidence that the municipal agency remained active."
14,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Calumet City control rows show zero preferred reported support, structurally_missing_or_unreliable as the dominant reporting regime, and estimator-backed counts across the tracked review offenses."
15,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Calumet City is queued in high_impact_full_fill_place with full_fill_no_reported_support, total_fill_count 1119.0, reported_share_of_estimated 0.0, and priority_rank 4."
16,Offense and Arrest Summary Report - NIBRS Agencies only,https://ilucr.nibrs.com/Report/AgencySummaryReport,Illinois State Police / Illinois UCR Program,official_state_reporting_portal,"The official Illinois Crime in Illinois Offense and Arrest Summary Report returns a direct Calumet City 2024 Group A offense row when queried for Incident Date From 01/01/2024, Incident Date To 12/31/2024, Report By Agency, and Agency IL0161700 - CALUMET CITY. The report shows murder 0, rape 20, robbery 35, aggravated assault 61, burglary 66, larceny 305, and motor vehicle theft 199, with 2023 comparison counts visible in the same viewer."
