analysis_date,case_key,ori,agency_name,source_rank,source_role,source_name,source_url,file_format,access_mode,live_status_2026_03_24,geometry_coverage,production_usability,recommended_use,notes
"2026-03-24","NJ0073200","NJ0073200","NJ Transit Police",1,"primary_public_geometry_fallback","NJ TRANSIT system map hub","https://www.njtransit.com/accessibility/system-map","HTML page","public","200 OK","Current official page linking statewide and light-rail map PDFs","yes_but_not_sufficient_for_full_network","yes_supporting","Best live public NJ TRANSIT geometry landing page found on 2026-03-24."
"2026-03-24","NJ0073200","NJ0073200","NJ Transit Police",2,"primary_public_geometry_fallback","NJ TRANSIT statewide system map PDF","https://content.njtransit.com/sites/default/files/pdfs/maps/NJT%20System%20Map%20April%202023.pdf","PDF","public","200 OK","Statewide overview map for rail, light rail, bus network, major terminals, and connections","partial_only","yes_partial","Usable for manual georeferencing of rail/light-rail lines and major facilities, but not a machine-grade bus route or stop feed."
"2026-03-24","NJ0073200","NJ0073200","NJ Transit Police",3,"primary_public_geometry_fallback","Hudson-Bergen Light Rail map PDF","https://content.njtransit.com/sites/default/files/pdfs/maps/HBLR_RSM_080522_low.pdf","PDF","public","200 OK","Detailed HBLR line and station map","partial_only","yes_partial","Best current public source for one NJ TRANSIT rail subnetwork."
"2026-03-24","NJ0073200","NJ0073200","NJ Transit Police",4,"primary_public_geometry_fallback","Newark Light Rail map PDF","https://content.njtransit.com/sites/default/files/pdfs/maps/NLR_100622_FINAL_Web.pdf","PDF","public","200 OK","Detailed Newark Light Rail line and station map","partial_only","yes_partial","Best current public source for one NJ TRANSIT rail subnetwork."
"2026-03-24","NJ0073200","NJ0073200","NJ Transit Police",5,"primary_public_geometry_fallback","River Line map PDF","https://content.njtransit.com/sites/default/files/pdfs/light-rail/sf_lr_rvl_map.pdf","PDF","public","200 OK","Detailed River Line line and station map","partial_only","yes_partial","Best current public source for one NJ TRANSIT rail subnetwork."
"2026-03-24","NJ0073200","NJ0073200","NJ Transit Police",6,"facility_support_and_legal_qc","NJ TRANSIT Police district page","https://police.njtransit.com/transit-districts","HTML page","public_browser_only","403 Cloudflare challenge on automated HEAD","Named districts, stations, terminals, and patrol regions","no_for_automated_pipeline","support_only","Useful corroborating evidence for facility scope, but not a stable machine-download source today."
"2026-03-24","NJ0073200","NJ0073200","NJ Transit Police",7,"facility_support_and_legal_qc","NJ TRANSIT Police district map PDF","https://police.njtransit.com/sites/default/files/njtpolice_district_map.pdf","PDF","public_browser_only","403 Cloudflare challenge on automated HEAD","District responsibility map anchored to major NJ TRANSIT facilities","no_for_automated_pipeline","support_only","Corroborates statewide multi-district facility coverage, but command-line retrieval is blocked today."
"2026-03-24","NJ0073200","NJ0073200","NJ Transit Police",8,"blocked_primary_feed","NJ TRANSIT developer landing page","https://www.njtransit.com/developer","HTML page","public","404 Not Found","Former GTFS landing path cited by NJ TRANSIT's 2010 developer announcement","no","no","No live public GTFS acquisition path was verified from the current NJ TRANSIT web surface."
"2026-03-24","DCMTP0000","DCMTP0000","WMATA Metro Transit Police",1,"primary_downloadable_geometry","WMATA GTFS combined static operation page","https://developer.wmata.com/api-details#api=gtfs&operation=rail-bus-combined-gtfs-static","HTML page","public_portal","200 OK in browser","Official documentation for combined rail and bus GTFS static download","yes_with_authenticated_fetch","yes_primary","Portal text explicitly documents the combined static GTFS operation and the request URL."
"2026-03-24","DCMTP0000","DCMTP0000","WMATA Metro Transit Police",2,"primary_downloadable_geometry","WMATA combined rail and bus GTFS static request URL","https://api.wmata.com/gtfs/rail-bus-gtfs-static.zip","GTFS ZIP","portal_documented_raw_endpoint","404 on anonymous HEAD","Combined WMATA rail and bus GTFS static feed","yes_with_authenticated_fetch","yes_primary","Inference from the live developer portal plus anonymous 404: treat this as an authenticated or subscription-keyed pull step, not an anonymous public file."
"2026-03-24","DCMTP0000","DCMTP0000","WMATA Metro Transit Police",3,"secondary_downloadable_geometry","WMATA rail GTFS static request URL","https://api.wmata.com/gtfs/rail-gtfs-static.zip","GTFS ZIP","portal_documented_raw_endpoint","404 on anonymous HEAD","Rail-only GTFS static feed","yes_with_authenticated_fetch","yes_secondary","Useful fallback if the combined feed is unavailable after authentication or if separate rail handling is preferred."
"2026-03-24","DCMTP0000","DCMTP0000","WMATA Metro Transit Police",4,"geometry_schema_support","WMATA developer portal home GTFS changes notice","https://developer.wmata.com/","HTML page","public_portal","200 OK","States that GTFS includes platforms, levels, pathways, and more precise stop locations","yes","yes_supporting","Important semantic support for using station entrances, pathways, and platform-level GTFS features in production."
