source_id,title,url,publisher,source_type,key_finding
1,Chief Jamal Simington,https://police.bloomingtonil.gov/public-information/about-bpd/about-the-chief,City of Bloomington,official_city_government,"The City presents a current Bloomington Police Department chief page stating Simington has been with BPD since 2021 and listing 2026 operational goals for the department, confirming an active city police department."
2,Annual Reports,https://police.bloomingtonil.gov/public-information/about-bpd/annual-reports,City of Bloomington,official_city_government,"The Bloomington Police Department transparency page links 2024, 2023, and 2022 annual reports and says the annual report is an overview of crime data, significant events, and key performance indicators."
3,Crime Map and Statistics,https://police.bloomingtonil.gov/public-information/crime-map-and-statistics,City of Bloomington,official_city_government,"The City's crime-statistics page says Bloomington Police Department incident data is available for one year up to the current date and is uploaded to the public site twice a week."
4,Crime in Illinois Annual Uniform Crime Report,https://isp.illinois.gov/CrimeReporting/CrimeInIllinoisReports,Illinois State Police,official_state_crime_publication,"Illinois State Police still maintains the legacy Crime in Illinois annual-publication page through CII 2021, which is consistent with the older statewide annual publication surface ending before the current Bloomington gap years."
5,Crime in Illinois Online Home,https://ilucr.nibrs.com/,Illinois State Police,official_state_crime_portal,"The official Illinois portal says that starting in 2023 agency data will be published only after achieving NIBRS certification."
6,Agency Monthly Tracker,https://ilucr.nibrs.com/Report/AgencyMonthlyTracker,Illinois State Police,official_state_crime_portal,"Bloomington appears as a selectable agency in the official Illinois NIBRS reporting tracker, confirming that the state portal still recognizes Bloomington as a reporting agency identity."
7,agency_to_jurisdiction_crosswalk.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.csv,CrimeRisk repo,internal_repo_artifact,"IL0570100 is routed exclusively to 17:municipal:place:1706613 with relationship_type exclusive and weight 1.0."
8,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"The agency master still flags both SRS and NIBRS source presence for IL0570100 through 2024 and lists latest_nibrs_year as 2024."
9,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Bloomington carries substantive reported totals through 2022, then only zero-valued srs_return_a_annual placeholder rows in 2023 and 2024, with no materialized NIBRS annual observations."
10,agency_jurisdiction_review.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/agency_jurisdiction_review.csv,CrimeRisk repo,internal_repo_artifact,"The review row for IL0570100 still shows source presence through 2024, latest_nibrs_year 2024, and latest_srs_months_reported 11.0 even though the materialized annual total is zero."
11,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All seven 2024 Bloomington Part I control rows are hist_median fill with reported_count_preferred 0.0 and dominant_reporting_regime structurally_missing_or_unreliable."
12,published_nibrs_agency_validation_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_audit/published_nibrs_agency_validation_2024.csv,CrimeRisk repo,internal_repo_artifact,"The 2024 published-NIBRS validation output contains no Bloomington, Illinois agency row, which is consistent with Bloomington being absent from the repo's public published-NIBRS recovery surface."
