case_id,state,oris,provenance_kind,verdict,downstream_action,believable_months,arm,confidence,mass_hint,replicate_conflict,needs_review,detail,cleanup_pass,cleanup_reason,original_class,residue_pass,merged_from,final_pass,final_reason
x-MN0181100-pequot-lakes,MN,MN0181100,cleanup_merged_packet,misread_missing,treat_missing_repair,,opus,high,37.0,0,0,"FILE NOTE (applies to the whole batch, stated once here): cleanup_batches/batch_000.json does not exist. manifest.csv shows the cleanup batches are 1-indexed (batch_001.json .. batch_026.json, 10 cases each except 025=4 and 026=2); the only batch_000.json under state/qa/stage1_adhoc_review/ is gold_repair/batch_000.json, a 3-case gold-repair set from an earlier pass. I adjudicated /Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/qa/stage1_adhoc_review/cleanup_batches/batch_001.json (index 0, the first cleanup batch). All case_ids below are the true ids from that file. RULING: 2024 should go MISSING and fillable for MN0181100. Do NOT fill from own history: hist_median over 2018-2023 (=14) and trend_log_linear both draw on 2022 (12) and 2023 (2), which are themselves products of the same decay, so an own-history fill launders the artefact. Use a size-band peer fill for local_police in the (1000,2500] band. No ORI-succession issue: MN0181100 is on the 2024 CDE roster, carries an unbroken panel row 2018-2024, and holds a single exclusive w=1 footprint (Census place 2750416, Pequot Lakes city).",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
r-AL0080200-blountsville,AL,AL0080200,residue_merged_packet,misread_missing,treat_missing_repair,,opus,high,31.5,0,0,"2024 goes MISSING and fillable. ZERO believable months: SRS filed 0 months, and the 12-month NIBRS header carries no offence in any of the seven streams, so there is no measured month behind the published zero. Fill anchored on the last demonstrably full-coverage years — 2022 (32, SRS 12mo + NIB 12mo) and 2023 (31, NIB 12mo) → ~31.5/yr; composition from baseline years: larceny ~14.5, MVT ~4.5, burglary ~3.5, agg assault ~2.2, rape ~0.5, robbery ~0.5. Do NOT anchor on the quoted 2018-2023 median 25.5 — it is contaminated by the 8-month 2020 (raw 12) and 11-month 2018 (raw 30) partials — and do not let the 2024 zero enter any future base rate for this ORI. Peer-band cross-check (702.6/100k x 1,816 → ~12.8/yr) sits well below own demonstrated level; own history governs.",,both_reject_DIFFERENT_repair,published_zero+token_reporter,residue_ruling,b2-AL0080200-blountsville;c-AL0080200-blountsville,retained_pre_final,
b2-PA0032200-east-franklin-township,PA,PA0032200,zero_month_submission,misread_missing,treat_missing_repair,,opus,high,30.0,0,0,"Cleanest BLANK-AS-ZERO case in the batch. Set PA0032200 2024 to missing and fill. Fill guidance: do NOT use the raw recent values (2021:1, 2022:7, 2023:3) — those are themselves partial years at 3mo, 7mo and 5mo. Annualize first (2021 -> 4, 2022 -> 12, 2023 -> 7.2) and take the median for a fill of ~7, or use the 2018-2020 full-year level (33, 27, 31 at 11mo -> 33.8) if the pipeline judges the 2021+ decline to be feed degradation rather than real. The gap between those two answers (~7 versus ~31) is genuine and I am not confident which is right; flag it for the fill step rather than hard-coding. PIPELINE GAP: the same partials-used-as-baseline error will affect every PA small-township ORI, since PA's SRS participation is chronically partial.",retained_pre_cleanup,,,dedupe_kept,c-PA0032200-east-franklin-township(token_reporter/sol/high):token_reporting_flag->treat_missing_repair,retained_pre_final,
r-GA0710300-buchanan,GA,GA0710300,residue_merged_packet,misread_missing,treat_missing_repair,,opus,high,30.0,0,0,"2024 goes MISSING and fillable; 2023 should be flagged MISSING on the same basis (0 filed months in SRS and no NIB row at all). ZERO believable months in 2024. Fill anchored on the last demonstrably full-coverage years — 2018 (48, SRS 12mo), 2020 (12, NIB 12mo), 2021 (24, NIB 12mo), median 24 — scaled for the population fall from 1,205 (2021) to 966 (2024), giving ~19-24/yr; composition larceny ~17, MVT ~4.3, agg assault ~3.3, burglary ~3. Reject any base rate drawn from 2022-2023.",,disposition_conflict_FLAG/REJECT,published_zero+token_reporter,residue_ruling,b2-GA0710300-buchanan;c-GA0710300-buchanan,retained_pre_final,
x-TX2300300-ore-city,TX,TX2300300,cleanup_merged_packet,misread_missing,treat_missing_repair,,sol,high,30.0,0,0,Set 2024 to missing and fillable; zero months are believable.,cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-MN0610200-starbuck,MN,MN0610200,cleanup_merged_packet,misread_missing,treat_missing_repair,6,opus,medium,28.5,1,1,"2024 should go MISSING and fillable for MN0610200. token_reporting_flag is arithmetically void here even though a partial record exists: the Return-A lane carries 6 submitted months and all six are zero, so uplift x2.0 republishes 0. Fill should NOT come from 2021-2023 own history (median 7), which is post-NIBRS-transition degraded; prefer a size-band peer fill, or an own-history fill anchored on the pre-transition full years (2018 CIUS 68, 2019 CIUS 48) discounted for the population band. No succession issue: on the 2024 roster, single exclusive w=1 footprint (place 2762500, Starbuck city).",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
x-TX1940300-bogata,TX,TX1940300,cleanup_merged_packet,misread_missing,treat_missing_repair,0,opus,high,24.0,0,0,"2024 should go MISSING and fillable for TX1940300. Anchor any fill on the credible full years 2018-2022 (47, 27, 32, 19, 21 -> level ~21-27), not on 2023, which is a broken record rather than a low year. A size-band peer fill for (1000,2500] is also defensible. No succession issue: on the 2024 roster, single exclusive w=1 footprint (place 4809172, Bogata city).",cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
b2-PA0021H00-crescent-township,PA,PA0021H00,zero_month_submission,misread_missing,treat_missing_repair,,opus,high,23.0,0,0,"Void the CIUS zero; set 2024 missing and fillable. Fill from annualized own history: the partial-year submissions annualize to 2019 30, 2020 18, 2022 18, 2023 20 — a fill of roughly 20 Part-I, or a PA sub-3,000 township-police peer rate. The last real report (2023, 3mo) is within 2 years so the own-history path is open. Downstream must also stop treating a CIUS row as evidence of submission when SRS months=0.",retained_pre_cleanup,,,dedupe_kept,c-PA0021H00-crescent-township(token_reporter/sol/high):token_reporting_flag->treat_missing_repair,retained_pre_final,
x-IL0141300-germantown,IL,IL0141300,cleanup_merged_packet,misread_missing,treat_missing_repair,,sol,high,20.0,0,0,Set 2024 to missing and fillable; zero months are believable.,cleanup_ruling,merged_contradiction,published_zero+token_reporter,retained_pre_residue,,retained_pre_final,
b2-MN0120200-montevideo,MN,MN0120200,full_year_nibrs_backed,misread_missing,treat_missing_repair,,opus,high,17.5,0,0,"Void the zero and treat 2023 the same way; set both years missing. Do NOT use the own-history fill — the in-window values (2022: 2, 2023: 0) are themselves the degraded feed, so the recency rule would launder the artifact into a fill of ~2. Fill from peers instead: local_police 5-10k band at 1,096.9/100k x 5,180 = ~57, trimmed toward MN-specific peer rates (~40-60). Downstream rule to add: block own-history fills when the in-window history is itself sub-peer-floor. The crosswalk is already flagged_auto.",retained_pre_cleanup,,,dedupe_kept,c-MN0120200-montevideo(token_reporter/sol/high):token_reporting_flag->treat_missing_repair,retained_pre_final,
