case_id,ori9,year,offense,level1_status,level2_status,reason_code,repair_mode,replacement_count,external_check_status,evidence_source
lapd-larceny,CA0194200,2024,larceny,valid_complete_year,channel_omitted,official_local_state_contradiction,source_supported_replacement,63849,contradiction_confirmed,California DOJ 2024 Crimes and Clearances review record
lapd-mvt,CA0194200,2024,motor_vehicle_theft,valid_complete_year,channel_omitted,official_local_state_contradiction,source_supported_replacement,23681,contradiction_confirmed,California DOJ 2024 Crimes and Clearances review record
chicago-agg,ILCPD0000,2024,aggravated_assault,valid_complete_year,wrong_category_mapping,chicago_04b_omitted,source_supported_replacement,16084,contradiction_confirmed,Chicago 04A plus 04B review extract
chicago-murder,ILCPD0000,2024,murder,valid_complete_year,wrong_category_mapping,chicago_murder_direct_feed,source_supported_replacement,573,contradiction_confirmed,Chicago direct homicide feed with 595 in-product geocodes and CPD year-end total
columbus-oh-robbery,OHCOP0000,2024,robbery,valid_complete_year,channel_omitted,complete_twelve_month_city_displaced_to_state,source_supported_replacement,1112,contradiction_confirmed,FBI complete 12-month city offense vector
columbus-oh-larceny,OHCOP0000,2024,larceny,valid_complete_year,channel_omitted,complete_twelve_month_city_displaced_to_state,source_supported_replacement,18236,contradiction_confirmed,FBI complete 12-month city offense vector
columbus-oh-mvt,OHCOP0000,2024,motor_vehicle_theft,valid_complete_year,channel_omitted,complete_twelve_month_city_displaced_to_state,source_supported_replacement,5998,contradiction_confirmed,FBI complete 12-month city offense vector
columbus-oh-burglary,OHCOP0000,2024,burglary,valid_complete_year,channel_omitted,complete_twelve_month_city_displaced_to_state,source_supported_replacement,4070,contradiction_confirmed,FBI complete 12-month city offense vector
brush-partial,CO0440100,2024,*,valid_partial_lower_bound,definitionally_complete,measured_three_month_coverage,partial_missing_increment,,available,selected NIBRS SRS-equivalent lane
columbus-in-channel,IN0030100,2024,aggravated_assault,valid_complete_year,channel_omitted,official_agency_publication_contradiction,pooled_silent_unit,,contradiction_confirmed,Columbus PD annual report and FBI monthly actuals
columbus-in-larceny,IN0030100,2024,larceny,valid_complete_year,channel_omitted,official_agency_publication_contradiction,source_supported_replacement,566,contradiction_confirmed,FBI CDE monthly actuals
columbus-in-mvt,IN0030100,2024,motor_vehicle_theft,valid_complete_year,channel_omitted,official_agency_publication_contradiction,source_supported_replacement,34,contradiction_confirmed,FBI CDE monthly actuals
columbus-in-murder,IN0030100,2024,murder,valid_complete_year,channel_omitted,official_agency_publication_contradiction,pooled_silent_unit,,contradiction_confirmed,FBI CDE monthly actuals
columbus-in-rape,IN0030100,2024,rape,valid_complete_year,channel_omitted,official_agency_publication_contradiction,pooled_silent_unit,,contradiction_confirmed,FBI CDE monthly actuals
savannah-vector,GA0250300,2024,*,coverage_defective,semantically_unusable,selective_channel_truncation,decayed_own_history,,contradiction_confirmed,Savannah annual report and tier1 computed-fill audit
pembroke-pines,FL0060800,2024,*,coverage_defective,semantically_unusable,fdle_fibrs_incomplete_vector,decayed_own_history,,contradiction_confirmed,city crime statistics and FDLE review record
orange-county-so,FL0480000,2024,*,coverage_defective,semantically_unusable,mixed_fragment_vector,decayed_own_history,,contradiction_confirmed,FDLE review record
osceola-so,FL0490000,2024,*,coverage_defective,semantically_unusable,fdle_fibrs_incomplete_vector,decayed_own_history,,contradiction_confirmed,FDLE review record
hollywood-fl,FL0060500,2024,*,coverage_defective,semantically_unusable,fdle_fibrs_incomplete_vector,decayed_own_history,,contradiction_confirmed,FDLE review record
lee-county-so,FL0360000,2024,*,coverage_defective,semantically_unusable,fdle_fibrs_incomplete_vector,decayed_own_history,,contradiction_confirmed,FDLE review record
winter-garden,FL0480500,2024,*,coverage_defective,semantically_unusable,fdle_fibrs_incomplete_vector,decayed_own_history,,contradiction_confirmed,FDLE review record
ocoee,FL0480300,2024,*,coverage_defective,semantically_unusable,fdle_fibrs_incomplete_vector,decayed_own_history,,contradiction_confirmed,FDLE review record
eustis,FL0350100,2024,*,coverage_defective,semantically_unusable,fdle_fibrs_incomplete_vector,decayed_own_history,,contradiction_confirmed,FDLE review record
panama-city,FL0030100,2024,*,coverage_defective,semantically_unusable,stale_source_precedence,decayed_own_history,,contradiction_confirmed,FDLE review record
temple-terrace,FL0290300,2024,*,coverage_defective,semantically_unusable,stale_source_precedence,decayed_own_history,,contradiction_confirmed,FDLE review record
homestead,FL0130500,2024,*,coverage_defective,semantically_unusable,fdle_fibrs_incomplete_vector,decayed_own_history,,contradiction_confirmed,FDLE review record
sebring,FL0280300,2024,*,coverage_defective,semantically_unusable,fdle_fibrs_incomplete_vector,decayed_own_history,,contradiction_confirmed,FDLE review record
baton-rouge-partial,LA0170200,2024,*,valid_partial_lower_bound,definitionally_complete,measured_four_month_coverage,partial_missing_increment,,available,stage1 adjudication and source lane
gary-partial,IN0450500,2024,*,valid_partial_lower_bound,definitionally_complete,measured_three_month_coverage,partial_missing_increment,,available,Gary adjudication and agency report
tucson-external,AZ0100300,2024,*,unresolved_review,definitionally_complete,external_uniform_undercoverage_contradiction,unchanged_review_hold,,contradiction_confirmed,Tucson TPD and RTCI comparator
jackson-ms,MS0250100,2024,*,coverage_defective,semantically_unusable,zero_month_nonreport,decayed_own_history,,contradiction_confirmed,JPD reporting history and local 2024 count
