case_key,jurisdiction_id,jurisdiction_name,state_abbr,packet_dir,packet_status,missing_required_outputs,has_manifest,has_research_findings,has_sources,has_recommendation,review_goal,recommended_disposition,production_ready,confidence,summary,has_promotable_extract,extract_files,non_observed_count_2024,top_estimate_source_2024
new_orleans_la,22:municipal:place:2255000,New Orleans city,LA,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/municipal_targets/new_orleans_la,review_complete,,1,1,1,1,Determine whether New Orleans should retain a true separate municipal control row and what official continuity/publication surface should anchor the current fully filled 2024 target.,retain_standalone_municipal_control_row_and_treat_2024_as_broken_local_continuity_requiring_nopd_override,yes,high,"New Orleans should retain a true standalone municipal control row. Official City and NOPD sources show a real citywide policing surface with eight NOPD districts, an exclusive LANPD0000 municipal crosswalk, and continuing local 2024 police-data publication. The problem is broken 2024 federal continuity, not bad routing. The current all-fill row should not be accepted as a final anchor; replace it with a targeted six-offense local override built from NOPD's 2024 annual preliminary crime publication and the SVD annual UCR rape publication, while keeping the Electronic Police Report dataset as audit/reconciliation support rather than the production count source.",1,published_reference_extract.csv,4146.319846682784,trend_log_linear
calumet_city_il,17:municipal:place:1710487,Calumet City city,IL,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/municipal_targets/calumet_city_il,review_complete,,1,1,1,1,Determine whether Calumet City supports a direct 2024 official-state repair from the Illinois Crime in Illinois NIBRS agency summary report and whether the current all-fill state reflects reporting continuity failure rather than a service-structure problem.,retain_standalone_municipal_control_row_and_repair_2024_from_official_illinois_nibrs_agency_summary_report,yes,high,"Calumet City should retain a standalone municipal control row and is now production-ready for direct 2024 repair from the official Illinois Crime in Illinois NIBRS agency summary report. Official city sources still show a live Calumet City Police Department with active governance, staffing, and budget support, while the public Illinois state report viewer returns direct 2024 Group A offense totals for IL0161700 CALUMET CITY. The official 2024 report yields murder 0, rape 20, robbery 35, aggravated assault 61, burglary 66, larceny 305, and motor vehicle theft 199, which materially differ from the repo's fully estimated 2024 counts. The current all-fill state is therefore a reporting/publication continuity failure on a valid municipal police target, and the blocker on a stable public 2024 offense-total extract is resolved.",1,published_reference_extract.csv,1124.0,hist_median
hallandale_beach_fl,12:municipal:place:1228452,Hallandale Beach city,FL,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/municipal_targets/hallandale_beach_fl,review_complete,,1,1,1,1,"Determine whether Hallandale Beach should retain a standalone municipal control row and whether the current full-fill condition reflects a contract-city continuity issue, a live municipal-police publication failure, or another service-structure problem.",retain_standalone_municipal_control_row_and_treat_full_fill_as_live_city_police_publication_and_repo_continuity_failure,yes,high,"Hallandale Beach should keep its standalone municipal control row. The city still operates Hallandale Beach Police Department, official city materials show a current chief and command staff, a 24-hour police department, separate Fire Rescue - BSO listings, and the city published all twelve 2024 HDPD Monthly Crime Incidents PDFs. FDLE still recognizes FL0060400 and published Hallandale Beach Police Department as a municipal offense row through 2020, then retained a blank transition row in 2021 before omitting Hallandale from the public FIBRS workbook. A packet-local 2024 annual extract built from the full monthly PDF roster now supplies a usable offense-level local-publication repair, so the prior all-fill condition is confirmed as a live-city-police state-publication and repo continuity failure on FL0060400, not a Broward sheriff contract-city case and not an invalid municipal target.",1,published_reference_extract.csv,0.0,
atlanta_ga,13:municipal:place:1304000,Atlanta city,GA,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/municipal_targets/atlanta_ga,review_complete,,1,1,1,1,Determine whether Atlanta city supports a direct 2024 local-publication repair from the official APD year-end citywide report and whether the published citywide counts exclude the separate airport page.,retain_standalone_municipal_control_row_and_repair_2024_from_official_apd_citywide_year_end_report_excluding_airport,yes,high,"Atlanta should retain its standalone municipal control row and take a direct 2024 local-publication repair from APD's official 2024 Year End Crime Report. APD's crime-reports page links the year-end PDF, whose citywide table reports 2024 counts of homicide 126, rape 79, robbery 506, aggravated assault 2444, burglary 1704, larceny 13208 via Theft From Motor Vehicle plus Shoplifting plus All Other Larceny, and motor vehicle theft 3673. The same PDF publishes Airport as a separate page, and APD's zones pages list Airport separately from Zones 1 through 6; the citywide total overall 21740 matches the six zone totals rather than citywide plus airport, so airport should stay excluded from the Atlanta municipal repair. Include reporting_ori9 GAAPD0000 in packet context for the direct repair and do not mix airport GA060240X into the citywide packet.",1,published_reference_extract.csv,0.0,
brunswick_ga,13:municipal:place:1311560,Brunswick city,GA,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/municipal_targets/brunswick_ga,review_complete,,1,1,1,1,"Determine whether Brunswick should remain a valid standalone municipal police target or whether the current all-fill state reflects Glynn County replacement, a consolidated structure, or another service-structure explanation.",retain_standalone_municipal_control_row_and_treat_missing_support_as_reporting_continuity_failure_not_county_replacement,yes,high,"Brunswick should remain a true standalone municipal control row. Official City of Brunswick materials show an active Brunswick Police Department with a current chief, police command staff, a crime analyst, and Brunswick-specific UCR Part 1 crime reporting through 2025. Official Glynn County materials separately state that Glynn County Police patrols unincorporated Glynn County and provides mutual aid to the City of Brunswick Police, while the sheriff remains a distinct office focused on detention, courts, warrants, and civil process. Repo evidence shows the city ORI `GA0630100` dropping to zero in several years even though the city still publishes offense counts and the FBI roster still lists Brunswick Police Department as a live city agency. The current full-fill state is therefore a Brunswick reporting/publication and repo-ingestion continuity failure, not county replacement, sheriff replacement, or consolidated city-county structure.",1,published_reference_extract.csv,0.0,
quincy_il,17:municipal:place:1762367,Quincy city,IL,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/municipal_targets/quincy_il,review_complete,,1,1,1,1,"Determine whether Quincy city should retain a standalone municipal control row and whether the current all-fill state reflects county replacement, target invalidity, or a reporting/publication continuity problem.",retain_standalone_municipal_control_row_and_backfill_2024_from_official_quincy_police_department_annual_report,yes,high,"Quincy should retain a true standalone municipal control row. Official Quincy Police Department materials show an active city police department with its own command structure and annual reporting, and the agency-to-jurisdiction crosswalk for IL0010300 is an exclusive Quincy city match. The current all-fill state is not county replacement or target invalidity; it is a post-2021 reporting/publication and repo-ingestion continuity failure likely compounded by the city's May 2022 cyber incident. The official Quincy Police Department 2024 annual report is production-usable for backfill and reports 2024 Quincy counts of robbery 4, aggravated assault/battery 28, burglary 61, theft 141, motor vehicle theft 126, and criminal sexual assault 46.",1,qpd_2024_offense_extract.csv,0.0,
miami_beach_fl,12:municipal:place:1245025,Miami Beach city,FL,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/municipal_targets/miami_beach_fl,review_complete,,1,1,1,1,Determine whether Miami Beach should retain a standalone municipal control row and explain why the current 2024 target is fully filled despite an active city police department.,retain_standalone_municipal_control_row_and_keep_live_2024_fdle_state_publication_support,yes,high,"Miami Beach should retain a standalone municipal control row. It is an incorporated city with an active Miami Beach Police Department, and the live build now carries the official FDLE 2024 FIBRS row for FL0130700 as state_publication_annual support with zero current-year fill.",0,,7170.666666666667,true_partial_month_ratio
deerfield_beach_fl,12:municipal:place:1216725,Deerfield Beach city,FL,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/municipal_targets/deerfield_beach_fl,review_complete,,1,1,1,1,Determine whether Deerfield Beach should retain a standalone municipal control row and whether the current full-fill condition reflects a valid contract-city municipal reporting surface with broken continuity or an invalid sheriff-primary municipal target.,retain_standalone_municipal_control_row_for_bso_contract_city_and_treat_full_fill_as_reporting_continuity_failure,yes,high,"Deerfield Beach should keep its standalone municipal control row. As of March 24, 2026, Broward Sheriff's Office remains the city's primary general-policing authority during the transition toward a future independent Deerfield Beach Police Department, so this is not a current city-run police case. But FDLE's official county-and-municipal offense reports still published Deerfield Beach Police Department as a real municipal row with substantive 2020 counts and a retained blank row in 2021 before the row disappeared from the FIBRS workbook. The current all-fill condition is therefore a contract-city reporting continuity and publication failure on FL0060200, not evidence that the Deerfield municipal target is invalid.",0,,2487.0,hist_median
augusta_ga,13:municipal:place:1304204,Augusta-Richmond County consolidated government (balance),GA,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/municipal_targets/augusta_ga,review_complete,,1,1,1,1,"Determine the correct municipal-target handling for Augusta's current split rows and decide whether Augusta should be represented by a single consolidated primary local row, two rows, or a custom-treatment structure with rerouted sheriff, police, and marshal agencies.",drop_augusta_ccd_keep_augusta_richmond_balance_as_single_consolidated_primary_row_route_sheriff_and_legacy_police_here_and_treat_marshal_as_specialized_nonprimary_overlap,yes,medium,"Augusta should not keep two current municipal rows. Augusta CCD is only a non-governmental Census county subdivision and is not a real annual local police control object. The correct primary municipal row is Augusta-Richmond County consolidated government (balance), which represents the consolidated Augusta government outside separate incorporated places. Production should drop the CCD row, reroute GA1210000 Augusta-Richmond County Sheriff's Office into the balance row as the active consolidated-primary reporting surface, collapse any legacy Augusta or Richmond County police aliases into that same row if they are kept at all, and stop treating GA1210700 Richmond County Marshal as an exclusive ordinary local-full driver because its official role is specialized civil, court, security, ordinance, and airport enforcement rather than general municipal policing.",0,,1626.5917800357022,peer_state_pop_band
hammond_la,22:municipal:place:2232755,Hammond city,LA,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/municipal_targets/hammond_la,review_complete,,1,1,1,1,"Determine whether Hammond should retain a true separate municipal control row and whether the current all-fill state reflects reporting/publication continuity failure, sheriff replacement, target invalidity, or another structure issue.",retain_standalone_municipal_control_row_and_classify_post_2022_zero_support_as_publication_continuity_failure_keep_estimator_fallback,yes,high,"Hammond should retain a true standalone municipal control row. Official Hammond city materials still show an active municipal police structure, TPSO's own official news confirms Hammond Police Department remains a separate city agency, and the 2024 FBI CDE roster lists both Hammond Police Department and Tangipahoa Parish Sheriff's Office as active agencies. The repo's clean LA0530100 municipal crosswalk and positive 2018-2022 history show that the current 2023-2024 zero-support pattern is a continuity/publication failure, not sheriff replacement or target invalidity. Keep Hammond as a standalone target and treat the current 2024 trend-based fill only as an explicit fallback until a stronger official post-2022 agency table is obtained.",0,,1612.5,hist_median
