source_id,title,url,publisher,source_type,key_finding
1,Departments,https://www.gulfport-ms.gov/government/departments.php,City of Gulfport,official_city_government,"The City of Gulfport lists Police as a city department, confirming a live municipal police function inside city government."
2,Police,https://www.gulfport-ms.gov/government/policedepartments/police/index.php,City of Gulfport,official_city_department_page,"The official police homepage describes the Gulfport Police Department as serving Gulfport residents and visitors and links to active police-specific functions."
3,Department Directory,https://www.gulfport-ms.gov/departments/department_directory.php,City of Gulfport,official_city_department_page,"The police directory lists Gulfport Police contacts including non-emergency dispatch, chief and deputy chief, police clerk, and records."
4,Services,https://www.gulfport-ms.gov/departments/police/services.php,City of Gulfport,official_city_department_page,"The official police services page routes police-record and public-record requests through Gulfport police service channels."
5,FY 2026 Adopted Budget,https://www.gulfport-ms.gov/Documents/Departments/Finance/Audits%20%26%20Budgets/Mayors%20Proposed%20Budget%20%28Final%29%20-%20without%20Resolution.pdf,City of Gulfport,official_city_budget,"The FY 2026 city budget carries a dedicated Police department total of $25,450,708 plus police-specific forfeiture and retirement funds."
6,Mississippi Crime Insight,https://www.nibrs.dps.ms.gov/node/49,Mississippi Department of Public Safety / Mississippi NIBRS,official_state_program_page,"Mississippi NIBRS says production-site data uploaded by certified agencies can be viewed by the public through TOPS."
7,Violent Crime 2024 - Gulfport Police Department,https://mscrimestats.dps.ms.gov/tops/report/violent-crimes/gulfport-police-department/2024/pdf,Mississippi Crime Statistics / Mississippi DPS,official_state_crime_publication,"The official 2024 Gulfport Police Department violent-crime report shows live agency reporting, including 458 violent crimes, 4 murders, 37 robberies, and 386 aggravated assaults."
8,Property Crimes 2024 - Gulfport Police Department,https://mscrimestats.dps.ms.gov/tops/report/property-crimes/gulfport-police-department/2024/pdf,Mississippi Crime Statistics / Mississippi DPS,official_state_crime_publication,"The official 2024 Gulfport Police Department property-crime report shows live agency reporting, including 328 burglaries, 2272 larceny/theft offenses, and 246 motor vehicle thefts."
9,NIBRS Certified-Recert-In Testing-Certified Not Reporting Agencies - 4-18-2025,https://www.nibrs.dps.ms.gov/sites/nibrs/files/NIBRS%20Certified-Recert-In%20Testing-Certfied%20Not%20Reporting%20Agencies%20-%204-18-2025.pdf,Mississippi Department of Public Safety / Mississippi NIBRS,official_state_reference,"The state certified-agency publication lists Gulfport PD, including in the recertifying-agencies section, confirming a live Mississippi reporting agency rather than an invalid municipal target."
10,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"agency_master still identifies MS0240200 as Gulfport Police Department and records both SRS and NIBRS presence."
11,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk maps only MS0240200 to 28:municipal:place:2829700 with weight 1.0."
12,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show real Gulfport support through 2022 but only zero-count SRS summary rows in 2023-2024."
13,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"The 2024 Gulfport municipal control row is fully fill-driven with adjusted_count_ags_core totaling 3652.0 and reported_count_preferred equal to 0 for every offense."
14,effective_nibrs_backfill_candidates.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ms/effective_nibrs_backfill_candidates.csv,CrimeRisk repo,internal_repo_artifact,"The Mississippi source packet flags MS0240200 Gulfport Police Department as an official effective-NIBRS row that has no repo observation and should be backfilled from the Mississippi state source."
