source_id,title,url,publisher,source_type,key_finding
1,Police | Palm Beach Gardens, FL - Official Website,https://www.pbgfl.gov/198/Police,City of Palm Beach Gardens,official_city_police_page,"The City maintains an official Palm Beach Gardens Police Department homepage with police reports, crime maps, and recruiting links."
2,2024 Police Department Annual Report,https://www.pbgfl.gov/DocumentCenter/View/21724/2024-Police-Department-Annual-Report,City of Palm Beach Gardens Police Department,official_police_annual_report,"The 2024 annual report shows a current city police organization chart, says Patrol Operations Bureau provides patrol services 24 hours a day 7 days a week, and publishes 2024 city-specific calls-for-service, incident, population, and crime totals."
3,2024 Annual Comprehensive Financial Report,https://www.pbgfl.gov/DocumentCenter/View/21710/2024-Annual-Comprehensive-Financial-Report,City of Palm Beach Gardens,official_city_financial_report,"The City's FY2024 annual financial report says Palm Beach Gardens provides a full range of services including police and fire protection and lists Dominick Pape as Chief of Police."
4,Our Communities,https://www.pbso.org/our-communities,Palm Beach County Sheriff's Office,official_county_sheriff_page,"PBSO lists its patrol districts and sheriff-served contract communities; Palm Beach Gardens is not presented there as a sheriff-primary municipal policing district."
5,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/CJAB/UCR/Annual-Reports/UCR-Annual-Archives/County-and-Municipal-Offense-Data/County_and_Municipal_Offense_Report_2020A,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report publishes Palm Beach Gardens Police Department as a distinct municipal row in Palm Beach County with total index crime 1,064."
6,Florida Incident-Based Report Reporting System (FIBRS),https://www.fdle.state.fl.us/cjab/fibrs,Florida Department of Law Enforcement,official_state_crime_page,"FDLE says the public FIBRS visualization and downloadable workbook contain submissions from agencies participating in the 2021-2025 Q3 reporting cycles."
7,FIBRS Offense Detail 2021-2025 Q3 workbook,https://www.fdle.state.fl.us/getContentAsset/d7a9c200-43fd-4a08-8f39-fe9382115a42/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q3.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"The official FDLE workbook has no Palm Beach Gardens row on the 2021 sheet, then publishes Palm Beach Gardens Police Department rows on the 2022, 2023, 2024, and 2025 Q3 sheets."
8,FL FBI CDE agency roster raw JSON,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/raw/FL.json,Federal Bureau of Investigation Crime Data Explorer (local repo copy),official_fbi_roster_repo_artifact,"The official FBI roster entry for FL0502600 identifies Palm Beach Gardens Police Department as a City agency with NIBRS start date 2022-01-01."
9,agency_to_jurisdiction_crosswalk.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.csv,CrimeRisk repo,internal_repo_artifact,"FL0502600 maps exclusively to 12:municipal:place:1254075 Palm Beach Gardens city."
10,jurisdiction_master.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/jurisdiction_master.csv,CrimeRisk repo,internal_repo_artifact,"Palm Beach Gardens city is not flagged as a contracted place and has agency_count 1 in the jurisdiction master."
11,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0502600 is classified as local_police with both SRS and NIBRS presence flags through 2024."
12,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"The repo has Palm Beach Gardens SRS annual history through 2020, then only zero-valued SRS annual rows in 2021-2024 and no NIBRS observations at all."
13,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"The 2024 Palm Beach Gardens control rows are fully fill-backed because preferred reported support is zero and the regime is structurally_missing_or_unreliable."
14,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Palm Beach Gardens is queued as a high-impact full-fill place with 1,383 estimated incidents and zero reported support."
15,official_fibrs_spotcheck_2024_reconciled.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/fl/official_fibrs_spotcheck_2024_reconciled.csv,CrimeRisk repo,internal_validated_state_packet_artifact,"The Florida state packet reconciles FL0502600 to the official 2024 FDLE Palm Beach Gardens Police Department workbook row with four quarters reported and annual totals of violent 63, property 1,055, and other 1,041."
