case_id,case_class,state,oris,mass_hint,arm,verdict,confidence,kind,replicate_verdicts,downstream_action,packet_file,detail,rationale,resolved_by_cleanup,resolution
b2-MN0181100-pequot-lakes,published_zero,MN,MN0181100,37.0,opus,genuine_zero_year,medium,cross_class_same_ori_contradiction,"token_reporter:token_reporting_flag(sol,high) via c-MN0181100-pequot-lakes",reconcile_before_apply,batches/batch_001.json,"Keep 0 for 2024; EST2024 [observed x7] stands. Decisive fact: the immediately preceding year's baseline is 2 offenses (2023), so P(0 | rate=2/yr) = e^-2 = 13.5% — an ordinary outcome, not an anomaly. The SRS 0mo does NOT indicate non-submission for this ORI: post-transition the converted Return-A month count tracks months-with-a-record almost exactly (2020: 16 offenses/7mo, 2021: 6/6mo, 2022: 12/11mo, 2023: 2/2mo), so 0 offenses mechanically yields 0 months. SEPARATE FLAG for downstream: the 2019->2020 step from 62 to 16 falls exactly on nibrs_start 2020-01-01 — a 74% drop at the transition boundary. Review 2020-2024 as a block-level NIBRS-transition degradation candidate; that does not change the 2024 ruling but the whole block may sit below true level.","The 12-month NIBRS batch header is a real affirmative submission, and unlike CIUS it is the submission record itself rather than a derivative of it, so the BLANK-AS-ZERO artifact does not apply. The discriminator against the fake zeros in this same batch is the prior-year baseline: Pequot Lakes reached 2 before reaching 0, whereas Blountsville and Buchanan drop to 0 from baselines of 31 and 24. Confidence is capped at medium because the 2020 transition step is a textbook feed-degradation signature, so the 2018-2019 level of 62-94 may be the true one and the recent near-zeros may all be understated.",1,x-MN0181100-pequot-lakes:misread_missing(opus/high)
b2-TX2300300-ore-city,published_zero,TX,TX2300300,30.0,opus,genuine_zero_year,medium,cross_class_same_ori_contradiction,"token_reporter:token_reporting_flag(opus,high) via c-TX2300300-ore-city",reconcile_before_apply,batches/batch_002.json,"Accept the zero; EST2024=0 stands. Deciding fact: the 12-month NIBRS batch header — twelve monthly submissions including zero-reports — which is the only mechanism by which a genuine zero can be recorded, and which rules out BLANK-AS-ZERO explicitly (that artifact requires a 0-2 month submission record; here it is 12). The CIUS 0 is a derived echo of the same submission and supplies no independent corroboration. RESIDUAL DOUBT, record don't patch: the zero terminates a monotone annualized decline (31 / 16 / 16 / 10.5 / 6.9 / 0) and the all-zero vector makes the composition test inapplicable, so a phantom auto-zero-report feed cannot be excluded. Class-level follow-up: check whether municipal place 4854216 at w=1 exclusive is a coverage hole — a PD gone dark to the Upshur County sheriff produces a technically-true ORI zero plus a real geographic hole.","The 2024 FBI submission record shows 12 NIBRS months, not the 0-2 months that defines publication-without-submission, so the printed zero rests on a real full-year submission rather than a default label. Month coverage improved from 7mo (2023) to 12mo (2024) while content went to zero, which reads more like an agency that submitted more and found nothing than like a feed dying. For a town of 1,196 whose last two annualized levels were ~10.5 and ~6.9, a zero year is physically attainable, though it sits well below the 2021 full-12-month level of 16 — hence medium, not high.",1,x-TX2300300-ore-city:misread_missing(sol/high)
b2-MN0610200-starbuck,published_zero,MN,MN0610200,28.5,opus,genuine_zero_year,low,cross_class_same_ori_contradiction,"token_reporter:token_reporting_flag(sol,medium) via c-MN0610200-starbuck",reconcile_before_apply,batches/batch_002.json,"Accept the zero, but this is the weakest published_zero in the batch and I would not object to escalation. Deciding fact: TWO lanes show submission-with-zero — a 12-month NIBRS batch header AND SRS at 6 months with zero counts — so BLANK-AS-ZERO (which requires a 0-2 month submission record) is ruled out on the primary record; the CIUS 0 adds nothing, being a derived echo. RESIDUAL DOUBT driving the low confidence: unlike Ore City and Bogata this is a cliff, not a decline — three consecutive full 12-month NIBRS years at 5, 7, 9 then exactly 0, roughly a 1-in-1000 Poisson event at lambda~8 — and the two lanes disagree on months (12 vs 6). If escalated, the question to answer is whether Starbuck PD still fields officers or has effectively handed policing to the Pope County sheriff while its RMS keeps firing monthly zero-reports; that outcome makes the ORI zero true but leaves place 2762500 a coverage hole.","The 2024 submission record shows 12 NIBRS months plus 6 SRS months, both carrying zero counts, which is affirmative zero-reporting rather than publication without submission. The all-zero vector makes the composition test inapplicable, removing the usual discriminator between a real zero and a dark feed, so the submission record is the only evidence available and it points to accept. Against three stable immediately-prior full-year levels of 5, 7 and 9, an exact zero is the least plausible of the three zeros in this batch, and the earlier 68/48 levels in 2018-19 suggest the ORI's scope changed at some point — hence low confidence on an accept verdict.",1,x-MN0610200-starbuck:misread_missing(opus/medium)
b2-TX1940300-bogata,published_zero,TX,TX1940300,24.0,opus,genuine_zero_year,medium,cross_class_same_ori_contradiction,"token_reporter:token_reporting_flag(opus,high) via c-TX1940300-bogata",reconcile_before_apply,batches/batch_002.json,"Accept the zero; EST2024=0 stands. Deciding fact: the 12-month NIBRS batch header rules out BLANK-AS-ZERO, which requires a 0-2 month submission record, and the immediately prior year is 2 on an equally full 12-month header — a zero against lambda~2 is a ~13% event, entirely ordinary. The CIUS 0 is a derived echo of the same submission, not corroboration. RESIDUAL DOUBT to record: the genuinely unexplained step is 2022->2023 (21 -> 2 on unchanged 12-month headers), so if 2023 is itself a broken feed then 2024 is year two of the same break rather than a true zero. Worth checking whether Bogata PD (pop 1,102, Red River County) still operates or has handed policing to the county sheriff — that outcome makes the ORI zero true but leaves place 4809172 a coverage hole.","The 2024 submission record shows 12 NIBRS months, not the 0-2 months that defines publication-without-submission, so the printed zero rests on a real full-year submission. Of the three published_zero cases in this batch, this is the only one where the zero is a small step from the prior year rather than a cliff — 2023 was 2 offenses on a full 12-month header — so the Poisson objection that weakens Ore City and Starbuck does not apply here. For a town of 1,102 that is a physically attainable zero, and rejecting it would fabricate roughly 2 offenses; the doubt sits on 2023, not on 2024.",1,x-TX1940300-bogata:misread_missing(opus/high)
c-TX1940300-bogata,token_reporter,TX,TX1940300,24.0,opus,token_reporting_flag,high,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(opus,medium) via b2-TX1940300-bogata",reconcile_before_apply,batches/batch_021.json,"Sub-verdict: structural_zero_treat_as_missing. EST2024 = 0 observed is NOT defensible — it publishes a false zero onto Census place 4809172 ('Bogata city') at weight 1, exclusive. Repair: mark 2024 a non-report. Own-history fill is legal here (2022 is within the 2-year window): the last two clean 12-month years are 2021 (19, both lanes 12mo) and 2022 (21, NIB 12mo), median 20 — fill ~19-21. SPILLOVER: 2023 has the same defect and is currently accepted as a complete high-tier year. Its CIUS 2 sits on an SRS record of 2 reported months, and its composition is distorted exactly as a truncated year would be (aggravated assault 0% of a 3.8 baseline, burglary 10%, larceny 7.8%, aggregate 6.8%). 2023 should be restamped months_reported=2 (annualising to 12) or marked missing alongside 2024, otherwise it will be used as the neighbour that legitimises the 2024 zero.","This is BLANK-AS-ZERO in its purest form. Bogata reported 47, 27, 32, 19 and 21 Part-I offences in 2018-2022 from a town of ~1,100 — a baseline of 29.2/yr, roughly 4x the peer band median of 702.6/100k (~7.7/yr). A jurisdiction with an average of 9.6 burglaries and 12.8 larcenies a year does not reach exactly zero across all seven streams; the level is not a reachable crime outcome, it is the absence of a submission. The FBI's published CIUS zero is the frozen Return-A master for an agency whose Return-A record shows 0 reported months, so CIUS is the same non-report counted twice, not corroboration. The NIBRS 12-month batch header on a zero total cannot carry the year either: 12 zero-report compliance batches are indistinguishable from 12 genuinely crime-free months on the header alone, and when the same ORI has a 5-year positive history the zero-report reading is the only one consistent with the record. The collapse path 21 (2022, full) -> 2 (2023, 2 Return-A months) -> 0 (2024, 0 Return-A months) is a reporting wind-down, not a crime wind-down.",1,x-TX1940300-bogata:misread_missing(opus/high)
b2-IL0141300-germantown,published_zero,IL,IL0141300,20.0,opus,genuine_zero_year,medium,cross_class_same_ori_contradiction,"token_reporter:token_reporting_flag(opus,high) via c-IL0141300-germantown",reconcile_before_apply,batches/batch_003.json,"Accept 0 for 2024, but attach a watch flag rather than treating it as a settled structural fact: if 2025 also prints all-seven zeros, reclassify the 2022-2025 run as a decayed feed and refill from the pre-transition baseline (2018 20, 2019 28). Do not let this zero anchor any own-history fill for neighbouring agency-years.","The immediately preceding credible level makes a zero draw ordinary rather than extraordinary: 2023 was 2 at a 12-month NIBRS header (SRS 2 at 5mo annualizes to ~5), so P(0) is 3-14% — unremarkable for a 1,383-person village. The 12-month NIBRS batch header is an affirmative submission and the agency has filed 12-month NIBRS in 2022, 2023 and 2024. I explicitly do not treat the 28->7->6->2->0 slope as support (partial feeds decay smoothly); the ruling rests on the magnitude of the last measured level, and the pre-NIBRS baseline of 20-28 is the reason this is medium and not high.",1,x-IL0141300-germantown:misread_missing(sol/high)
c-IL0580100-blue-mound,token_reporter,IL,IL0580100,17.0,opus,token_reporting_flag,high,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(luna,high) via b2-IL0580100-blue-mound",reconcile_before_apply,batches/batch_028.json,"structural_zero_treat_as_missing. EST2024 = 0 observed is NOT a defensible repair — this agency-year must not enter the panel as an observed zero. Repair basis: own-history fill is barred by the 2-year rule (last real report is 2020, four years back), so drop the agency-year to missing and fill the footprint from peers: local_police, band (1000,2500], 702.6 per 100k x 1,076 = ~8 Part-I offenses, published as imputed. Recorded for the adjudication file: the own-history anchor, if the 2-year rule were relaxed on the strength of this ruling, is the 2019-2020 level of 5 and ~29-32 (median 17), which would put the fill at ~17 — roughly double the peer figure. I recommend the peer figure as the conservative choice and flag the divergence rather than resolving it silently. Also note the 2020 CIUS row for this ORI is a partial-offense total (larceny row absent, CIUS 11 vs SRS 29): the 2020 lane selection is a separate understatement defect.","The only case in this batch where a full-year zero is unreachable on the agency's own demonstrated level. Two real years exist: 2019 at 5 (12-month SRS) and 2020 at 29 on 11 months (~32 annualised), i.e. 465-2,975 per 100k for a 1,076-person village, with a baseline mix of 3 burglary, 2 larceny, 2 aggravated assault. P(0) under Poisson(5) is 0.7%; under the screen's own-history median of 17 it is 4e-8. Zero across all seven streams is not a crime outcome this agency can produce. The reporting mechanism confirms it: 2018 and 2021, 2022, 2023 carry no submission of any kind, and although the roster puts nibrs_start at 2022-01-01, the NIBRS lane carries NO row for 2022 or 2023 — a NIBRS row exists whenever the batch header claims >=1 month, so this ORI transmitted nothing at all for two years while nominally NIBRS-live. A 12-month all-zero row then appearing in 2024 is the signature of headers without content — an onboarded shell — not of an agency that resumed reporting and found nothing. This agency's own history shows it responds to non-reporting by being absent, not by filing zeros, which is the opposite of the Stanford pattern.",1,x-IL0580100-blue-mound:misread_missing(opus/high)
c-TX2300300-ore-city,token_reporter,TX,TX2300300,16.0,opus,token_reporting_flag,high,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(opus,medium) via b2-TX2300300-ore-city",reconcile_before_apply,batches/batch_029.json,"Sub-verdict: structural_zero_treat_as_missing. EST2024 = 0 observed is NOT defensible — it publishes a false zero onto Census place 4854216 ('Ore City city') at weight 1, exclusive. Repair: mark 2024 a non-report. Own-history fill is legal (2022 and 2023 are both real reports within the 2-year window): annualising them gives 10.5 (7 on 8 NIBRS months) and 6.9 (4 on 7 months), so ~7-10; anchoring instead on the last two fully-covered years, 2020 and 2021 at 16 each, gives 16. I would fill at ~8-10 and flag it low-confidence, since 2022-2023 are themselves degraded. SPILLOVER: 2018 is SRS 0/0mo — a non-report currently sitting as a zero — and 2022 (8 NIBRS months) and 2023 (7 NIBRS months) are genuinely partial years that should be annualised rather than read at face value.","The single most diagnostic movement in this record is that the NIBRS month count JUMPS UP as the data disappears. Coverage runs 12, 12, 12, then 8, then 7 as the total decays 30, 16, 16, 7, 4 — and then in 2024 the header returns to 12 while the total goes to 0 and the Return-A record goes to 0 months. An agency does not recover four months of coverage in the same year it loses all of its content; that pattern is the switch from filing thin real data to filing zero-report batches, and it is exactly why a 12-month batch header cannot be treated as a completeness certificate when the total is zero. Absolute plausibility independently rules out the zero: Ore City is a town of ~1,196 that logged 16 offences a year on full 12-month coverage in 2020 and 2021 — a baseline of 20.7/yr, about 2.7x the peer band median of 702.6/100k — and zero across all seven streams is not a reachable outcome for such a jurisdiction. The CIUS printed 0 adds nothing: it is the frozen Return-A master for an agency with 0 reported months, i.e. the same non-report counted twice, elevated to tier hi and weight 1.0 purely by the pipeline's months=12 assumption.",1,x-TX2300300-ore-city:misread_missing(sol/high)
c-MN0181100-pequot-lakes,token_reporter,MN,MN0181100,14.0,sol,token_reporting_flag,high,cross_class_same_ori_contradiction,"published_zero:genuine_zero_year(opus,medium) via b2-MN0181100-pequot-lakes",reconcile_before_apply,batches/batch_030.json,"Structurally missing; prefer validated state/local data, else repair around the 2022 total of 12 with peer rate ~17 as a check. EST2024=0 not defensible.","Full-year totals were 94, 62, 16, 6, 12 before the collapse, and the 2023-24 declines align with SRS coverage falling to two then zero months at pop ~2,486.",1,x-MN0181100-pequot-lakes:misread_missing(opus/high)
b2-NM0090400-hurley,published_zero,NM,NM0090400,14.0,opus,genuine_zero_year,high,cross_class_same_ori_contradiction,"token_reporter:token_reporting_flag(sol,high) via c-NM0090400-hurley",reconcile_before_apply,batches/batch_005.json,"Keep 0 as observed; do not fill and do not treat as missing. Downstream should record provenance as the 12-month NIBRS batch header, not the CIUS row, so the CIUS months_reported=12 assumption is never the load-bearing fact for this agency-year.","Single deciding fact: Hurley already has a full-year NIBRS zero on record (2021, NIB 0/12mo) plus a 7-month zero in 2023, so a zero year sits inside its own observed distribution rather than being a discontinuity. The 2024 zero rests on a real 12-month NIBRS submission, and SRS 0/0mo is the expected artifact for a NIBRS-transitioned agency (nibrs_start 2021-01-01), not a second non-report. At 1,221 population with a 2018-2023 range of 0-14 and a recent baseline near 0-8, a zero year is ordinary rather than improbable.",1,x-NM0090400-hurley:misread_missing(opus/high)
