source_id,title,url,publisher,source_type,key_finding
1,Annual Report | Quincy Police Department,https://www.quincypolicedepartment.com/about/annual-report/,Quincy Police Department,official_city_police,"The official Quincy Police Department annual-report page links the current 2024 annual report and identifies Quincy Police Department leadership and address."
2,2024 Annual Report Update 09/23/25,https://www.quincypolicedepartment.com/wp-content/uploads/2025/09/2024-Annual-Report-Update-09_23_25.pdf,Quincy Police Department,official_city_police_annual_report,"Quincy Police Department's official 2024 annual report provides exact 2024 Quincy UCR counts, reporting 0 homicide, 46 criminal sexual assault, 4 robbery, 28 aggravated assault/battery, 61 burglary, 141 theft, and 126 motor vehicle theft, with major index crime down to 581."
3,QPD Organizational Chart 2026,https://www.quincypolicedepartment.com/wp-content/uploads/2026/02/QPD-Organizational-Chart-2026.pdf,Quincy Police Department,official_city_police,"The official 2026 organizational chart shows Quincy Police Department as an active standalone city police agency with a chief, deputy chiefs, patrol, investigations, and records staff."
4,2023 Annual Report 11/26/24 CF,https://www.quincypolicedepartment.com/wp-content/uploads/2024/11/2023-Annual-Report-11-26-24-CF.pdf,Quincy Police Department,official_city_police_annual_report,"The official 2023 annual report shows Quincy continued compiling local UCR statistics after 2021 and was still working through technology-related issues while publishing 2023 city crime totals."
5,2022 Annual Report,https://www.quincypolicedepartment.com/wp-content/uploads/2023/10/2022-Annual-Report.pdf,Quincy Police Department,official_city_police_annual_report,"The official 2022 annual report says the city suffered a crippling cyber incident in May 2022 and that the police department continued dealing with resulting technology issues while still compiling 2022 Quincy crime statistics."
6,Illinois Uniform Crime Reporting,https://isp.illinois.gov/CrimeReporting,Illinois State Police,official_state_ucr_program,"Illinois State Police's crime-reporting page documents the NIBRS transition, states that agencies verify 2021 Crime in Illinois summary data separately from FBI publication, and shows Illinois training and reporting infrastructure operating through 2024."
7,Crime in Illinois Publications,https://isp.illinois.gov/CrimeReporting/CrimeInIllinoisReports,Illinois State Police,official_state_crime_publication,"Illinois State Police's public Crime in Illinois archive currently exposes annual publications only through CII 2021, indicating the legacy statewide public annual path no longer provides newer place-level Quincy rows."
8,Crime in Illinois 2021 Index Crime.pdf,https://isp.illinois.gov/StaticFiles/docs/CrimeReporting/cii/cii21/Index%20Crime.pdf,Illinois State Police,official_state_crime_publication,"Crime in Illinois 2021 still includes Quincy in the public statewide annual publication, showing Quincy remained a recognized municipal reporting surface during the transition year."
9,IL FBI CDE agency roster mirror 2024,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/raw/IL.json,FBI Crime Data Explorer mirrored in repo,official_federal_roster_repo_mirror,"The mirrored 2024 FBI agency roster lists Quincy Police Department as a City agency with is_nibrs true and nibrs_start_date 2021-01-01."
10,ori_source_validation_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/validation/ori_source_validation_2024.csv,CrimeRisk repo,internal_repo_artifact,"Repo validation flags IL0010300 as present in the official FBI roster but absent from repo 2024 observations, with mismatch_reason official_nibrs_no_repo_nibrs and no_2024_observation."
11,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"IL0010300 routes exclusively to 17:municipal:place:1762367 with weight 1.0, supporting Quincy city as the correct municipal target."
12,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations carry real Quincy counts through 2021 but collapse to zero-valued placeholder SRS rows in 2022-2024 with no materialized NIBRS rows, despite local official annual reports continuing after 2021."
13,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Quincy control rows show zero reported support, zero mean months reported, and hist_median estimation, confirming the current packet is addressing a full-fill municipal target."
14,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Quincy is priority rank 1 in the municipal target review queue with full_fill_no_reported_support and fill_share_of_estimated equal to 1.0 across the six tracked review offenses."
