source_id,title,url,publisher,source_type,key_finding
1,Panama City Beach Police Department,https://www.pcbfl.gov/departments/police-department,City of Panama City Beach,official_city_police_page,"The official city police page lists a live Panama City Beach Police Department with non-emergency number, Police Chief Eusebio Talamantez Jr, Deputy Chief John Deegins, and multiple division commanders."
2,Contact Us,https://www.pcbfl.gov/departments/police-department/contact-us,City of Panama City Beach,official_city_police_page,"The official contact page lists Panama City Beach Police Department at 17115 Panama City Beach Parkway with non-emergency and administration phone numbers plus admin@pcbfl.gov."
3,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Panama City Beach Police Department with population 13,691 and total index crime 887."
4,County and Municipal Offense Report 2021A workbook,https://www.fdle.state.fl.us/getContentAsset/fd8368f9-f42a-4e32-a927-b0337e75c6d0/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2021A.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 Bay County county-and-municipal workbook lists Bay County Sheriff's Office and Panama City Beach Police Department as separate rows, and gives Panama City Beach population 18,783 and total index crime 833."
5,FIBRS Offense Detail 2021-2025 Q3 workbook,https://www.fdle.state.fl.us/getContentAsset/d7a9c200-43fd-4a08-8f39-fe9382115a42/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q3.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS workbook found no Panama City Beach Police Department or FL0030600 row on the 2021, 2022, 2023, 2024, or 2025 Q3 sheets."
6,agency_rosters_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,FBI Crime Data Explorer via official API pull cached in repo,official_federal_agency_roster_extract,"The official FBI CDE 2024 roster snapshot lists FL0030600 as Panama City Beach Police Department, agency type City, with is_nibrs false and no nibrs_start_date."
7,ori_source_validation_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/validation/ori_source_validation_2024.csv,CrimeRisk repo using official FBI CDE roster inputs,internal_validation_against_official_federal_roster,"The validation artifact flags FL0030600 as present_but_no_2024_observation with official_is_nibrs false and mismatch_reason no_2024_observation."
8,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"FL0030600 routes exclusively to 12:municipal:place:1254725 Panama City Beach city."
9,jurisdiction_master.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/jurisdiction_master.csv,CrimeRisk repo,internal_repo_artifact,"Panama City Beach city is a municipal place target with agency_count 1 and is_contracted_place set to False."
10,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"agency_master classifies FL0030600 as a local police department and flags SRS and NIBRS source presence through 2024 even though the official FBI roster marks the agency non-NIBRS."
11,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations carry substantive annual Panama City Beach counts through 2020, then only zero-valued SRS annual rows in 2021-2024 and no NIBRS observations."
12,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Panama City Beach offense controls are filled from history because preferred reported support is zero and the row is treated as structurally missing or unreliable."
13,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Panama City Beach is queued in high_impact_full_fill_place with suspect_reason full_fill_no_reported_support, total_fill_count 969.0, and total_reported_count 0.0."
14,fbi_cde_source_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/fbi_cde_source_review_queue.csv,CrimeRisk repo,internal_repo_review_artifact,"The repo's FBI/CDE review queue separately flags FL0030600 as present_but_no_2024_observation with official_is_nibrs false."
