analysis_date,source_type,source_name,source_url,access_status,role_in_packet,notes
2026-03-24,official_webmap_item,Campusmap Web Map item metadata,https://osugis.maps.arcgis.com/sharing/rest/content/items/bf257063c3914093ab07d8e08c76e5a4?f=json,200_OK,Current official campus-map provenance QA,Public ArcGIS item metadata for the current OSU campus map used at maps.osu.edu; confirms the live official web map item and its public status.
2026-03-24,official_webmap_data,Campusmap Web Map item data,https://osugis.maps.arcgis.com/sharing/rest/content/items/bf257063c3914093ab07d8e08c76e5a4/data?f=json,200_OK,Primary geometry stack,Official web map JSON powering maps.osu.edu; exposes the Buildings and Parking operational layers used for the production footprint.
2026-03-24,official_feature_layer_query,Campusmap Buildings layer query,https://gissvc.osu.edu/arcgis/rest/services/Apps/Campusmap_Buildings_POI/MapServer/1/query,200_OK,Primary geometry seed and official contiguous-vs-satellite split,"Polygon Buildings layer. The Geography field distinguishes Columbus Contiguous, Franklin Satellite, and Golf Course building geography."
2026-03-24,official_feature_layer_query,Campusmap Parking layer query,https://gissvc.osu.edu/arcgis/rest/services/Apps/Campusmap_Transportation/MapServer/0/query,200_OK,Primary parking / west-campus support geometry,Polygon Parking layer used to capture official campus lots and reservoirs attached to the contiguous campus system.
2026-03-24,official_pdf_map,Columbus Campus Map PDF,https://faculty.osu.edu/sites/default/files/documents/columbus-campus-map.pdf,200_OK,Map-based QA for included districts and named facilities,"Official map used to QA inclusion of the mapped academic, residential, athletics, Morehouse, University Hospitals, Ross Heart, Rhodes Hall, Waterman, Kinnear, Woody Hayes, and Schottenstein areas."
2026-03-24,official_pdf_plan,Framework Plan,https://pare.osu.edu/sites/default/files/framework.pdf,200_OK,District / land-mass QA,"Official planning framework used to justify west-campus / western-lands, athletics, river, Kinnear, Waterman, and health-sciences continuity beyond a tiny central-core polygon."
2026-03-24,official_public_safety_page,University Police,https://dps.osu.edu/police,200_OK,Primary-footprint doctrine QA,Current OSUPD page stating off-university-property jurisdiction exists only in limited mutual-aid circumstances.
2026-03-24,official_public_safety_page,Report a Crime,https://dps.osu.edu/report-crime,200_OK,Off-campus exclusion QA,Current page routing off-campus Columbus and neighboring-community incidents to local police rather than treating them as OSUPD primary territory.
2026-03-24,official_asr_pdf,2025 Annual Security and Fire Safety Report,https://dps.osu.edu/sites/default/files/documents/annual_security_fire_safety_report.pdf,200_OK,Primary-footprint doctrine QA,"Official ASR saying OSUPD has police jurisdiction on all university property and provides primary police services to the Columbus campus, while also describing limited agreements and broader Clery geography."
2026-03-24,official_public_safety_page,Wexner Medical Center Security,https://dps.osu.edu/divisions/wexner-medical-center-security,200_OK,Remote-Wexner exclusion QA,Current page used to avoid auto-including remote Wexner facilities simply because they are in the broader medical network.
2026-03-24,official_mutual_aid_pdf,2012 Columbus-OSU Mutual Aid Agreement,https://usg.osu.edu/posts/documents/doc_9192012_19729578.pdf,200_OK,University District exclusion QA,Official agreement showing University District activity is cooperative mutual aid inside city jurisdiction rather than autonomous OSUPD primary territory.
2026-03-24,local_tiger_geometry,2020 Ohio TIGER block groups,,local_file,Share-weight target geometry,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/tiger_bg/tl_2020_39_bg.zip
