case_id,case_class,subclass,state,n_oris,oris,mass_hint,arm,verdict,confidence,source,source_batch,agent,n_replicates,replicate_conflict,replicate_verdicts,verdict_raw,detail,rationale,packet_file,cleanup_pass,active,superseded_by,cleanup_reason,original_class,residue_pass,residue_reason,merged_from,final_pass,final_reason,oris_scope
a2-AL02001-sheffield,ambiguous_twin,a2,AL,2,AL0200100|AL020015A,0.0,opus,distinct_agencies,high,run,opus_batches/001,a2193bcfbd8576767,3,0,,distinct_agencies,"Keep both ORI9s. The 2024 block total stays 224, all of it under AL0200100. AL0200100 = Sheffield Police Department, municipal PD; its footprint is already correct (01:municipal:place:0169648, Sheffield city, Colbert County, w=1 exclusive) and needs no change. AL020015A = Office of the District Attorney, 31st Judicial Circuit — a prosecutorial agency, not a police department. Its footprint 01:statewide_overlap_layer w=1 is WRONG: Alabama's 31st Judicial Circuit is Colbert County alone (Ala. Code 12-11-2), so the correct footprint is Colbert County (FIPS 01033), non-municipal-exclusive, or exclusion from place-level allocation entirely — never a 67-county smear. Its 2024 NIB 0 on 12 months is a genuine monthly zero-report from a real submitter (NIBRS start 2017-07-01, four consecutive all-zero years), not an identity artefact. But because FBIpop is 0 for every year, this agency-year must be excluded from any per-capita peer pool, from statewide reporting-coverage denominators, and from own-history fill.","Shared ORI7 AL02001 is a numbering namespace, not an agency key: Alabama hangs DA-circuit ORIs off the circuit-seat city's slot with a '5A' tag in positions 8-9, so ORI7 identity carries no information in this family. The members differ on every independent axis the packet supplies — roster name (Sheffield Police Department vs District Attorney: 31st Circuit), roster type (City vs Other), FBIpop (9,280 vs 0), and NIBRS start (2020-01-01 vs 2017-07-01, i.e. the DA was submitting three years before the PD). The rollup hypothesis is dead on arrival in both directions: a city PD cannot contain a circuit DA, and the DA's entire 2018-2024 series is zero so there is nothing to roll up. Artefact checks on the surviving count: no BLANK-AS-ZERO (CIUS 224 sits on a 12-month SRS submission, not a 0-2 month one); composition is not distorted (every stream with baseline >=3 retains 14-125% against an aggregate of 69%), so 224 vs a 323 baseline is a level change, not a lane artefact; no partial-year zero anywhere in the PD's series. Worth noting but not verdict-changing: CIUS 224 = SRS 224 = NIB 224 is one submission rendered three times, so the tier-hi weight-1.0 the pipeline grants CIUS overstates the evidence behind a value that happens to be right.",batches/batch_071.json,retained_pre_cleanup,1,,,,retained_pre_residue,,,retained_pre_final,,
a2-AL04901-hamilton,ambiguous_twin,a2,AL,2,AL0490100|AL049015A,4.0,opus,distinct_agencies,high,run,opus_batches/001,a2193bcfbd8576767,3,0,,distinct_agencies,"Keep both ORI9s. The 2024 block sum of 138 is arithmetically right but the components belong on different footprints. AL0490100 = Hamilton Police Department; footprint correct as-is (01:municipal:place:0132848, Hamilton city, Marion County, w=1 exclusive), 2024 total 134. AL049015A = Office of the District Attorney, 25th Judicial Circuit, 2024 total 4 (rape 2, larceny 1, MVT 1). Its 01:statewide_overlap_layer w=1 footprint is wrong: the 25th Circuit is Marion + Winston counties (Ala. Code 12-11-2), so the correct footprint is the two-county set FIPS 01093 (Marion) + 01133 (Winston), non-municipal-exclusive, allocated by county rather than smeared statewide. FLAG, do not merge: this block is the one place in the AL family where genuine incident-level duplication is possible — a DA's office prosecutes rather than patrols, so its 4 NIBRS incidents may already sit in the originating agency's count (Hamilton PD, Winfield PD, Guin PD, Haleyville PD, Marion SO or Winston SO). That is a cross-agency duplication question for the DA-ORI class as a whole, not an ORI-identity question, and 4 counts is immaterial to this block.","Same structural point as AL02001: ORI7 AL04901 is a slot, and the '5A' in positions 8-9 is Alabama's DA-circuit tag. Roster name, roster type (City vs Other), FBIpop (6,963 vs 0) and NIBRS start (2020-01-01 vs 2021-03-01) all separate the members. Neither can be a rollup of the other: Hamilton PD's footprint is a single city inside Marion County while the DA covers Marion + Winston, so containment runs the wrong way geographically, and the count magnitudes (134 vs 4) rule out a parent-child rollup in either direction. Hamilton PD's own 2024 is clean: SRS/NIB agree at 134 on 12 months, composition undistorted (53-95% retention across streams with baseline >=3 against an 87% aggregate). The DA's series (12/10/4/4) is too small for composition to carry signal and the packet says so; its 2024 is a real positive report from a 12-month submitter. Secondary note on the PD: its 2019 NIB row is 0 on 2 reported months — a partial-year zero that uplift cannot rescue (0 x 6.0 = 0). It is not driving 2024 output, but it should be marked non-informative rather than carried as an observed zero, since the 2019 SRS lane shows 127 on 12 months for the same agency-year.",batches/batch_065.json,retained_pre_cleanup,1,,,,retained_pre_residue,,,retained_pre_final,,
a2-AL05401-aliceville,ambiguous_twin,a2,AL,2,AL0540100|AL054015A,0.0,opus,distinct_agencies,high,run,opus_batches/001,a2193bcfbd8576767,3,0,,distinct_agencies,"Keep both ORI9s. The 2024 block total stays 15, all of it under AL0540100 (Aliceville Police Department); footprint correct as-is (01:municipal:place:0101228, Aliceville city, Pickens County, w=1 exclusive). AL054015A = Office of the District Attorney, 24th Judicial Circuit, 2024 NIB 0 on 12 months. Its 01:statewide_overlap_layer w=1 footprint is wrong: the 24th Circuit is Fayette + Lamar + Pickens counties (Ala. Code 12-11-2; confirmed on the 24th DA's own site), so the correct footprint is the three-county set FIPS 01057 (Fayette) + 01075 (Lamar) + 01107 (Pickens), non-municipal-exclusive. The DA's zero is a genuine zero-report from a long-standing submitter (NIBRS start 2012-10-01), not an identity artefact — but with FBIpop 0 it must not enter per-capita peer pools, coverage denominators, or own-history fill.","ORI7 AL05401 is a slot with Alabama's '5A' DA-circuit tag in positions 8-9; roster name, roster type (City vs Other), FBIpop (2,019 vs 0) and NIBRS start (2021-01-01 vs 2012-10-01) all separate the members, and a city PD cannot contain a three-county circuit DA. Two artefact findings that survive the identity call and should be recorded separately. (1) LANE STANDING: 2024 selected CIUS 15 on 'publication_lane_standing' while SRS shows 15 on only 11 months and NIB shows 15 on 12 months. The value is identical so nothing is mis-published, but CIUS is being credited with independent 12-month standing it does not have (it is the frozen Return-A master), and NIB at 12 months is the better provenance for this agency-year. Same pattern in 2022, where CIUS 4 is labelled 12 months over an SRS row of only 7 months. (2) ONE-MONTH ANNUALISATION: AL054015A's 2019 and 2020 NIB rows are each 1 offense (a rape) on 1 reported month; the packet shows them annualised x12 to 12 rapes a year for a DA's office. Those years are not in 2024 output but they are live in the historical panel and are absurd on absolute plausibility — 1-month rows should be marked non-informative, not scaled. Its 2022 row (0 on 9 months) is a partial-year zero that uplift cannot rescue and should be treated the same way.",batches/batch_072.json,retained_pre_cleanup,1,,,,retained_pre_residue,,,retained_pre_final,,
a2-AR02815-state-park-crowley,ambiguous_twin,a2,AR,2,AR0281500|AR028150X,0.0,opus,distinct_agencies,high,run,opus_batches/001,a2193bcfbd8576767,3,0,,distinct_agencies,"Keep both ORI9s. The 2024 block total stays 1 (one aggravated assault) under AR0281500. Correct footprints: AR0281500 = Crowley's Ridge State Park — the park boundary polygon in Greene County, AR (near Walcott); AR028150X = Lake Frierson State Park — the park boundary polygon in Greene County, AR (near Bono, north of Jonesboro). Both currently sit at 05:statewide_overlap_layer w=1, which is wrong even for a single count: two small state-park polygons are being smeared across all 75 Arkansas counties. Lake Frierson's 2024 NIB 0 on 12 months is a genuine zero-report from a first-year NIBRS submitter, not an identity artefact. Merging would change nothing numerically (0 + 1 = 1) but would delete a rostered agency, so there is no upside to it.","ORI7 AR02815 is the Greene-County state-park slot; positions 8-9 ('00' vs '0X') enumerate individual parks, so shared ORI7 carries no identity information. The FBI 2024 roster lists two separately named parks, both type 'Other State Agency', both with NIBRS start 2024-01-01 (Arkansas onboarded its park ORIs as a cohort). The two parks are real, physically separate units of the Arkansas State Parks system about six miles apart; they share a neighbourhood and some operational exchange but are separately administered units, and each has its own ORI. On absolute plausibility, a small day-use park recording zero Part-I offenses in a year is an entirely reachable outcome, and the sibling park's whole-year output is one aggravated assault — this is a near-zero-mass block either way. One lane note: AR0281500 shows SRS 1 on 2 months alongside NIB 1 on 12 months; that SRS row is the FBI's back-conversion of the same single incident, not a second observation, and lane selection correctly took NIB on greater month coverage.",batches/batch_073.json,retained_pre_cleanup,1,,,,retained_pre_residue,,,retained_pre_final,,
a2-AR06301-benton,ambiguous_twin,a2,AR,,AR0630100;AR063019E,,gold,distinct_agencies,high,pilot_gold,,,1,0,,distinct_agencies (keep both; AR063019E footprint must move off the statewide overlay to Hot Springs Village),,"The roster settles identity — AR063019E is Hot Springs Village PD spanning Garland and Saline, and the panel's own county field (051 Garland) differs from Benton's Saline (125), so there is no twin relationship with AR0630100 to dedupe. The load-bearing defect is the footprint: the fallback_overlap onto the Arkansas statewide layer smears a gated community's 44 counts across the entire state, and they belong on the Hot Springs Village CDP polygon, split across the Garland/Saline line rather than assigned to either county whole. On the peer-floor screen, first-NIBRS-year status is the wrong exemption criterion here because AR063019E reported a full 12 months — the low 277 per 100k is genuine, driven by HSV being a gated retirement community whose age structure makes the 1,326 peer median inapplicable. Exempt partial first years and compare against demographically matched peers; do not exempt on first-year status alone.",analysis_scratch/stage1_pilot_result.json,retained_pre_cleanup,1,,,,retained_pre_residue,,,retained_pre_final,,
a2-CA00199-highway-patrol-oakland,ambiguous_twin,a2,CA,6,CA0019970|CA0019945|CA0019990|CA0019916|CA0019947|CA0019991,245.0,opus,distinct_agencies,high,banked_opus,,a29319fb1ac0adceb,1,0,,distinct_agencies,"Keep all 6 ORI9s; the block total of 689 is a correct sum, not double counting, and no canonical merge should be applied. Separate defect to route: all six are ALAMEDA-county CHP commands crosswalked to 06:statewide_overlap_layer — the correct footprint is Alameda County (the CHP-patrolled non-municipal/freeway remainder), not the statewide smear. The three zero members (CA0019916, CA0019947, CA0019991) are genuine 12-month NIBRS zeros — commercial-vehicle enforcement facilities and an investigative services unit have no Part-I patrol volume — keep as zeros, do not fill.","For CHP the last two ORI9 characters identify a physically separate Area Office or enforcement facility, not a lane variant: Oakland, Hayward and Dublin Area Offices patrol different Alameda County freeway segments and the FBI roster names all six independently. There is no …00 stem reporting in 2024, so there is no parent rollup the members could be duplicating, and none carries the covering-city name/footprint signature of a NIBRS-lane twin. The vectors are unrelated (MVT 385 / 168 / 16) and the trajectories move independently — Oakland rises 105→259→444 while Hayward goes 110→622→207 — which is inconsistent with the same incidents being counted twice. statewide_overlap_layer is an accumulation layer built for additive mass, so a shared footprint is not itself evidence of duplication.",batches/batch_005.json,retained_pre_cleanup,1,,,,retained_pre_residue,,,retained_pre_final,,
a2-CA00499-highway-patrol-oroville,ambiguous_twin,a2,CA,2,CA0049940|CA0049941,53.0,opus,distinct_agencies,high,run,opus_batches/001,a2193bcfbd8576767,3,0,,distinct_agencies,"Keep both. 2024 block total 189 = 136 (CA0049940, CHP Oroville Area Office) + 53 (CA0049941, CHP Chico Area Office). These are two physically separate CHP Area commands with adjacent, non-overlapping beats: Oroville is CHP office (240), 2072 3rd Street, Oroville, and Chico is CHP office (241), 413 Southgate Avenue, Chico — both Valley Division, both Butte County. Correct footprint for each is its own CHP Area polygon from the authoritative 'California Highway Patrol Areas and Divisions' layer on the California State Geoportal (gis.data.ca.gov); failing that, Butte County restricted to state-highway corridors plus unincorporated area. The current 06:statewide_overlap_layer w=1 on both is the real defect in this block. SEPARATE TICKET: this block's county resolution is wrong. The panel gives CA cty005 and the roster county reads AMADOR; Oroville and Chico are both in BUTTE County (FIPS 06007). FBI CA county code 004 = Butte on the alphabetical index (Alameda 001, Alpine 002, Amador 003, Butte 004); Amador is FBI 003 / FIPS 06005. Every other CHP block in this batch resolves correctly (009->017 El Dorado, 010->019 Fresno, 012->023 Humboldt, 013->025 Imperial, 015->029 Kern, 020->039 Madera, 024->047 Merced), so this is one bad row — either in the FBI CDE roster county field or in our ORI->FIPS map — not a systematic break.","CAxxx99YY is California's state-agency ORI namespace: positions 6-7 = '99' means 'state agency in FBI county xxx' and positions 8-9 enumerate independent CHP commands. A shared ORI7 inside a 99-block is therefore definitionally not an agency key, and this whole CHP family is a structural false positive of the ORI7 twin detector. No rollup member exists (no ...00 stem reports), the two members are peers, and each Area writes the incidents on its own beat, so the sum is correct rather than double-counted. IMPORTANT SCREEN-CALIBRATION NOTE that applies to every CHP case in this batch: CHP's offense mix is 85-95% motor vehicle theft plus larceny by construction, because CHP takes stolen-vehicle and highway-property reports and almost no violent or burglary volume. Oroville's 2024 is 116 MVT + 20 larceny and nothing else; Chico's is 45 MVT + 6 larceny + 1 each agg assault and burglary. A composition-distortion screen calibrated on municipal PDs will fire on essentially every CHP ORI and be wrong — 'one stream holds' is CHP's authentic signature, not a defect. Level check: Oroville running 3-5x Chico across 2022-2024 is odd for the relative city sizes but consistent with CHP beat geography (Oroville Area covers long rural SR-70/SR-99 and Lake Oroville stretches while Chico PD absorbs most in-city property crime), and it does not bear on identity either way.",batches/batch_016.json,retained_pre_cleanup,1,,,,retained_pre_residue,,,retained_pre_final,,
a2-CA00999-highway-patrol-placerville,ambiguous_twin,a2,CA,2,CA0099945|CA0099946,13.0,opus,distinct_agencies,high,run,opus_batches/001,a2193bcfbd8576767,3,0,,distinct_agencies,"Keep both. 2024 block total 149 = 136 (CA0099945, CHP Placerville Area Office) + 13 (CA0099946, CHP South Lake Tahoe Area Office). Two separate CHP Area commands in El Dorado County with distinct, non-overlapping beats — Placerville covers the US-50 west slope and the county's western half, South Lake Tahoe covers the Tahoe basin. Correct footprint for each is its own CHP Area polygon from the 'California Highway Patrol Areas and Divisions' layer on the California State Geoportal (gis.data.ca.gov), or failing that El Dorado County split west-slope vs basin and restricted to state-highway corridors plus unincorporated area. Both currently at 06:statewide_overlap_layer w=1, which is the actual defect: 149 counts generated on two El Dorado County beats are being spread across all 58 California counties.","Shared ORI7 CA00999 is the El Dorado County state-agency namespace, not an agency; positions 8-9 (45 vs 46) enumerate two independent CHP commands, both listed on the FBI 2024 roster under distinct names, both type State Police. No ...00 stem reports, so there is no parent-rollup candidate, and the members are peers whose beats do not overlap — one incident is written by exactly one Area, so the block sum is a sum of disjoint territory, not a double count. South Lake Tahoe's small total (4/5/13 in 2022-2024) is genuine and expected: South Lake Tahoe PD and the El Dorado County SO absorb almost all property crime inside the basin, leaving CHP a thin highway slice. On absolute plausibility, 13 Part-I offenses for a basin highway beat is a reachable outcome, and the series is rising rather than collapsing. Composition caveat applies as in CA00499: Placerville's 2024 is 82 MVT + 54 larceny and nothing else, which is CHP's authentic mix, not a distortion signal.",batches/batch_039.json,retained_pre_cleanup,1,,,,retained_pre_residue,,,retained_pre_final,,
a2-CA01001-clovis-coalinga,ambiguous_twin,a2,CA,,CA0100100;CA010015M;CA010M100,,gold,same_agency_merge,high,pilot_gold,,,1,0,,same_agency_merge / superseded_ori — CA010M100 superseded by CA010015M (kill the 245.3 fill); CA0100100 distinct and unaffected,,"Clovis is trivially separate: exclusive footprint on place 0614218, 127,560 population, a 2,437 series with no relation to either hospital ORI. The two hospital ORIs carry the identical name, the same Fresno county, and strictly non-overlapping active windows — CA010M100 runs SRS through 2020 then falls silent, CA010015M starts NIBRS in 2022, with 2021 empty as a transition gap — which is the canonical superseded-ORI signature, and there is only one Coalinga State Hospital with one DSH police force. The 229→42 magnitude drop is explained by the SRS-to-NIBRS lane change at a forensic psychiatric facility plus census reduction, not by a second unit. The disposition is robust either way: an ORI silent four years and absent from the 2024 roster must not receive a hist_median fill, and here that fill is 239.8 fabricated aggravated assaults stacked on top of the 42 real counts CA010015M already reports.",analysis_scratch/stage1_pilot_result.json,retained_pre_cleanup,1,,,,retained_pre_residue,,,retained_pre_final,,
a2-CA01099-highway-patrol-fresno,ambiguous_twin,a2,CA,5,CA0109935|CA0109995|CA0109901|CA0109912|CA0109913,14.0,opus,distinct_agencies,high,run,opus_batches/001,a2193bcfbd8576767,3,0,,distinct_agencies,"Keep all five. 2024 block total 120 = 106 (CA0109935 Fresno Area Office) + 6 (CA0109995 Coalinga Area Office) + 4 (CA0109901 Central Division) + 3 (CA0109912 Central Investigative Services Unit) + 1 (CA0109913 Fresno HEAT). The rollup hypothesis has one real candidate here and it fails: CA0109901 'Central Division' is the CHP division HQ in Fresno and genuinely does administer Fresno, Coalinga, Madera, Merced, Los Banos, Buttonwillow and Fort Tejon Areas — but its series is 8/7/9/4 while Fresno Area alone runs 233/148/106, i.e. the putative parent is 2-4% of one of its putative children in every year. It is the HQ office reporting its own handful of incidents, not a rollup, so nothing is contained and nothing double-counts. Correct footprints: Fresno Area and Coalinga Area -> their own CHP Area polygons (California State Geoportal 'CHP Areas and Divisions'); Central Division -> the Division HQ site in Fresno, or at most Fresno County — explicitly NOT the Division polygon, which would spread 4 counts over eight-plus counties; Central Investigative Services Unit -> Fresno County; Fresno HEAT -> Fresno County. All five currently sit at 06:statewide_overlap_layer w=1.","CA01099 is the Fresno County state-agency ORI namespace; positions 8-9 (35, 95, 01, 12, 13) enumerate five independent CHP entities that the FBI 2024 roster names separately and that differ in function: two patrol Area offices, one division HQ, one investigative unit, one auto-theft task force. Sharing ORI7 inside a 99-block carries no identity information. The magnitude test settles the only genuine containment worry (Central Division) decisively in favour of 'distinct'. FLAG, do not merge: CA0109913 (Fresno HEAT) is an auto-theft task force whose recoveries can also be written by Fresno Area or by Fresno PD, and CA0109912 (Central Investigative Services Unit) works cases originated elsewhere — this is a real incident-level duplication channel, distinct from ORI identity, and the right response is a footprint/eligibility rule for task-force ORIs rather than a merge. At 1 and 3 counts respectively the 2024 exposure is immaterial. Composition caveat applies: Fresno Area's 2024 is 61 MVT + 36 larceny + 6 agg assault + 2 robbery + 1 burglary, and the three small units are pure MVT/larceny — CHP's authentic mix, not distortion. Note CA0109912's history is 0/0/0 for 2021-2023 then 3 in 2024; those zeros are genuine low-activity years for a small investigative unit, not blank-as-zero (NIBRS rows exist only on a positive batch header).",batches/batch_035.json,retained_pre_cleanup,1,,,,retained_pre_residue,,,retained_pre_final,,
