source_id,source_type,title,publisher,url,accessed_date,relevance,notes
queue_row_local,local_repo,Overlap localization queue row for OH0252700,crimerisk-clone,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/overlap_localization_queue.csv,2026-03-24,"Local repo evidence showing OH0252700 is currently anchored to Columbus and Franklin County as a campus overlap row.","Useful only as the heuristic starting point that required official-source verification."
osupd_police_page,official_web,University Police,The Ohio State University Department of Public Safety,https://dps.osu.edu/police,2026-03-24,"Current official OSUPD page stating joint patrol is part of a mutual-aid agreement and allows off-university-property jurisdiction only in limited circumstances.","Best current concise source separating OSUPD's core university-property role from off-campus joint patrol."
osu_asr_2025,official_pdf,2025 Annual Security Report,The Ohio State University Department of Public Safety,https://dps.osu.edu/sites/default/files/documents/annual_security_fire_safety_report.pdf,2026-03-24,"Core official source stating OSUPD has police jurisdiction on all university property, provides primary police services to the Columbus campus, has limited agreements with Columbus, Bexley, Upper Arlington, and Clinton Township, and that Clery noncampus/public-property statistics can include outside-agency reports and even non-campus private or foreign locations.","Primary source for rejecting Columbus and Franklin proxies and for separating police footprint from Clery reporting geography."
osu_report_crime,official_web,Report a Crime,The Ohio State University Department of Public Safety,https://dps.osu.edu/report-crime,2026-03-24,"Official reporting page directing on-campus crimes to OSUPD, off-campus Columbus crimes to CPD, and off-campus incidents in Upper Arlington, Clinton Township, and Grandview Heights to their local police agencies.","Strong current source that off-campus neighboring jurisdictions are not routine OSUPD primary territory."
osu_clery_act,official_web,Clery Act,The Ohio State University Department of Public Safety,https://dps.osu.edu/crime/clery-act,2026-03-24,"Official Clery page stating the annual report covers on-campus crimes, certain off-campus buildings or property owned or controlled by Ohio State including Wexner Medical Center facilities, and adjacent public property.","Shows why Clery geography is broader than the OSUPD primary campus-policing footprint."
osu_columbus_mutual_aid,official_pdf,Agreement Between the City of Columbus and The Ohio State University to Engage in Mutual Aid,The Ohio State University / City of Columbus,https://usg.osu.edu/posts/documents/doc_9192012_19729578.pdf,2026-03-24,"Official agreement stating OSU may not unilaterally patrol city areas, City officers remain primary when present, and joint patrol in the University District is a cooperative initiative rather than autonomous OSUPD territory.","Most direct source against using the University District or Columbus city as the police footprint."
osu_joint_patrol_2024,official_web,"Joint Patrol Program Expands, Increasing Off-Campus Police Presence",The Ohio State University Department of Public Safety,https://dps.osu.edu/news/2024/08/19/joint-patrol-program-expands-increasing-campus-police-presence,2026-03-24,"Current official article describing OSUPD-CPD joint patrol in the off-campus University District and explicitly characterizing responses there as occurring in CPD's jurisdiction.","Useful current corroboration that OSUPD off-campus work is support inside CPD territory."
osu_wmc_security,official_web,Wexner Medical Center Security,The Ohio State University Department of Public Safety,https://dps.osu.edu/divisions/wexner-medical-center-security,2026-03-24,"Official page stating Medical Center Security patrols all Ohio State Wexner Medical Center facilities.","Important for avoiding automatic inclusion of the full Wexner facility network inside the OSUPD police footprint."
osu_columbus_campus_map,official_pdf,Columbus Campus Map,The Ohio State University,https://faculty.osu.edu/sites/default/files/documents/columbus-campus-map.pdf,2026-03-24,"Official map of the Columbus campus showing the bounded campus property system, including core academic, residential, athletics, police headquarters, and campus medical buildings such as Morehouse Medical Plaza, University Hospitals, Rhodes Hall, and Ross Heart Hospital.","Best concrete source for the core custom footprint geography."
osu_framework_plan,official_pdf,Framework Plan,The Ohio State University,https://pare.osu.edu/sites/default/files/framework.pdf,2026-03-24,"Official planning document describing the Columbus campus around the Olentangy River and its west-campus / western-lands, athletics, health-sciences, and Waterman / Kinnear structure.","Useful for extending the campus footprint beyond a tiny central-campus proxy without jumping to Columbus or Franklin County."
ohio_rc_3345_041,official_statute,Section 3345.041 Agreements to provide police services to political subdivision or another state university or college,Ohio Revised Code,https://codes.ohio.gov/ohio-revised-code/section-3345.041,2026-03-24,"Official Ohio law authorizing mutual-aid agreements for state university law-enforcement officers outside university territory.","Legal backdrop showing why off-campus OSUPD activity can occur by agreement without converting the whole city into OSUPD primary geography."
