source_id,title,url,publisher,source_type,key_finding
village_police_oct2024,Palm Springs Police Department organizational sheet (October 2024),https://www.vpsfl.org/DocumentCenter/View/6584,Village of Palm Springs,official_village_government,"Official village publication identifies an active Palm Springs Police Department at 230 Cypress Lane with patrol, investigations, support services, and village-employed police staffing."
village_departments_police,Village Departments - Police,https://www.vpsfl.org/240/Village-Departments,Village of Palm Springs,official_village_government,"The village's official departments page has a dedicated Police section with divisions, police-record links, and safety resources, confirming current municipal police operations."
village_support_services,Police Support Services,https://www.vpsfl.org/306/Support-Services,Village of Palm Springs,official_village_government,"The Records Unit is located in the Police Department lobby at 230 Cypress Lane and handles police-record requests, providing the clearest official local records-retrieval path."
village_budget_fy2025,FY 2025 Annual Budget,https://www.vpsfl.org/DocumentCenter/View/6587/FY25-Annual-Budget,Village of Palm Springs,official_village_budget,"The FY2025 budget describes the Palm Springs Police Department as the village's law-enforcement provider and budgets 78 full-time police positions."
village_acfr_2024,Annual Comprehensive Financial Report FY 2024,https://www.vpsfl.org/DocumentCenter/View/6794/ACFR-2024,Village of Palm Springs,official_village_financial_report,"The FY2024 ACFR organizational chart shows a Police Chief in the village structure and the report includes a Police Officers Pension Plan, confirming a village-run police function."
village_acfr_2022,Annual Comprehensive Financial Report FY 2022,https://www.vpsfl.org/DocumentCenter/View/5888/Village-of-Palm-Springs-ACFR-2022,Village of Palm Springs,official_village_financial_report,"The FY2022 ACFR still labeled the same village function under a Public Safety Director, which explains legacy 'Public Safety Department' naming without indicating sheriff replacement."
fdle_police_directory_2026,Police Department Directory,https://www.fdle.state.fl.us/getContentAsset/5c252246-5096-48a0-8627-2ca6b3b4de1c/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/Police-Department-Directory-PDF.pdf?language=en,Florida Department of Law Enforcement,official_state_directory,"FDLE's March 24, 2026 police directory lists Palm Springs Police Department with Chief Rolando Silva at 230 Cypress Lane."
fdle_offense_2020,County and Municipal Offense Report 2020,https://www.fdle.state.fl.us/CJAB/UCR/Annual-Reports/UCR-Annual-Archives/County-and-Municipal-Offense-Data/County_and_Municipal_Offense_Report_2020A,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE published a populated Palm Springs Police Department municipal offense row in 2020 with population 23,867 and total index crime 1,072."
fdle_offense_2021,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE kept Palm Springs Police Department as a municipal row in 2021 but blanked the offense and rate cells."
fdle_fibrs_page,Florida Incident-Based Report Reporting System (FIBRS),https://www.fdle.state.fl.us/cjab/fibrs,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's current FIBRS page links the statewide offense workbook for the 2021-2025 Q3 reporting cycles."
fdle_fibrs_q3_2025,FIBRS Offense Detail 2021-2025 Q3,https://www.fdle.state.fl.us/getContentAsset/d7a9c200-43fd-4a08-8f39-fe9382115a42/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q3.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"Direct workbook inspection found no Palm Springs row on the 2021, 2022, 2023, 2024, or 2025 Q3 sheets."
fbi_cde_roster_2024_repo,FBI CDE agency roster 2024 extract,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/raw/FL.json,Federal Bureau of Investigation via repo extract,official_federal_roster_repo_extract,"The 2024 FBI CDE Florida roster still carries FL0502700 as Palm Springs Police Department in Palm Beach County, with is_nibrs false."
repo_crosswalk,agency_to_jurisdiction_crosswalk.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.csv,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0502700 exclusively to 12:municipal:place:1254450."
repo_observations,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show real Palm Springs counts in 2018-2020 and zero-count annual summary rows from 2021 through 2024."
repo_controls,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"The 2024 Palm Springs village controls are fully filled from history-based estimates, with last usable year 2020 and dominant regime structurally_missing_or_unreliable."
