source_id,title,url,publisher,source_type,key_finding
1,Police Department,https://www.lauderhill-fl.gov/departments/police-department,City of Lauderhill,official_city_police_page,"The City describes the Lauderhill Police Department as a progressive, community-oriented, professionally accredited law-enforcement agency."
2,Meet the Chief,https://www.lauderhill-fl.gov/departments/police-department/meet-the-chief,City of Lauderhill,official_city_police_page,"The City identifies Chief Constance Stanley as Lauderhill's chief of police and describes her long Lauderhill Police Department career."
3,Budget Documents,https://www.lauderhill-fl.gov/departments/finance-department/office-of-management-and-budget/budget-documents,City of Lauderhill,official_city_budget_portal,"The City maintains current operating-budget publications including Fiscal Year 2026 and Fiscal Year 2025."
4,Fiscal Year 2026 Budget,https://www.lauderhill-fl.gov/home/showpublisheddocument/32969/639039219904600000,City of Lauderhill,official_city_budget_pdf,"The FY2026 budget contains a Police Department section stating that the department is responsible for community safety, describes three police divisions, and reports 68,496 calls for service in FY2025."
5,BSO District Offices,https://testorg.sheriff.org/inside-bso/le/bso-district-offices/,Broward Sheriff's Office,official_county_sheriff_page,"BSO says some Broward cities maintain their own police departments and that BSO may provide communications and dispatch to some of them, which is inconsistent with treating Lauderhill as a sheriff-primary contract city."
6,Contracts and Other Documents,https://testorg.sheriff.org/inside-bso/administration/contracts-and-other-documents/,Broward Sheriff's Office,official_county_sheriff_page,"BSO's municipal-contracts page does not list Lauderhill, which is direct sheriff-side evidence against a BSO contract-city policing model for Lauderhill."
7,FDLE Agency Search / ORI Registry,https://atms.fdle.state.fl.us/atms/od/searchOD.jsf,Florida Department of Law Enforcement,official_state_agency_registry,"FDLE's official criminal justice agency registry lists Lauderhill Police Department with ORI FL0061800."
8,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Lauderhill Police Department with population 72,507 and total index crime 2,541."
9,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report still lists a Lauderhill Police Department row with population 74,538, while Broward County's page notes that the 2021 estimate was unavailable because of a limited-size data sample and the offense fields are shown as '--'."
10,UCR Incident-Based Reports landing page,https://www.fdle.state.fl.us/cjab/ucr/annual-reports/fibrs,Florida Department of Law Enforcement,official_state_crime_portal,"FDLE states that Florida incident-based reporting data are available for the 2021-2024 and 2025 reporting cycles via downloadable Excel workbooks."
11,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FIBRS offense workbook found no Lauderhill row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets even though several Broward municipal peers appear."
12,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0061800 exclusively to 12:municipal:place:1239550."
13,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0061800 is classified as a local police department and is flagged with SRS and NIBRS presence through 2024."
14,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show FL0061800 with annual Part I totals of 2,864 in 2018, 2,702 in 2019, and 2,541 in 2020, followed by zero-valued SRS annual rows in 2021 through 2024 and no NIBRS rows."
15,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Lauderhill offense controls are fully filled because preferred reported support is zero and the row is treated as structurally missing or unreliable."
16,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Lauderhill is queued in high_impact_full_fill_place with total_fill_count 2702.0, total_reported_count 0.0, and priority_rank 2."
