source_id,source_type,title,publisher,url,accessed_date,relevance,notes
queue_row_local,local_repo,Overlap localization queue row for CA0199700,crimerisk-clone,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/overlap_localization_queue.parquet,2026-03-24,"Local repo evidence showing CA0199700 is queued as a campus overlap row anchored to Los Angeles city and county.","Useful for explaining why official-source review was needed to accept or reject the heuristic anchors."
ca_ed_code_92600,official_statute,California Education Code Section 92600,California Legislative Information,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=EDC&sectionNum=92600.,2026-03-24,"Primary California law defining UC police authority on campuses, within one mile of campus boundaries, on other Regents properties, and as otherwise provided by Penal Code Section 830.2.","Core legal source for separating police authority from production geometry."
ca_pen_code_830_2,official_statute,California Penal Code Section 830.2,California Legislative Information,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=830.2.,2026-03-24,"Primary California law confirming UC police are peace officers statewide while tying their primary duty back to the Education Code area.","Useful for rejecting a broader city, county, or statewide proxy."
ucla_patrol_division,official_web,Patrol Division,UCLA Police Department,https://police.ucla.edu/about-ucla-pd/operations-bureau/uniformed-patrol-division,2026-03-24,"Official UCPD patrol-footprint source listing patrol areas and lead-officer assignments for main campus, medical centers, Westwood Village, Greek rows, University Apartments North, University Apartments South, and Santa Monica medical facilities.","Most direct official service-footprint source."
ucla_mission_background,official_web,"Mission, Vision, Values, and Background",UCLA Police Department,https://police.ucla.edu/about-ucla-pd/department-information/ucla-pd-mission-statement-background,2026-03-24,"Official UCPD page confirming UCLA officers are sworn under Penal Code Section 830.2(b) and Education Code Section 92600 and patrol the campus year-round.","Useful corroboration on UCLA PD's legal identity."
ucla_filing_report,official_web,Filing a Report,UCLA Police Department,https://police.ucla.edu/services/police-services/filing-a-report,2026-03-24,"Official UCPD page distinguishing crimes on campus or University-owned property from off-campus incidents that may be forwarded to the appropriate law-enforcement agency.","Important for excluding generic off-campus Westwood geography."
ucla_clery_csa,official_web,Campus Security Authorities (CSA),UCLA Police Department,https://police.ucla.edu/reports-statistics/jeanne-clery-act/campus-security-authorities-csa,2026-03-24,"Official UCLA Clery geography guidance defining on-campus property, affiliated noncampus property, and adjacent public property, with examples including Wilshire Center and University Apartments South as reportable and a private Westwood off-campus apartment as not reportable.","Best official source for UCLA's inclusion and exclusion logic around adjacent geography."
ucla_campus_map,official_pdf,UCLA Campus Map,UCLA,https://www.ucla.edu/pdf/ucla-campus-map.pdf,2026-03-24,"Official campus map locating the UCLA Police Station, Ronald Reagan UCLA Medical Center, Center for Health Sciences, and numerous Westwood residential and operational properties.","Best official map source for the Westwood campus core."
ucla_off_campus_buildings,official_web,Off Campus Buildings,UCLA Housing,https://ask.housing.ucla.edu/app/answers/detail/a_id/90/~/off-campus-buildings,2026-03-24,"Official UCLA Housing page listing University Apartments North and University Apartments South complexes and showing that UCLA housing geography extends well beyond the Westwood campus core.","Strong evidence against a single bounded-campus polygon."
ucla_housing_locations,official_web,University Apartments Administration Office Locations,UCLA Housing,https://ask.housing.ucla.edu/app/answers/detail/a_id/1683/~/university-apartments-administration-office-locations,2026-03-24,"Official UCLA Housing page locating University Apartments North in Westwood and University Apartments South on Sawtelle Boulevard.","Useful concrete location source for discontiguous housing geography."
ucla_grad_housing,official_web,Things to Consider Before Applying,UCLA Housing,https://housing.ucla.edu/student-housing/graduate-students-and-students-with-families/things-to-consider-before-applying,2026-03-24,"Official UCLA Housing page stating that with the exception of Hilgard the graduate housing buildings are a few miles south of campus and listing Palms, Mar Vista, Venice, Sawtelle, and Miracle Mile locations.","Strong evidence against a place or campus-only proxy."
ucla_santa_monica_mc,official_web,About the Medical Center - UCLA Santa Monica Medical Center,UCLA Health,https://www.uclahealth.org/hospitals/santa-monica/about-medical-center,2026-03-24,"Official UCLA Health page locating the Santa Monica medical campus at 1250 16th Street and describing it as UCLA Health's Santa Monica medical campus.","Best official site source for the Santa Monica component."
ucla_901_levering,official_pdf,901 Levering Student Housing Project Draft Initial Study and Mitigated Negative Declaration,UCLA Capital Programs,https://www.capitalprograms.ucla.edu/file/pdf/901_Levering_Final_IS-MND_260227.pdf,2026-03-24,"Official UCLA planning document stating that Education Code Section 92600 gives UCPD concurrent jurisdiction with LAPD within one mile of University-owned property and that the adjacent UCLA-owned Levering project falls in the concurrent UCPD/LAPD protection zone.","Important for distinguishing adjacent UCLA-owned Westwood projects from broader neighborhood geography."
ucla_health_smi,official_pdf,UCLA Health Sports Medicine Institute Project Initial Study and Mitigated Negative Declaration,UCLA Capital Programs,https://www.capitalprograms.ucla.edu/file/pdf/UCLA_Health_SMI_Final_IS-MND_260227.pdf,2026-03-24,"Official UCLA planning document stating that while UCPD has primary responsibility on campus, the off-campus project site is within LASD jurisdiction.","Critical exclusion source showing that off-campus UCLA projects do not automatically belong in a routine UCPD production footprint."
