source_id,source_type,title,publisher,url_or_path,accessed_date,relevance,notes
ucdpd_home,official_web,UC Davis Police Department,University of California Davis,https://police.ucdavis.edu/,2026-03-24,"Official department homepage showing one police department with Davis and Sacramento contact points.","Useful for tying the row to one department with two campus commands."
ucdpd_davis_patrol,official_web,Davis Campus,UC Davis Police Department,https://police.ucdavis.edu/uc-davis-difference/our-team/davis,2026-03-24,"Official statement that the Davis campus including UC properties in the city of Davis is patrolled 24/7 by UC Davis Police.","Core source rejecting a Davis-city proxy while defining the Davis-side footprint."
ucdpd_sac_patrol,official_web,Sacramento Campus,UC Davis Police Department,https://police.ucdavis.edu/uc-davis-difference/our-team/sacramento,2026-03-24,"Official statement that the Sacramento campus including UC properties and surrounding areas is patrolled 24/7 by UC Davis Police.","Core source proving the row is not Davis-only and requires a multi-campus treatment."
ucdpd_dashboard,official_web,Transparency Dashboard,UC Davis Police Department,https://police.ucdavis.edu/dashboard,2026-03-24,"Official transparency page describing UC Davis Police reporting and campus-specific public-safety data.","Supports the interpretation that public reporting is organized around Davis and Sacramento campus operations."
ucdpd_crime_data,official_web,Crime and Safety Data,UC Davis Police Department,https://police.ucdavis.edu/crime-safety-data,2026-03-24,"Official crime-data page referenced in search results as reporting criminal data from the department jurisdiction and providing separate Davis and Sacramento campus reporting outputs.","Useful corroboration that the reporting geography is campus-centered rather than a municipal substitute."
ucdpd_careers,official_web,Police Officer Careers,UC Davis Police Department,https://police.ucdavis.edu/careers,2026-03-24,"Official careers page referenced in search results as stating that officers serve the Davis and Sacramento campuses.","Additional direct department evidence of the two-campus service structure."
ucd_law_enforcement,official_web,About Law Enforcement,UC Davis Services for International Students and Scholars,https://siss.ucdavis.edu/emergency-contact-information/about-law-enforcement,2026-03-24,"Official UC Davis page telling readers they may see UC Davis Police on campus, Davis Police around town in Davis, and Sacramento Police in Sacramento.","Best official source for distinguishing campus policing from adjacent municipal policing."
ucd_getting_here,official_web,Getting to UC Davis,UC Davis Transportation Services,https://transportation.ucdavis.edu/gethere,2026-03-24,"Official statement that the Davis campus is a 5,300-acre campus bordering the City of Davis.","Strong source against equating the campus with the whole city."
ucd_env_home,official_web,Office of Environmental Planning Home,UC Davis Office of Environmental Planning,https://environmentalplanning.ucdavis.edu/,2026-03-24,"Official page stating UC Davis CEQA work covers the Davis campus, Sacramento Health campus, and all off-campus locations.","Useful for distinguishing the two campuses from the broader institution."
ucd_env_sacramento,official_web,Sacramento Campus,UC Davis Office of Environmental Planning,https://environmentalplanning.ucdavis.edu/sacramento,2026-03-24,"Official page stating UC Davis operates two campus locations, the 5,300-acre Davis campus and 150-acre Sacramento campus, and that UC Davis Health also has dozens of off-campus facilities.","Key source for the two-campus footprint and for rejecting a whole-institution proxy."
ucdh_locations,official_web,Maps, Locations and Parking for Patients and Visitors of UC Davis Health,UC Davis Health,https://health.ucdavis.edu/patients-visitors/locations/,2026-03-24,"Official UC Davis Health page describing the 150-acre Sacramento campus and separately noting 17 neighborhood clinics across multiple counties.","Helps separate the bounded Sacramento campus from the broader clinic network."
ucdh_sac_map,official_pdf,UC Davis Sacramento Campus Map,UC Davis Health,https://health.ucdavis.edu/common/includes/shared/map/UC-Davis-Sacramento-campus-map.pdf,2026-03-24,"Official campus map and guide listing the buildings and services on the Sacramento campus.","Best map-style source for the Sacramento campus footprint component."
ucd_clery_asr_2024,official_pdf,2024 UC Davis Annual Security and Fire Safety Report,University of California Davis,https://clery.ucdavis.edu/sites/g/files/dgvnsk1761/files/media/documents/ASFSR-UCD-2024vOct2024_0.pdf,2026-03-24,"Official Clery report stating the report applies to both the Davis and UCD Health campuses and tracks on-campus, adjacent public property, and certain off-campus university-controlled property.","Useful corroboration that UC Davis public safety reporting is structured around both campuses."
ca_edc_92600,official_statute,California Education Code Section 92600,California Legislative Information,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?article=1.&chapter=6.&division=9.&lawCode=EDC&part=57.&title=3.,2026-03-24,"Official statute granting UC police authority on UC campuses, within one mile of campus boundaries, and on other Regents property.","Important legal backdrop, but broader than the routine production geometry."
ca_pen_830_2,official_statute,California Penal Code Section 830.2,California Legislative Information,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=830.2.,2026-03-24,"Official statute recognizing UC police as peace officers with primary duty tied to Education Code section 92600.","Corroborates the legal authority chain."
repo_fbi_roster,local_repo,FBI CDE Agency Roster 2024,Local repo mirror,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,2026-03-24,"Local repo evidence that CA0579700 is the active FBI roster row for University of California: Davis and is anchored administratively in Davis/Yolo.","Useful repo-side evidence that the place and county anchors are roster anchors rather than proved footprint geometry."
repo_leaic,local_repo,LEAIC Crosswalk ICPSR 35158,Local repo mirror,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/LEAIC-Crosswalk-ICPSR_35158/DS0001/35158-0001-Data.tsv,2026-03-24,"Local repo evidence for the single UC Davis police ORI and its Davis administrative address.","Supports the no-separate-Sacramento-ORI finding."
repo_tracker,local_repo,Project Tracker,Local repo,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/docs/TRACKER.md,2026-03-24,"Local repo note that earlier high-tier overlap review had already escalated CA0579700 because official police coverage spans Davis and Sacramento campuses.","Useful project-memory evidence that the simple place proxy had already failed verification."
