surface_id,authority_class,publisher,surface_family,title,url,years_scope,geography_scope,record_grain,methodology_lane,v2_primary_role,v2_should_drive_inputs,v2_not_for,live_evidence_path,practical_notes
cde_about_methodologies,official_primary,FBI CDE,documentation,Methodologies Explain Potential Differences in UCR Data,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/about#methodologies,1960-2024+,varies,documentation,methodology_guardrail,classify official surfaces before use,no,numeric inputs,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_about_methodologies.yaml,Explicitly says publication tables can differ from CDE/explorer/master-style data because publication tables undergo internal quality review while open-data style files keep all reported data in file.
cde_downloads_page,official_primary,FBI CDE,documentation,Documents & Downloads,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,1960-2024+,varies,download catalog,download_catalog,annual source selection and dataset discovery,no,direct numeric ingestion without selecting a specific downloadable family,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_downloads.yaml,This is the authoritative front door for current FBI download families and exposes release/update timing.
cde_cius_annual_reports,official_primary,FBI CDE,downloadable_publication,Crime in the United States Annual Reports,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,annual through 2024,national; state; county; city; university; agency,publication tables and resources,publication_table,canonical FBI publication-style annual controls and published agency tables,yes,raw reported-universe engineering or agency roster policy,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_downloads.yaml,Use for CIUS/RCN-style annual totals and tables 8-11 style published agency counts. Published agency tables are limited to agencies with 12 months of complete offense data.
fbi_historical_ucr_publications,official_primary,FBI,static_publication,UCR Publications,https://www.fbi.gov/how-we-can-help-you/more-fbi-services-and-information/ucr/publications,pre-2020 emphasis; historical continuity,national; state; agency varies,publication tables and reports,publication_table,historical continuity for publication-style lanes,conditional,current-year dynamic monitoring or raw/open-data extraction,,Use together with CDE annual report bundles to keep a single publication-lane methodology across the FBI site migration.
cde_crime_explorer,official_primary,FBI CDE,dynamic_explorer,Crime Explorer Pages,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend,current dynamic surface,national; state; agency,interactive trends and summaries,dynamic_query,"monitoring, anomaly triage, and quick comparisons",conditional,canonical annual controls or publication-table replication,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/page-2026-03-22T17-47-02-148Z.yml,Dynamic and timestamped. Violent/property views mix SRS and summarized NIBRS for trend purposes. Values can move as updates arrive.
cde_data_discovery_tool,official_primary,FBI CDE,dynamic_query_tool,Data Discovery Tool,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer,2016-present query surface,national; state; local agency,query results,dynamic_query,ORI/name validation and targeted lookups,conditional,official annual control totals or raw incident replacement,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/page-2026-03-18T23-14-10-263Z.yml,Useful for spot checks and roster discovery. Query methodology references hierarchy-rule style violent/property handling rather than raw incident counting.
cde_crime_data_api,official_primary,FBI CDE,api_documentation,Crime Data API,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/docApi,current documentation,varies,API documentation,api_support,API endpoint discovery and official machine-access framing,no,blind assumption that every endpoint is annual-control ready,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_about_methodologies.yaml,"Treat API lanes separately by payload purpose: roster, dynamic query, or downloadable/master-like support."
cde_agency_roster_api,official_primary,FBI CDE,public_api,Agency Roster by State Abbreviation API,https://api.usa.gov/crime/fbi/cde/agency/byStateAbbr/{STATE_ABBR},current roster,national by state to county grouping,agency roster,roster_metadata,ORI roster validation and NIBRS transition auditing,yes,crime totals or blind year-specific source policy,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,The raw is_nibrs flag is current participation status; use nibrs_start_date to derive effective-year NIBRS status.
cde_nibrs_state_downloads,official_primary,FBI CDE,downloadable_open_data,Crime Incident-Based Data by State,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,annual through 2024,state,incident-level records,raw_open_data,raw incident/offense/victim/property engineering and ORI-level NIBRS support,yes,publication-style controls across the SRS era,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_downloads.yaml,Use when the lane requires raw incident detail. Do not expect exact agreement with CIUS or Explorer violent/property summaries.
cde_master_file_downloads_annual,official_primary,FBI CDE,downloadable_master,Master File Downloads (Annual),https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,1960-2024 varies,varies by collection,master/raw files,master_raw,historical raw continuity and full in-file reported universe,conditional,publication-table replication without transformation,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_downloads.yaml,Master files are fixed-length ASCII/WinZip and require programming extraction. They follow the all-reported-data-in-file logic.
cde_master_file_downloads_ytd,official_primary,FBI CDE,downloadable_master,Master File Downloads (Year-to-Date),https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,current calendar year,varies by collection,master/raw files,master_raw,in-year monitoring only,no,stable annual V2 inputs,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_downloads.yaml,Explicitly monthly/provisional. Useful only for monitoring before annual close.
cde_srs_estimated_crimes,official_primary,FBI CDE,downloadable_estimate,Summary Reporting System (SRS) Estimated Crimes Dataset,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,1979-2024,national; state,estimated counts and rates,legacy_estimate,historical state/national continuity with the legacy FBI estimate series,conditional,agency-level reported-count reconciliation or BJS-estimate substitution,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_downloads.yaml,A legacy SRS-based estimate family. Do not silently splice with BJS NIBRS estimates.
cde_nibrs_estimation_tables,official_primary,FBI CDE,downloadable_estimate,NIBRS Estimation Tables,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,2021-2024+,national and selected subnational estimate geographies,estimated tables,bjs_nibrs_estimate,official static-download entry point for the newer NIBRS estimate family,conditional,legacy CIUS estimate continuity or raw agency counts,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_downloads.yaml,"CDE states these methods were developed with BJS. Treat as the NIBRS-estimate family, not as a continuation of the old SRS estimate lane."
cde_participation_data,official_primary,FBI CDE,downloadable_context,Uniform Crime Reporting Program Participation Data,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,1960-2024,state-year,state-year participation and covered population,coverage_context,coverage denominators and transition context,yes,crime totals or ORI-level roster validation,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/ucr-participation-1960-2024.csv,Counts agencies reporting in any format and covered population. Context only.
bjs_nibrs_estimation_program,official_primary,BJS,program_page,NIBRS Estimation Program,https://bjs.ojp.gov/nibrs-estimation-program,2021+,national methodology context,documentation,bjs_nibrs_estimate,official explanation of why NIBRS estimation exists and how it differs from prior practice,no,raw reported-count inputs,,Use to understand the new estimate family and why 2021+ is not just a deterministic recode of pre-2021 mixed reporting.
bjs_nibrs_national_estimates_api,official_primary,BJS,api,NIBRS National Estimates API,https://bjs.ojp.gov/national-incident-based-reporting-system-nibrs-national-estimates-api,2021+,national and selected subnational estimate domains,estimate tables,bjs_nibrs_estimate,machine-readable BJS estimate pulls,yes,city/agency raw counts or legacy SRS estimate continuity,,Current endpoints can revise prior years; archive endpoints preserve originally published values.
bjs_ckle_publication,official_primary,BJS,publication,"Crime Known to Law Enforcement, 2024",https://bjs.ojp.gov/document/ckle24.pdf,annual 2021+,national; state; selected domains,published estimate bulletin,bjs_nibrs_estimate,human-readable official benchmark for the NIBRS estimate family,conditional,raw reported totals or city incident reconciliation,,"Use for published estimate interpretation, suppression, RMSE, and coverage notes."
bjs_nibrs_estimation_procedures,official_primary,BJS,methodology,Estimation Procedures for Crimes in the United States Based on NIBRS Data,https://bjs.ojp.gov/library/publications/estimation-procedures-crimes-united-states-based-nibrs-data,2022 methodology report,national methodology,documentation,bjs_nibrs_estimate,methodology doctrine for 2021+ NIBRS estimates,no,direct numeric input,,Explains how NIBRS-only estimation differs from the previous process and why weighting and imputation are needed.
bjs_nibrs_codebook_docs,official_primary,BJS,documentation,NIBRS Estimates Codebook and Supplementary Documentation,https://bjs.ojp.gov/document/nibrs-codebook-supplementary-documentation.pdf,current estimate documentation,national estimate datasets,codebook and field schema,bjs_nibrs_estimate,field-level interpretation of estimate files and reliability variables,no,standalone crime inputs,,"Critical for suppression, RMSE, estimate domains, and archive/current endpoint interpretation."
bjs_learcat,official_primary,BJS,dynamic_tool,Law Enforcement Agency Reported Crime Analysis Tool (LEARCAT),https://learcat.bjs.ojp.gov,2016-2023 coverage constrained,full-reporter states and large agencies,interactive NIBRS analytics,secondary_nibrs_analytic,secondary reconciliation and exploratory analytics,conditional,authoritative CDE/FBI count matching or universal-rate surface,,LEARCAT uses NIBRS but has its own offense groupings and full-reporter-state coverage rules.
bjs_learcat_methodology,official_primary,BJS,documentation,LEARCAT Methodology,https://bjs.ojp.gov/learcat-methodology,2016-2023 tool scope,varies,documentation,secondary_nibrs_analytic,guardrails for LEARCAT use,no,direct numeric inputs,,States some offense definitions differ from CDE and that rates are limited to full-reporter states.
princeton_ucr_nibrs_guide,secondary_context,Princeton University Library,reference_guide,Uniform Crime Reporting System (UCR) & National Incident Based Reporting System (NIBRS),https://libguides.princeton.edu/crime/UCR-NIBRS,historical through 2024,varies,reference guide,secondary_context,"quick taxonomy and context on UCR components, transition, and archival links",no,authoritative numeric input selection,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_princeton_ucr_nibrs.yaml,"Useful because it cleanly distinguishes summary, county, incident, and archival/OpenICPSR derivative files, but it is not itself an authoritative data surface."
icpsr_ucr_series_57,secondary_context,ICPSR,archival_catalog,Uniform Crime Reporting Program Data Series,https://www.icpsr.umich.edu/web/ICPSR/series/57,1930-present archival framing,national; county; incident varies,series catalog,secondary_context,archival taxonomy of UCR components and legacy files,no,current official source selection or numeric authority,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/cde_official_surface/live_icpsr_series57.yaml,Useful for understanding the archived component structure and county/statewide allocation conventions in historical ICPSR releases.
