state_fips,county_fips,agency_or_structure_name,issue_type,service_structure_summary,implication_for_pipeline,source_links,note_status
12,,Florida SRS lumpiness slice,reporting_structure,Multiple Florida agencies in the homogeneous lumpy queue report annual SRS volume concentrated in a single month or a single carried annual month rather than defensible month-by-month activity.,Treat the reviewed homogeneous lumpy slice as explicit reporting-regime overrides; do not annualize these rows as true partial monthly reporting.,queue_payload_lumpiness_signal review in state/review/reporting_regime_lumpy_full_mini/compiled,active
22,33.0,Baton Rouge Police / Louisiana lumpy slice,reporting_structure,Sparse-month reporting with matched annual totals can still be lumpy_or_batched when the queue payload shows concentrated annualized volume rather than ordinary monthly reporting.,Allow sparse-month concentrated rows to remain lumpy_or_batched when the reviewed evidence is specific; do not force them into true_partial just because multiple months are present.,queue_payload_lumpiness_signal review in state/review/reporting_regime_lumpy_full_mini/compiled,active
04,13.0,Arizona State University Police,service_footprint,"ASU Police is a multi-campus university policing system. Tempe may be a usable proxy for some slices, but the system is not stable enough to promote automatically from one place-safe review alone.",Keep AZ0079700 behind the overlap verify gate until the campus system treatment is settled explicitly; do not auto-promote a Tempe place proxy from a single review pass.,https://campus.asu.edu/tempe/ ; https://tours.asu.edu/tempe/asu-police-department,active
17,19.0,University of Illinois Urbana-Champaign Police,service_footprint,The Urbana-Champaign campus spans both Champaign and Urbana within Champaign County.,County is the defensible proxy for IL0100700; place-level localization is too narrow for this campus system.,https://www.admissions.illinois.edu/visit/campus-visits/driving-tour ; https://docs.fs.illinois.edu/wp-content/uploads/2023/02/Main-Campus-Map.pdf,active
25,,Harvard University Police Department,service_footprint,"HUPD covers Harvard property across Cambridge, Boston, and Somerville, creating a multi-city and multi-county campus footprint.",Do not collapse MA0096200 into a single place or county proxy; treat it as custom-footprint required.,https://www.hupd.harvard.edu/about ; https://www.hupd.harvard.edu/report-crime-suspicious-activity ; https://www.hupd.harvard.edu/sex-offender-registry-information,active
12,,Jacksonville city,municipal_target_review,"Jacksonville is a real consolidated city-county primary jurisdiction, and official Jacksonville/FDLE materials support routing Jacksonville Sheriff's Office reporting to the Jacksonville city target rather than treating it as county remainder.",Keep the standalone municipal control row and route the active JSO / Duval reporting surface into Jacksonville as the consolidated primary jurisdiction.,state/review/packets/municipal_targets/jacksonville_fl/recommendation.csv,active
22,,New Orleans city,municipal_target_review,"New Orleans is a real standalone municipal police target with continuing official NOPD and city data publication; the issue is broken federal 2024 continuity, not bad routing.",Keep the standalone municipal control row and replace generic fill with a targeted local override built from official NOPD / city publication surfaces.,state/review/packets/municipal_targets/new_orleans_la/recommendation.csv,active
12,,Orlando city,municipal_target_review,"Orlando has an active official Orlando Police Department and remains a normal municipal police surface in FDLE publications.",Keep the standalone municipal control row and treat the full-fill condition as a continuity/source failure on FL0480400 rather than an invalid target.,state/review/packets/municipal_targets/orlando_fl/recommendation.csv,active
12,,Miami Beach city,municipal_target_review,"Miami Beach is an incorporated city with an active police department and official 2024 FDLE FIBRS reporting for FL0130700.",Keep the standalone municipal control row and backfill the missing 2024 FDLE/FIBRS observation rather than treating the target as invalid.,state/review/packets/municipal_targets/miami_beach_fl/recommendation.csv,active
12,,Fort Myers city,municipal_target_review,"Fort Myers has an active official Fort Myers Police Department and official 2024 FDLE FIBRS reporting for FL0360100; the current full-fill condition reflects missing official-NIBRS ingestion rather than sheriff-primary or contract-policing service structure.","Keep the standalone municipal control row and backfill FL0360100 from the official FDLE FIBRS workbook/state-packet path rather than treating the target as invalid or routing it to Lee County Sheriff.",state/review/packets/municipal_targets/fort_myers_fl/recommendation.csv,active
