source_family,raw_code_field,raw_code,raw_label,v2_offense,mapping_quality,use_for_v2_2024_assessment,notes
legacy_geocoded,crm_cd,110,CRIMINAL HOMICIDE,murder,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,121,"RAPE, FORCIBLE",rape,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,122,"RAPE, ATTEMPTED",rape,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,210,ROBBERY,robbery,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,220,ATTEMPTED ROBBERY,robbery,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",aggravated_assault,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,aggravated_assault,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,aggravated_assault,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,aggravated_assault,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,310,BURGLARY,burglary,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,320,"BURGLARY, ATTEMPTED",burglary,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
legacy_geocoded,crm_cd,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),larceny,approximate_local_code_crosswalk,yes,"Legacy LA mapping follows the prior CODE-refresh local crime-code family and is suitable for exploratory comparability checks, but not enough to overcome the post-transition feed break."
