source_id,title,url,publisher,source_type,key_finding
1,Public Records Request,https://www.ocoee.org/341/Public-Records-Request,City of Ocoee,official_city_government,"The City routes police public-records requests through the Ocoee Police Department, names a records section at 646 Ocoee Commerce Parkway, and lists Ocoee police records staff and contact information."
2,Accreditation,https://www.ocoee.org/1303/Accreditation,City of Ocoee,official_police_page,"The City's police accreditation page says the Ocoee Police Department is accredited, lists reaccreditation on October 23, 2025, and presents the department as a current city police organization with multiple operational subpages."
3,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's official 2020 county-and-municipal offense report lists Ocoee Police Department as an Orange County municipal row with population 49,781 and total index crime 1,263."
4,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/getContentAsset/fd8368f9-f42a-4e32-a927-b0337e75c6d0/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2021A.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's official 2021 county-and-municipal offense report retains Ocoee Police Department as a named municipal row with population 48,202 but shows dashes in every offense field."
5,FIBRS Offense Detail 2021-2025 Q3 workbook,https://www.fdle.state.fl.us/getContentAsset/d7a9c200-43fd-4a08-8f39-fe9382115a42/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q3.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE workbook found no Ocoee row in the 2021, 2022, 2023, 2024, or 2025 Q3 offense sheets."
6,FBI Crime Data Explorer agency roster endpoint for Florida,https://api.usa.gov/crime/fbi/cde/agency/byStateAbbr/FL,FBI Crime Data Explorer,official_federal_agency_roster_api,"A live query on March 24, 2026 returned FL0480300 Ocoee Police Department as a City agency with is_nibrs false and no nibrs_start_date."
7,agency_rosters_2024.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,FBI Crime Data Explorer,official_federal_agency_roster_extract,"The cached official FBI CDE 2024 roster also lists FL0480300 Ocoee Police Department in Orange County with is_nibrs false."
8,fdle_fibrs_2024_offense_period_extract.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FDLE-FIBRS-2024/fdle_fibrs_2024_offense_period_extract.csv,CrimeRisk repo,internal_normalized_official_state_extract,"The normalized extract built from FDLE's official 2024 FIBRS workbook contains no Ocoee agency row."
9,agency_to_jurisdiction_crosswalk.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.csv,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0480300 exclusively to 12:municipal:place:1251075 Ocoee city with relationship_type exclusive and weight 1.0."
10,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0480300 is classified as a local police department with both SRS and NIBRS presence flags through 2024, which conflicts with the official FBI roster returning is_nibrs false."
11,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations for FL0480300 match FDLE's 2020 municipal row exactly, then collapse to zero-valued annual SRS placeholders from 2021 through 2024 with no NIBRS rows."
12,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All seven 2024 Ocoee offense controls are fully fill-backed because preferred reported support is zero and the row is treated as structurally missing or unreliable."
13,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Ocoee is queued in high_impact_full_fill_place with suspect_reason full_fill_no_reported_support, six flagged offense rows, total_fill_count 1474.0, and zero reported support."
