source_id,title,url,publisher,source_type,key_finding
1,Departments,https://meridianms.org/government/departments/,City of Meridian,official_city_government,"The City of Meridian lists Police as a city department, confirming a current municipal police function inside city government."
2,Contact,https://meridianms.org/contact/,City of Meridian,official_city_contact_page,"The official city contact page lists Meridian Police Department, Meridian Police Chief Malachi Sanders, patrol, investigations, courts and records, emergency, and nonemergency contacts."
3,Lauderdale County Sheriff's Office,https://www.lauderdaleso.org/,Lauderdale County Sheriff's Office,official_county_sheriff_page,"The sheriff's office says Lauderdale County has several municipal police departments that patrol their respective city limits and that the sheriff's office assists those agencies when necessary."
4,Lauderdale County Home,https://www.lauderdalecounty.org/,Lauderdale County,official_county_government_page,"Lauderdale County lists the Sheriff's Department as a separate county department with its own website and phone numbers."
5,Crime Insight,https://www.nibrs.dps.ms.gov/node/49,Mississippi Department of Public Safety / Mississippi NIBRS,official_state_program_page,"Mississippi NIBRS says testing agencies use the certification site, certified agencies upload monthly submissions to the production site, and production-site data can be viewed by the public through TOPS."
6,Mississippi NIBRS Certified Agencies,https://www.nibrs.dps.ms.gov/node/84,Mississippi Department of Public Safety / Mississippi NIBRS,official_state_program_page,"The official Mississippi certification page links the current certified and testing agency list and confirms the state's certified-agency program as the gate into TOPS public production reporting."
7,NIBRS certified and testing agencies 4-18-2025,https://www.nibrs.dps.ms.gov/sites/nibrs/files/NIBRS%20Certified-Recert-In%20Testing-Certfied%20Not%20Reporting%20Agencies%20-%204-18-2025.pdf,Mississippi Department of Public Safety / Mississippi NIBRS,official_state_reference,"As of April 18, 2025, Meridian PD and Lauderdale Co SO were both still listed in the testing-process section rather than as certified agencies."
8,NIBRS certified and testing agencies 12-31-2025,https://www.nibrs.dps.ms.gov/sites/nibrs/files/Certified%20List%2012-31-2025.pdf,Mississippi Department of Public Safety / Mississippi NIBRS,official_state_reference,"As of December 31, 2025, Meridian PD and Lauderdale Co SO appear in the certified-agency section, showing that both agencies later reached certified reporting status."
9,Agencies that Submitted Violent Crime 2024,https://mscrimestats.dps.ms.gov/public/View/dispview.aspx?ReportId=167&MemberSelection_%5BIncident%20Date%5D.%5BIncident%20Date%20Hierarchy%5D=2024&download=yes&DownloadFormat=CSV&CsvDataFormat=CSV_MD,Mississippi Crime Statistics / Mississippi DPS,official_state_crime_publication,"The official 2024 violent-reporting-agencies export contains no Meridian Police Department row and no Lauderdale County Sheriff's Office row."
10,Agencies that Submitted Property Crime 2024,https://mscrimestats.dps.ms.gov/public/View/dispview.aspx?ReportId=138&MemberSelection_%5BIncident%20Date%5D.%5BIncident%20Date%20Hierarchy%5D=2024&download=yes&DownloadFormat=CSV&CsvDataFormat=CSV_MD,Mississippi Crime Statistics / Mississippi DPS,official_state_crime_publication,"The official 2024 property-reporting-agencies export contains no Meridian Police Department row and no Lauderdale County Sheriff's Office row."
11,Agencies that Submitted Violent Crime 2025,https://mscrimestats.dps.ms.gov/public/View/dispview.aspx?ReportId=167&MemberSelection_%5BIncident%20Date%5D.%5BIncident%20Date%20Hierarchy%5D=2025&download=yes&DownloadFormat=CSV&CsvDataFormat=CSV_MD,Mississippi Crime Statistics / Mississippi DPS,official_state_crime_publication,"The official 2025 violent-reporting-agencies export lists Meridian Police Department separately with 184 violent crimes and Lauderdale County Sheriff's Office separately with 8 violent crimes."
12,Agencies that Submitted Property Crime 2025,https://mscrimestats.dps.ms.gov/public/View/dispview.aspx?ReportId=138&MemberSelection_%5BIncident%20Date%5D.%5BIncident%20Date%20Hierarchy%5D=2025&download=yes&DownloadFormat=CSV&CsvDataFormat=CSV_MD,Mississippi Crime Statistics / Mississippi DPS,official_state_crime_publication,"The official 2025 property-reporting-agencies export lists Meridian Police Department separately with 650 property crimes and Lauderdale County Sheriff's Office separately with 21 property crimes."
13,Violent Crime Trend - Meridian Police Department,https://mscrimestats.dps.ms.gov/public/View/dispview.aspx?ReportId=105&MemberSelection_%5BJurisdiction%5D.%5BJurisdiction%20Hierarchy%5D=MS0380100&download=yes&DownloadFormat=CSV&CsvDataFormat=CSV_MD,Mississippi Crime Statistics / Mississippi DPS,official_state_crime_publication,"The Meridian Police Department violent trend export shows blank 2022-2024 fields and then 2025 counts, which is consistent with a reporting-surface activation after 2024 rather than a fake municipal agency."
14,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Meridian city is queued as a high-impact full-fill municipal review case with jurisdiction id 28:municipal:place:2846640 and reported support 0."
