source_id,title,url,publisher,source_type,key_finding
1,Coconut Creek Police Department,https://www.coconutcreek.gov/government/city-directory/police-department,City of Coconut Creek,official_city_police_page,"The official city police page describes the Coconut Creek Police Department as a full-service, fully accredited agency and presents current city-police leadership and services."
2,Commission for Florida Law Enforcement Accreditation,https://www.coconutcreek.gov/government/city-directory/police-department/commission-for-florida-law-enforcement-accreditation,City of Coconut Creek,official_city_police_page,"The official accreditation page says the Coconut Creek Police Department has an authorized strength of 119 police officers and 44 civilian members serving approximately 60,000 residents."
3,Police Department History,https://www.coconutcreek.gov/government/city-directory/police-department/department-history,City of Coconut Creek,official_city_history_page,"The official city history page says Coconut Creek established its own police force in 1969 and formally re-established the separate Coconut Creek Police Department on September 12, 2002, which rejects a county-replacement or contract-policing explanation."
4,Annual State Summary Crime Data Reports,https://www.fdle.state.fl.us/cjab/ucr/annual-reports,Florida Department of Law Enforcement,official_state_transition_page,"FDLE says Florida collected both summary and incident-based data during the transition after 2020 and that some agencies could not report until transition was complete."
5,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Coconut Creek Police Department as a separate Broward municipal row with population 58,803 and total index crime 750."
6,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/getContentAsset/619960a6-a71f-4655-8eab-2565cd295cd9/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2021A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report retains Coconut Creek Police Department with population 57,871 but blanks every offense field."
7,UCR Incident-Based Reports,https://www.fdle.state.fl.us/cjab/ucr/annual-reports/fibrs,Florida Department of Law Enforcement,official_state_crime_portal,"FDLE says the Florida incident-based reporting downloads cover the 2021-2024 and 2025 Q2 reporting cycles through an Excel workbook."
8,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS workbook found no Coconut Creek row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets even though other Broward agencies do appear."
9,agency_rosters_2024.csv (official FBI CDE pull),/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/agency_rosters_2024.csv,FBI Crime Data Explorer public API via repo snapshot,official_fbi_roster_snapshot,"The repo's 2024 official FBI CDE roster pull lists FL0061100 as Coconut Creek Police Department, agency type City, with is_nibrs false and no nibrs_start_date."
10,agency_to_jurisdiction_crosswalk.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.csv,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0061100 exclusively to 12:municipal:place:1213275."
11,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"agency_master still classifies FL0061100 as a local police department and records both SRS and NIBRS source-presence flags through 2024 even though usable public post-2020 observations are absent."
12,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show nonzero SRS annual totals for FL0061100 in 2018-2020, then zero-valued annual SRS rows in 2021-2024 with no NIBRS support."
13,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Coconut Creek offense controls are fully fill-backed from historical estimators because preferred reported support is zero and the dominant reporting regime is structurally_missing_or_unreliable."
14,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Coconut Creek is queued in high_impact_full_fill_place with total_fill_count 1083.0 and total_reported_count 0.0."
15,fbi_cde_source_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/fbi_cde_source_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"The FBI CDE review queue flags FL0061100 as present_but_no_2024_observation, consistent with a valid agency identity that lacks usable 2024 reported support."
