concept_family,concept_name,ags_consistent,protected_or_excluded_flag,source_family,source_dataset,table_or_variable_codes_or_fields,available_at_bg,available_at_tract,available_current_year,public_access_status,proposed_transformation,priority,research_notes,source_links
land_cover,impervious_and_land_cover,True,False,usgs_mrlc,Annual NLCD,"annual land cover,fractional impervious,impervious descriptor",True,True,True,public_free_online,build BG zonal shares and intensities,high,"Strong national candidate for urban form and exposure. Higher effort than EPA because raster processing is required, but conceptually clean and not target-like.","https://www.mrlc.gov/data/annual-nlcd-land-cover-science-product"
institutional_anchors,national_structures,True,False,usgs,USGS National Structures Dataset,"schools,colleges,hospitals,prisons,law_enforcement,city_hall and similar structure classes",True,True,True,public_free_online,compute BG densities/proximities of institutional anchors,low,"Keep as a later selective holdout. It is broader and coarser than NCES/CMS-style anchor sources and likely too collinear for near-term priority.","https://data.usgs.gov/datacatalog/data/USGS%3Adb4fb1b6-1282-4e5b-9866-87a68912c5d1"
education_anchors,school_and_campus_presence,True,False,nces,NCES EDGE School Locations,"public school point geocodes,locale code,metro/CSA context,legislative districts",True,True,True,public_free_online,compute school density and limited proximity features from verified point geocodes,high,"The verified EDGE school files on disk are structurally thin: they provide clean national geocodes plus locale/metro context, but not the richer enrollment/scale fields we initially hoped for. Keep the active lane narrow and treat additional proximity variants as staged until they beat the benchmark.","https://nces.ed.gov/programs/edge/Geographic/SchoolLocations"
roads,raw_road_hierarchy_and_connectivity,True,False,census_tiger,TIGER/Line roads and all lines,"MTFCC road classes, ramps, service roads, pedestrian paths",True,True,True,public_free_online,derive BG road-length density and connectivity metrics from raw lines,medium,"Conceptually strong national street-network signal with full geometry control and clearer provenance than convenience-built score tables.","https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html"
roads,major_road_and_traffic_exposure,True,False,fhwa,Highway Performance Monitoring System,"AADT,truck AADT,through lanes,functional class,facility type,access control,NHS exposure",True,True,True,public_free_online,derive BG and tract corridor-intensity features from HPMS public geospatial releases,high,"Integrated into the live BG stack in March 2026 via the public `geo.dot.gov` HPMS_FULL state services. Distinct from TIGER geometry and low-collinearity with raw road length, but empirically sparse because it covers the Federal-aid network; the first national pass delivered a real but modest benchmark lift, so keep it active but do not expect it to close the fit gap alone.","https://geo.dot.gov/server/rest/services/Hosted"
activity_generators,selected_consumer_destinations,True,False,overture_maps,Overture Places,"categories.primary,confidence,names.primary,geometry",True,True,True,public_free_online,derive BG density presence nearest-distance and within-1km features for selected consumer-destination classes such as food service nightlife alcohol convenience fuel lodging parking ATM bank and grocery,low,"The first Overture scratch lane is now archived under `archive/experiments/modeling_feature_lanes_2026_03_27/` rather than kept in the main live repo surface. It improved the held-out residual-share benchmark modestly, but the completed national scratch benchmark slightly worsened the whole-surface jurisdiction metrics (`cv_r2_log_rate 0.4759 -> 0.4750`, `cv_r2_rate 0.3513 -> 0.3493`), so it did not clear the promotion bar. Only revisit if a year-aligned source contract or a clearly separated residual-only modeling role becomes explicit; the official Overture bucket currently exposes only the latest retained releases rather than a year-matched official `2024` snapshot.","https://docs.overturemaps.org/getting-data/ | https://docs.overturemaps.org/guides/places/"
education_anchors,postsecondary_presence_and_scale,True,False,nces,NCES EDGE Postsecondary School Locations,"postsecondary point geocodes,locale code,metro/CSA context,legislative districts",True,True,True,public_free_online,compute postsecondary proximity and presence features from verified point geocodes,high,"Campus environments are concentrated attractors for robbery, larceny, and motor vehicle theft, but the verified EDGE postsecondary file does not expose the richer enrollment/sector fields we originally assumed. Treat this as a clean geocode/proximity family rather than a true scale/gravity source unless a better official NCES companion table is wired in later.","https://nces.ed.gov/programs/edge/geographic/schoollocations"
medical_anchors,hospital_and_medical_facility_presence,True,False,cms,CMS Hospital General Information / Provider Data Catalog,"facility id,name,address,city,state,zip,hospital type,ownership,emergency services",True,True,True,public_free_online,build BG count/presence and nearest-anchor features for hospitals after type filtering and Census batch geocoding,high,"A real staged national artifact now exists from the official `xubh-q36u` dataset plus Census geocoding, but the first full hospital feature family did not improve the aggregate benchmark enough to keep it on the default model path yet. Keep as the strongest staged institutional-anchor lane after NCES, but require a trimmed design before default activation.","https://data.cms.gov/provider-data/dataset/xubh-q36u"
nighttime_activity,annual_nighttime_lights_intensity,True,False,nasa,Black Marble VNP46A4 annual nighttime lights,"annual nighttime lights composite,quality flags",True,True,True,public_free_online,build BG zonal intensity and upper-tail nighttime activity features with QA-aware masking,high,"Best broad ambient-activity family after HPMS and CMS: cleaner national coverage and simpler ETL than transit, with a more distinct mechanism than additional road geometry. Treat as realized nighttime intensity rather than as a socioeconomic proxy.","https://ladsweb.modaps.eosdis.nasa.gov/missions-and-measurements/products/VNP46A4"
transit,transit_stop_and_station_access,True,False,fta,National Transit Database and National Transit Map,"stops,stations,routes and service-related geospatial feeds",True,True,True,public_free_online,derive stop density nearest-station and service-access proxies with explicit completeness flags,medium,"Meaningful metro exposure and access family, but keep it behind Black Marble unless the build carries explicit agency participation/completeness flags from day one.","https://www.transit.dot.gov/ntd"
open_space,parks_and_public_open_space_access,True,False,usgs,USGS PAD-US 4.1,"protected areas,parks,public open space polygons",True,True,True,public_free_online,intersect accessible public open-space polygons and build adjacency or nearest-edge features,medium,"Adds park and open-space signal that coarse land-cover classes cannot fully recover. Treat as structural context rather than a behavioral score.","https://www.usgs.gov/programs/gap-analysis-project/science/pad-us-data-download"
