source_id,title,url,publisher,source_type,key_finding
1,Sheriff / Law Enforcement,https://www.deltonafl.gov/380/Sheriff-Law-Enforcement,City of Deltona,official_city_government,"The city's current law-enforcement page states that Deltona contracts with the Volusia Sheriff's Office to provide law-enforcement services to District 4 and the City of Deltona."
2,FY2024-25 Annual Budget - Law Enforcement Services,https://www.deltonafl.gov/ArchiveCenter/ViewFile/Item/210,City of Deltona,official_city_budget,"The FY2024-25 budget says Deltona has contracted VSO law enforcement since incorporation in 1995, organizes law enforcement as contracted services, names a district commander rather than a police chief, budgets 89 contract personnel, and publishes Deltona-labeled crime/service performance measures."
3,FY2024 Annual Comprehensive Financial Report,https://www.deltonafl.gov/ArchiveCenter/ViewFile/Item/219,City of Deltona,official_city_financial_report,"The FY2024 CAFR says the City contracts with the Volusia County Sheriff's Department via an interlocal agreement for law-enforcement services in the City."
4,VSO General Orders Manual - Jurisdictional Responsibilities,https://www.volusiasheriff.gov/_/documents/VSO_General_Orders_Manual.pdf,Volusia Sheriff's Office,official_sheriff_policy_manual,"VSO's jurisdiction manual says the sheriff has primary jurisdiction of all law enforcement in Deltona, DeBary, Pierson, and Oak Hill."
5,Law Enforcement Websites,https://www.volusiasheriff.gov/communications/contact-numbers/police.stml,Volusia Sheriff's Office,official_sheriff_directory,"The sheriff's official county police-links page lists Volusia's municipal police/public-safety departments and Deltona is not listed among them."
6,Addresses and Phone Numbers,https://www.volusiasheriff.gov/contact/office.stml,Volusia Sheriff's Office,official_sheriff_directory,"VSO maintains a District 4: Deltona office, reinforcing that Deltona is served through the sheriff's district structure."
7,County and Municipal Offense Data 2020,https://www.fdle.state.fl.us/CJAB/UCR/Annual-Reports/UCR-Annual-Archives/County-and-Municipal-Offense-Data/County_and_Municipal_Offense_Report_2020A,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's official 2020 Volusia county-and-municipal offense table lists Volusia County Sheriff's Office and the county's municipal departments, but no Deltona row."
8,County and Municipal Offense Data 2021,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's official 2021 Volusia county-and-municipal offense table again omits any Deltona agency row while listing the sheriff and actual municipal departments."
9,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0642500 appears only as raw name deltona with unknown agency type, SRS presence 2020-2024, no NIBRS presence, and latest_srs_part1_total 0.0."
10,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"FL0642500 has only zero-count annual SRS summary rows with months_reported 0.0 in every year 2020-2024."
11,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0642500 exclusively to Deltona city via agency_master_fallback."
12,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Deltona offense controls are fully filled because the preferred reported support is zero and the row is treated as structurally missing or unreliable."
13,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Deltona is queued in high_impact_full_fill_place with total_fill_count 3729.960973 and zero reported support."
