city_key,jurisdiction_id,city_name,state_abbr,priority_bucket,priority_rank,basis,notes
new_york,36:municipal:place:3651000,New York,NY,first_wave,1,Largest municipal payoff in the country; the 2018-2024 dual-feed build is now working and the public year-end NYPD release gives a clean sanity-check anchor.,"Keep improving the reconciliation and share behavior, but NYC is no longer blocked."
chicago,17:municipal:place:1714000,Chicago,IL,first_wave,2,"Single stable feed, direct coordinates, mature offense/location crosswalks, and long history.",Strong second city. Store and review annual-report reconciliation before scaling further.
boston,25:municipal:place:2507000,Boston,MA,first_wave,3,"Large AGS-seed city with official BPD/Analyze Boston direct-coordinate incidents and packet-validated property-offense reconciliation.","Boston is now ready offense-selectively for larceny and motor_vehicle_theft only. Keep the initial live window at 2019-2024 because 2018 still needs explicit dedupe; keep murder pending explicit policy sign-off and leave rape, robbery, aggravated_assault, and burglary blocked by current public-feed coverage limits."
seattle,53:municipal:place:5363000,Seattle,WA,first_wave,4,"AGS-seed city with strong public NIBRS-coded incidents, official annual WASPC counts, and a working Beat-aware fallback path.",Seattle is now ready offense-selectively. Keep murder rape robbery burglary larceny and motor_vehicle_theft live and leave aggravated_assault blocked as a methodological public-data limit rather than a remaining spatial bug.
san_francisco,06:municipal:place:0667000,San Francisco,CA,first_wave,5,"Existing local dual-feed ETL now supports a live offense-selective path, though public rape and homicide remain blocked.",Keep SF blocked city-wide but live offense-selectively for robbery aggravated_assault burglary larceny and motor_vehicle_theft; murder and rape remain blocked by public-data limits.
austin,48:municipal:place:4805000,Austin,TX,first_wave,6,"Long continuous series and source-provided block groups make Austin valuable, and the remaining problem is now narrowed to a bounded aggravated-assault disagreement rather than a broad ETL question.","Austin is now live offense-selectively for robbery burglary larceny and motor_vehicle_theft. Keep aggravated_assault blocked until the official APD lookup and the empirical refresh candidate can be reconciled cleanly."
mesa,04:municipal:place:0446000,Mesa,AZ,second_wave,7,"Second-wave offense-selective city with a validated current-feed contract and packet-approved counting rules for robbery, burglary, larceny, and motor_vehicle_theft.","Now live offense-selectively off the 2020-present feed for 2024-first use. Keep murder and rape blocked on location redaction and aggravated_assault blocked on the victim-count gap."
baltimore,24:municipal:place:2404000,Baltimore,MD,second_wave,8,"Large independent-city overlay candidate with official geocoded legacy SRS incidents and packet-validated offense-specific counting rules.","Now live offense-selectively for rape, robbery, aggravated_assault, and larceny under the packet-validated 2024 legacy-SRS window through 2024-12-28. Keep murder blocked on the unresolved year-end homicide mismatch, burglary blocked on the persistent public-count overrun, and motor_vehicle_theft blocked on the remaining annual reconciliation gap."
philadelphia,42:municipal:cousub:4210160000,Philadelphia,PA,second_wave,8,"Large city police jurisdiction with a stable public incident feed, direct coordinates on most rows, and a packet-validated official reconciliation anchor.","Now live offense-selectively for aggravated_assault and burglary. Keep murder pending a clean criminal-homicide-only public anchor and keep rape, robbery, larceny, and motor_vehicle_theft blocked by stable reconciliation gaps."
los_angeles,06:municipal:place:0644000,Los Angeles,CA,second_wave,9,"High municipal payoff, but the public LA surface is fragmented across geocoded legacy incidents and non-spatial post-transition NIBRS feeds.",Keep blocked until a public post-transition spatial contract or a validated district-boundary fallback exists. This is not a near-term selective-promotion lane.
washington_dc,11:municipal:place:1150000,Washington,DC,second_wave,10,"Independent-city police jurisdiction with official 2024 incidents and exact year-end MPD reconciliation anchors for six promotable offense families.","Now live offense-selectively for murder, robbery, aggravated_assault, burglary, larceny, and motor_vehicle_theft. Keep rape blocked because the public DC Sex Abuse category is not treated as the repo's rape offense."
denver,08:municipal:place:0820000,Denver,CO,second_wave,11,"Large single-city police jurisdiction with an official NIBRS-based public incident service, direct coordinates, and official crime-information dashboard/archive anchors.","Now live offense-selectively for murder, robbery, aggravated_assault, burglary, larceny, and motor_vehicle_theft. Keep rape blocked because the public Denver surface has no repo-compatible rape bucket, and reconcile person crimes on VICTIM_COUNT rather than raw row count."
minneapolis,27:municipal:place:2743000,Minneapolis,MN,second_wave,12,"Large single-city police jurisdiction with an official NIBRS-coded public incident service and official dashboard/document anchors.","Now live offense-selectively for murder, robbery, aggravated_assault, burglary, larceny, and motor_vehicle_theft. Keep rape blocked because the public feed collapses sex-offense codes into a generic Sex Offenses bucket rather than a strict repo rape category, and reconcile the six promotable offenses on row count rather than Crime_Count."
st_louis_mo,29:municipal:place:2965000,St. Louis,MO,second_wave,12.5,"Covered-city upgrade with official monthly SLMPD NIBRS CSVs, direct latitude/longitude, and CIUS annual city controls.","Promote all seven Part-I offenses as share-lane inputs from the 2024 monthly SLMPD CSVs. Keep annual totals in the official control lane unless an offense clears the strict reconciliation gate."
detroit,26:municipal:place:2622000,Detroit,MI,third_wave,13,"Large single-city police jurisdiction with an exact public 2024 ArcGIS incident service, explicit query endpoint, point geometry, 2020 census-block IDs, and an official 2024 year-end seven-offense table.","High-value reviewed city packet with strong public geography and a usable official annual anchor, but not a live city-share promotion lane under the current repo doctrine. The public feed is row-per-charge, the official anchors are partly victim-based or vehicle-based, and the incident-style candidates that remain semantically plausible still do not clear numerically."
nashville,47:municipal:place:4752006,Nashville,TN,third_wave,14,"Large consolidated-city jurisdiction with public UCR incident dashboards, explicit download instructions, a pinned Tableau view contract, a validated workbook-level Map crosstab export, and official 2024 seven-offense crime-analysis reporting.","Useful official-count and packet-research surface, but no longer a clean city-share promotion lane under the repo bar: the validated whole-view bulk export rounds latitude/longitude too coarsely, and the precise mark-level export does not scale as a canonical bulk contract."
portland,41:municipal:place:4159000,Portland,OR,third_wave,15,"Large city police jurisdiction with an official open-data landing page, a live Tableau year-download contract, generalized block-level geometry, and a standards-aligned NIBRS statistics dashboard.","Validated public incident contract, but do not promote for city-share use: the yearly export generalizes locations to block midpoint or intersection centroid and selectively suppresses geometry on sensitive offenses, including complete public location loss on rape in the observed live yearly file."
