source_id,title,url,publisher,source_type,key_finding
1,Chief of Police,https://www.fmpolice.com/149/Chief-of-Police,Fort Myers Police Department,official_city_police_page,"The city police website identifies Chief Jason Fields and describes him as leading the officers and civilians of the Fort Myers Police Department."
2,Districts,https://www.fmpolice.com/213/Districts,Fort Myers Police Department,official_city_police_page,"FMPD's official districts page shows North, South, West, and Central policing districts, which is direct evidence of an active city policing structure."
3,Emergency 9-1-1 Center,https://www.fmpolice.com/195/Emergency-9-1-1-Center,Fort Myers Police Department,official_city_police_page,"FMPD says its Emergency 9-1-1 Center is the primary PSAP within the geographic boundaries of the City of Fort Myers and transfers requests for service outside the city to the appropriate outside agency."
4,Obtain Copy of Police Report,https://www.fmpolice.com/244/Obtain-Copy-of-Police-Report,Fort Myers Police Department,official_city_police_records_page,"FMPD says all police reports generated by officers and Community Service Aides are retained by the Records Division of the Fort Myers Police Department at 2210 Widman Way."
5,Fort Myers Police Department Annual Report 2024,https://www.fmpolice.com/DocumentCenter/View/1602,Fort Myers Police Department,official_police_annual_report,"The 2024 annual report says Fort Myers Police Department personnel addressed 128,462 calls for service in 2024, Patrol Operations is responsible for day-to-day police operations, and the department operates as a current city police agency under Chief Jason Fields."
6,Budget | Fort Myers, FL - City Government,https://fortmyers.gov/1499/Budget,City of Fort Myers,official_city_budget_page,"The City's budget page publishes current adopted budget documents and confirms that Fort Myers maintains a formal city budgeting process for ongoing municipal operations."
7,FY2025-2026 Adopted Annual Budget Book,https://fortmyers.gov/DocumentCenter/View/25319/FY2025-2026-Adopted-Annual-Budget-Book,City of Fort Myers,official_city_budget,"The FY2025-2026 adopted budget book includes Police Department and Dispatchers sections in the table of contents and funds police vehicles, COPS grant matching funds, and a new police headquarters project."
8,Patrol Bureau,https://www.sheriffleefl.org/patrol/,Lee County Sheriff's Office,official_county_sheriff_page,"Lee County Sheriff's Office maintains its own patrol bureau and county precinct system, which supports treating LCSO as a separate county layer rather than the primary Fort Myers city police department."
9,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/CJAB/UCR/Annual-Reports/UCR-Annual-Archives/County-and-Municipal-Offense-Data/County_and_Municipal_Offense_Report_2020A,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Fort Myers Police Department as a municipal row with population 92,599 and total index crime 2,166."
10,FIBRS Offense Detail 2021-2025 Q3 workbook,https://www.fdle.state.fl.us/getContentAsset/d7a9c200-43fd-4a08-8f39-fe9382115a42/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q3.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"The official FDLE 2024 FIBRS sheet includes Fort Myers Police Department in Lee County with four quarters reported and nonzero violent, property, and other year-to-date totals."
11,official_fibrs_spotcheck_2024_reconciled.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/fl/official_fibrs_spotcheck_2024_reconciled.csv,CrimeRisk repo,internal_validated_state_packet_artifact,"The Florida state source packet reconciles FL0360100 to the official Fort Myers Police Department 2024 workbook row and confirms the matched counts."
12,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"FL0360100 maps exclusively to 12:municipal:place:1224125 Fort Myers city."
13,jurisdiction_master.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/jurisdiction_master.csv,CrimeRisk repo,internal_repo_artifact,"Fort Myers city is not flagged as a contracted place in the jurisdiction master."
14,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0360100 is classified as a local police department with both SRS and NIBRS presence flags from 2018 through 2024."
15,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations for FL0360100 match FDLE's 2020 Fort Myers row exactly but then collapse to zero-valued SRS annual rows from 2021 through 2024 with no NIBRS rows present."
16,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Fort Myers offense controls are fully fill-backed because preferred reported support is zero and the row is treated as structurally missing or unreliable."
17,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Fort Myers is queued as a high-impact full-fill municipal target with 2,446 estimated incidents and zero reported support."
18,fbi_cde_source_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/fbi_cde_source_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"FL0360100 is flagged as officially effective NIBRS by 2024 with no corresponding 2024 repo observation, which supports a missing-ingestion diagnosis."
