source_id,title,url,publisher,source_type,key_finding
1,Town of Brookhaven Code Enforcement,https://www.brookhavenny.gov/302/Code-Enforcement,Town of Brookhaven,official_town_government,"Brookhaven's Code Enforcement page says the division is the Town's uniformed security force, secures Town facilities, and works in conjunction with local law enforcement, which is not the same as a municipal police department."
2,Parking Permit for Persons with Disabilities,https://www.brookhavenny.gov/436/Parking-Permit-for-Persons-with-Disabili,Town of Brookhaven,official_town_government,"Brookhaven directs residents of the incorporated villages of Patchogue, Port Jefferson, and Bellport to obtain permits at their village halls rather than from the Town Clerk, confirming separate village administration inside the town."
3,Town of Brookhaven Analysis of Impediments to Fair Housing Choice 2019,https://www.brookhavenny.gov/DocumentCenter/View/21397/Analysis-of-Impediments-to-Fair-Housing-Choice-2019,Town of Brookhaven,official_town_planning_pdf,"The Town states that Brookhaven contains eight incorporated villages and approximately 50 hamlets, showing that the town is not a single undivided local service jurisdiction."
4,Seventh Precinct - Complete,https://www.suffolkcountyny.gov/Events/ArtMID/585/ArticleID/4276/Seventh-Precinct-Complete,Suffolk County Government,official_county_police_page,"Suffolk County identifies the 7th Precinct as covering Brookhaven eastward, confirming county precinct policing inside Brookhaven."
5,Police Stations and Police Precincts Map,https://suffolkcountyny.gov/portals/0/formsdocs/planning/Cartography/2018%20Atlas/Police.pdf,Suffolk County Government,official_county_map_pdf,"The county police map places Brookhaven inside Suffolk County Police precinct geography and labels Suffolk County precincts and several village police departments, but not a Brookhaven town police department."
6,2021 Recommended Operating Budget Narrative Summary - Police Department,https://suffolkcountyny.gov/Portals/0/formsdocs/countyexecutive/Budgets/2021%20-%20Rec%20Op%20Bud%20-%20Narrative%20Summary%2010-13-20%2012pm.pdf,Suffolk County Government,official_county_budget_pdf,"The Suffolk County Police Department narrative says the Department provides police services for the Police District towns including Brookhaven."
7,Code Enforcement - Village of Bellport NY,https://www.bellportvillageny.gov/code-enforcement-2/,Incorporated Village of Bellport,official_village_government,"Bellport directs crimes and emergencies to Suffolk County Police and uses village Code Enforcement for local ordinance matters, showing village-level public safety does not create a Brookhaven town police surface."
8,PJVV - Issue 3 - Public Safety,https://portjeff.com/353/PJVV---Issue-3---Public-Safety,Incorporated Village of Port Jefferson,official_village_government,"Port Jefferson tells residents to use Suffolk County Police for police matters and distinguishes village Code Enforcement from police authority under the Penal Law."
9,PJVV - Issue 7 - Story 2 - Who Ya Gonna Call?,https://portjeff.com/405/PJVV---Issue-7---Story-2---Who-Ya-Gonna-,Incorporated Village of Port Jefferson,official_village_government,"Port Jefferson again distinguishes Suffolk County Police from village Code Enforcement and states that some jobs must be handled by Suffolk County Police."
10,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The current repo crosswalk routes NY0510600 exclusively to Brookhaven town by provisional auto logic."
11,jurisdiction_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/jurisdiction_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Brookhaven town has zero observed counts for all seven offenses in every year 2018-2024."
12,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"The 2024 Brookhaven town control row is entirely fill-driven rather than observed, which is consistent with a fake municipal target rather than a real annual policing jurisdiction."
