analysis_date,source_type,source_name,source_url,access_status,role_in_packet,notes
2026-03-24,official_property_layer_query,Port of Portland Properties FeatureServer layer 25 GeoJSON query,https://services.arcgis.com/quVN97tn06YNGj9s/ArcGIS/rest/services/Public_Map_Layers/FeatureServer/25/query?where=1%3D1&outFields=OBJECTID_1%2CSITECITY%2COWNER1%2CSITEADDR&returnGeometry=true&f=geojson,200_OK,Primary exact geometry source,Official ArcGIS property polygon layer named Port of Portland Properties. Production build retains the full curated layer and dissolves overlaps.
2026-03-24,official_map_viewer_surface,ArcGIS Map Viewer surface for Public_Map_Layers FeatureServer,https://www.arcgis.com/apps/mapviewer/index.html?source=sd&url=https%3A%2F%2Fservices.arcgis.com%2FquVN97tn06YNGj9s%2FArcGIS%2Frest%2Fservices%2FPublic_Map_Layers%2FFeatureServer,200_OK,Live map-backed QA surface,Used to confirm the property layer is exposed as a live map-viewer surface rather than only as a raw REST endpoint.
2026-03-24,official_port_page,About,https://www.portofportland.com/About,200_OK,Current portfolio scope QA,"Current About page says the Port operates business parks, marine terminals, and Hillsboro and Troutdale airports in addition to PDX."
2026-03-24,official_port_page,Business Parks,https://www.portofportland.com/Commercial,200_OK,Current industrial-property QA,"Current business-parks page says the Port owns six business parks, three airports, and three active marine terminals."
2026-03-24,official_port_page,Marine Cargo,https://www.portofportland.com/Marine,200_OK,Current marine-system QA,Current marine page describes the Port marine system and links the active terminals and operator structure.
2026-03-24,official_port_page,Portland International Airport,https://www.portofportland.com/PortlandAirport,200_OK,Current PDX QA,Current PDX page describes the airport as a large Port asset with its own police and fire departments and extensive businesses.
2026-03-24,official_port_page,Air Cargo,https://www.portofportland.com/AirCargo,200_OK,Current cargo-property QA,Current air cargo page confirms PDX cargo facilities and developable sites.
2026-03-24,official_port_page,Hillsboro Airport,https://www.portofportland.com/HIO,200_OK,Current airport QA,"Current HIO page confirms a roughly 950-acre Port airport with three runways, businesses, and non-airside land development."
2026-03-24,official_port_page,Troutdale Airport,https://www.portofportland.com/TTD,200_OK,Current airport QA,Current TTD page confirms Troutdale Airport and its link to Troutdale Reynolds Industrial Park and Gresham Vista.
2026-03-24,official_port_page,Terminal 4,https://www.portofportland.com/Terminal4,200_OK,Current terminal QA,Current terminal page confirms Terminal 4 at 11040 N Lombard Street with Port-leased tenant operations.
2026-03-24,official_port_page,Terminal 5,https://www.portofportland.com/Terminal5,200_OK,Current terminal QA,Current terminal page confirms Terminal 5 in Rivergate with grain and mineral bulk operations.
2026-03-24,official_port_page,Terminal 6,https://www.portofportland.com/Terminal6,200_OK,Current terminal QA,Current terminal page confirms Terminal 6 at 7201 N Marine Drive as a 419-acre multiuse facility.
2026-03-24,official_port_page,Rivergate Industrial District,https://www.portofportland.com/rivergate,200_OK,Current business-park QA,Current Rivergate page confirms Rivergate as the Port's largest industrial park and ties it to Terminals 5 and 6.
2026-03-24,official_port_page,Swan Island Industrial Park,https://www.portofportland.com/SwanIsland,200_OK,Current business-park QA,Current Swan Island page confirms the Port industrial park and its distribution and manufacturing role.
2026-03-24,official_port_page,Portland International Center/Cascade Station,https://www.portofportland.com/cascadestation,200_OK,Current business-park QA,Current Cascade Station page confirms the mixed-use Port business park adjacent to PDX.
2026-03-24,official_port_page,Troutdale Reynolds Industrial Park,https://www.portofportland.com/trip,200_OK,Current business-park QA,Current TRIP page confirms the 700-acre industrial park north of I-84 and Troutdale Airport.
2026-03-24,official_port_page,Gresham Vista Business Park,https://www.portofportland.com/greshamvista,200_OK,Current business-park QA,Current Gresham Vista page confirms the Port business park in Gresham.
2026-03-24,official_port_page,Innovation Campus,https://www.portofportland.com/masstimber,200_OK,Current Terminal 2 QA,Current Innovation Campus page confirms Port redevelopment of Terminal 2 into the mass timber and housing innovation campus.
2026-03-24,official_port_pdf,Marine Terminals Overview PDF,https://cdn.portofportland.com/pdfs/MarineTerminalsOverview.pdf,200_OK,Map-style portfolio QA,"Port-hosted overview map/PDF showing terminals, airports, innovation campus, industrial districts, and headquarters on one portfolio surface."
2026-03-24,official_port_pdf,Properties Portfolio PDF,https://cdn.portofportland.com/pdfs/Prp_Portfolio.pdf,200_OK,Named asset QA,"Port-hosted properties brochure naming West Hayden Island, Terminal 2, Rivergate, Swan Island, terminals, airports, and business parks."
2026-03-24,official_port_pdf,Government Island Management Plan,https://cdn.portofportland.com/pdfs/Miti_Gvrnmnt_Is.pdf,200_OK,Named asset QA,"Port-hosted plan for the Government, Lemon, and McGuire island complex owned by the Port."
2026-03-24,local_tiger_geometry,2020 Oregon TIGER block groups,,local_file,Share-weight target geometry,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/tiger_bg/tl_2020_41_bg.zip
