source_id,title,url,publisher,source_type,key_finding
1,Complete Augusta Charter Book,https://www.augustaga.gov/DocumentCenter/View/19408/Complete-Augusta-Charter-Book,Augusta-Richmond County Government,official_local_charter_pdf,"Augusta's charter created a reorganized government in Richmond County with both county and municipal powers and states that the sheriff is the chief law-enforcement officer of Richmond County; it also references use of the former Augusta Police Department within the consolidated structure."
2,Augusta-Richmond County Elected/Appointed Officials,https://www.augustaga.gov/1429/Elected-Officials,Augusta-Richmond County Government,official_local_government_page,"Augusta-Richmond County lists both the marshal and sheriff as current Augusta-Richmond elected or appointed local offices, confirming that they are distinct offices inside the same consolidated government."
3,Sheriff | Augusta, GA - Official Website,https://www.augustaga.gov/294/Sheriff,Augusta-Richmond County Government,official_sheriff_page,"The sheriff page describes the Richmond County Sheriff's Office as providing law-enforcement services with primary responsibilities including maintaining peace and order, enforcing laws, and investigating crimes."
4,Marshal's Office | Augusta, GA - Official Website,https://www.augustaga.gov/516/Marshals-Office,Augusta-Richmond County Government,official_marshal_page,"The marshal page describes a specialized role centered on civil process, ordinance enforcement, court and building security, and airport law-enforcement duties, not a general citywide police role."
5,About | Augusta University Police Department,https://www.augusta.edu/police/about.php,Augusta University,official_university_police_page,"Augusta University Police states that it maintains jurisdiction on all Augusta University property, confirming a separate campus-police overlap layer."
6,Georgia: Guide to 2010 State and Local Census Geography,https://www.census.gov/geographies/reference-files/2010/geo/state-local-geo-guides-2010/georgia.html,U.S. Census Bureau,official_federal_geography_guide,"The Census guide says Richmond County is served by the consolidated government of Augusta-Richmond County, Georgia CCDs have no legal function, and balance places represent the portion of consolidated cities outside other incorporated places."
7,2020 Census PL API - Richmond County Georgia county subdivisions,https://api.census.gov/data/2020/dec/pl?get=NAME,P1_001N&for=county%20subdivision:*&in=state:13&in=county:245,U.S. Census Bureau,official_federal_api,"The official Census API shows Richmond County has four CCDs and that Augusta CCD has population 140467, proving it is only one statistical subdivision rather than the consolidated government."
8,U.S. Census Bureau QuickFacts: Augusta-Richmond County consolidated government (balance) Georgia,https://www.census.gov/quickfacts/fact/table/augustarichmondcountyconsolidatedgovernmentbalancegeorgia/NES010222,U.S. Census Bureau,official_federal_quickfacts,"QuickFacts reports a 2020 population of 202081 for Augusta-Richmond County consolidated government (balance), confirming that the balance place is the near-full Augusta municipal geography."
9,2020 Census PL API - Georgia consolidated cities,https://api.census.gov/data/2020/dec/pl?get=NAME,P1_001N&for=consolidated%20city:*&in=state:13,U.S. Census Bureau,official_federal_api,"The official Census API lists Augusta-Richmond County consolidated government as a consolidated city with population 206607, confirming the underlying city-county consolidation."
10,2020 Census Count by Georgia City Population,https://www.legis.ga.gov/api/document/docs/default-source/reapportionment-document-library/2020-census-count-by-city-population.pdfsfvrsn%3D274928ba_2,Georgia Legislative and Congressional Reapportionment Office,official_state_reapportionment_pdf,"Georgia's legislative reapportionment office lists Hephzibah as a separate city in 2020, consistent with Augusta's balance geography existing alongside separate incorporated places."
11,2024 Crime Statistics Summary,https://gbi.georgia.gov/document/document/2024-crime-statistics-summary/download,Georgia Bureau of Investigation,official_state_crime_summary,"GBI explains that county crime totals are compiled from all law-enforcement agencies operating in the county, including sheriff's offices, police departments, campus police, and other agencies, which matches Augusta's layered public-safety structure."
12,agency_to_jurisdiction_crosswalk.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.csv,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes GA1210100 and GA1210200 to Augusta CCD, GA1210700 to the Augusta balance row, and leaves GA1210000 in state nonmunicipal remainder."
13,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show GA1210000 has active 2018-2024 crime totals while GA1210100, GA1210200, and GA1210700 are zero throughout the panel."
