nibrs_offense_code,nibrs_offense_code_description,offense_sub_category,offense_category,v2_offense,rows_2018_2024,count_comparability,notes
09A,Murder & Nonnegligent Manslaughter,HOMICIDE,VIOLENT CRIME,murder,317,approximate_person_count_rule,"Observed in live feed. Published WASPC comparison is victim-count based for crimes against person."
11A,Rape,RAPE,VIOLENT CRIME,rape,1627,approximate_person_count_rule,"Observed in live feed. Published WASPC comparison is victim-count based for crimes against person."
120,Robbery,ROBBERY,VIOLENT CRIME,robbery,11711,approximate_person_count_rule,"Observed live Seattle code for robbery in 2018-2024. Published WASPC comparison remains approximate because robbery sits in the crimes-against-person frame."
12A,,, ,robbery,0,approximate_person_count_rule,"Present in legacy Seattle category file but not observed in the 2018-2024 live feed. If observed later, published WASPC comparison would still be approximate because robbery is counted in the crimes-against-person frame."
12B,,, ,robbery,0,approximate_person_count_rule,"Present in legacy Seattle category file but not observed in the 2018-2024 live feed. If observed later, published WASPC comparison would still be approximate because robbery is counted in the crimes-against-person frame."
13A,Aggravated Assault,AGGRAVATED ASSAULT,VIOLENT CRIME,aggravated_assault,21827,approximate_person_count_rule,"Observed in live feed. Published WASPC comparison is victim-count based for crimes against person."
220,Burglary/Breaking & Entering,BURGLARY,PROPERTY CRIME,burglary,62596,exact_comparable,"Observed live Seattle burglary code."
22A,,, ,burglary,0,exact_comparable,"Present in legacy Seattle category file but not observed in the 2018-2024 live feed."
22B,,, ,burglary,0,exact_comparable,"Present in legacy Seattle category file but not observed in the 2018-2024 live feed."
22U,,, ,burglary,0,exact_comparable,"Present in local V2 code map for FBI/UCR compatibility but not observed in the 2018-2024 live feed."
23A,Pocket-picking,LARCENY-THEFT,PROPERTY CRIME,larceny,917,exact_comparable,"Observed live Seattle larceny subtype."
23B,Purse-snatching,LARCENY-THEFT,PROPERTY CRIME,larceny,230,exact_comparable,"Observed live Seattle larceny subtype."
23C,Shoplifting,LARCENY-THEFT,PROPERTY CRIME,larceny,28642,exact_comparable,"Observed live Seattle larceny subtype."
23D,Theft From Building,LARCENY-THEFT,PROPERTY CRIME,larceny,13454,exact_comparable,"Observed live Seattle larceny subtype."
23E,Theft From Coin-Operated Machine or Device,LARCENY-THEFT,PROPERTY CRIME,larceny,138,exact_comparable,"Observed live Seattle larceny subtype."
23F,Theft From Motor Vehicle,LARCENY-THEFT,PROPERTY CRIME,larceny,66152,exact_comparable,"Observed live Seattle larceny subtype."
23G,Theft of Motor Vehicle Parts or Accessories,LARCENY-THEFT,PROPERTY CRIME,larceny,27556,exact_comparable,"Observed live Seattle larceny subtype."
23H,All Other Larceny,LARCENY-THEFT,PROPERTY CRIME,larceny,43815,exact_comparable,"Observed live Seattle larceny subtype."
23U,,, ,larceny,0,exact_comparable,"Present in local V2 code map for FBI/UCR compatibility but not observed in the 2018-2024 live feed."
240,Motor Vehicle Theft,MOTOR VEHICLE THEFT,PROPERTY CRIME,motor_vehicle_theft,42321,exact_comparable,"Observed live Seattle motor vehicle theft code."
