source_id,title,url,publisher,source_type,key_finding
1,City of Ray City - RCPD Home,https://www.raycityga.gov/our-gatherings/police-home,City of Ray City,official_city_police_page,"Ray City's official police page describes the department as a full-service, full-time police department recognized by Georgia P.O.S.T., led by Chief Steve Miller, and staffed by two full-time plus three part-time officers."
2,City of Ray City - Map & Directions,https://www.raycityga.gov/who-we-are/driving-directions,City of Ray City,official_city_contact_page,"The city's contact page lists a dedicated Police Department phone number at city hall, which supports the existence of a current municipal police function."
3,Contact Directory - Berrien County GA,https://berriencountygeorgia.com/contact-directory/,Berrien County,official_county_directory_page,"Berrien County lists E-911 non-emergency at 229-686-2091 and separately lists the Sheriff Office at 229-686-7071; the Ray City police page uses the same 229-686-2091 number for after-hours calls, indicating county dispatch support rather than sheriff replacement of the city police department."
4,2020 Comprehensive Plan Update,https://dca.georgia.gov/document/plans/plan-update-2020-0/download,Georgia Department of Community Affairs,official_state_approved_local_plan_pdf,"The joint comprehensive plan for Berrien County and its cities states that Ray City became incorporated on August 16, 1909, confirming that Ray City is a real incorporated municipal government."
5,2022 Municipal Government Information Catalog,https://dca.georgia.gov/document/reports/2022-municipal-information-catalog/download,Georgia Department of Community Affairs,official_state_local_government_catalog_pdf,"Georgia's municipal public-safety catalog includes Ray City in the police-related public-safety tables with nonblank police fields, corroborating that Ray City operates a city police function."
6,Crime Statistics,https://gbi.georgia.gov/services/crime-statistics,Georgia Bureau of Investigation,official_state_crime_program_page,"GBI says Georgia UCR data is compiled directly from reports submitted by law-enforcement agencies and that additional UCR data can be retrieved for special-purpose reports upon request."
7,GBI Crime Statistics Database,https://gbi.georgia.gov/services/crime-statistics/gbi-crime-statistics-database,Georgia Bureau of Investigation,official_state_crime_database_status_page,"GBI states that the public crime-statistics database is not available at this time, which helps explain why agency-level continuity is not visible through the normal public database path."
8,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes GA0100300 Ray City Police Department exclusively to 13:municipal:place:1363728."
9,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"Repo observations show GA0100300 with annual Part I total 23 in 2018, an aberrant 14002 larceny-dominated total in 2019, and zero indexed counts from 2020 through 2024."
10,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Ray City city is flagged as high_impact_full_fill_place with reported support 0 and fill_share_of_estimated 1.0 in the municipal target review queue."
