ori,year,offense,final_reporting_regime,evidence_type,source_note,confidence,reviewer_note
AL0500000,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,"Monthly data are present, but one month holds most of the total.",0.94,Still looks concentrated rather than truly monthly.
AL0500000,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows full-year coverage but with most activity concentrated in one month.,0.91,"All months are present, but the distribution is still highly concentrated."
AL0500000,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,The annual total is highly concentrated in one month even though all months are present.,0.95,Still lumpy enough to keep in the batched regime.
AL0500000,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all months present with one month carrying most of the total.,0.95,"This is concentrated monthly reporting, not a clean monthly series."
CA001300X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,NIBRS annual incident support is present with 12 reported months and no usable SRS signal.,0.97,Use annual NIBRS support; no evidence of monthly observation.
CA0019970,2024,motor_vehicle_theft,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality 12-month NIBRS annual support with no SRS support.,0.96,Keep annual-only usable; annual incident support is sufficient here.
CA007340X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.98,"Treat as annual-only usable support, not monthly reporting."
CA0079920,2024,motor_vehicle_theft,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality 12-month NIBRS annual support with no SRS support.,0.96,Keep annual-only usable; the payload does not show monthly-usable reporting.
CA030350X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 months reported and no usable SRS.,0.98,Use annual NIBRS support; no evidence of true monthly observation.
CA030390X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.96,Keep as annual-only NIBRS support; no evidence of monthly observation.
CA030420X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.98,Treat as annual-only support; nothing indicates true monthly observation.
CA030430X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.97,Keep annual-only classification; no defensible evidence of true monthly observation.
CA030490X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.96,Treat as annual-only usable NIBRS support; no monthly observation evidence.
CA034550X,2024,burglary,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 months reported.,0.96,"Annual NIBRS support is usable, but monthly observation is not defensible."
CA034550X,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,NIBRS annual incident support is present with 12 reported months and no usable SRS signal.,0.97,Use annual NIBRS support; no evidence of monthly observation.
CA034550X,2024,motor_vehicle_theft,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.96,No defensible monthly-observation evidence; keep annual-only usable.
CA0349950,2024,larceny,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months and no usable SRS.,0.96,Keep annual-only-butable usable; no evidence of true monthly observation.
CA0349950,2024,motor_vehicle_theft,annual_only_but_usable,queue_payload_nibrs_annual_support,NIBRS annual incident support is present with 12 reported months and no usable SRS signal.,0.97,Use annual NIBRS support; no evidence of monthly observation.
CA0349952,2024,motor_vehicle_theft,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 months reported and no usable SRS.,0.98,Use annual NIBRS support; no evidence of true monthly observation.
CA0509965,2024,motor_vehicle_theft,annual_only_but_usable,queue_payload_nibrs_annual_support,NIBRS annual incident support is present with 12 reported months.,0.96,"Annual NIBRS support is usable, but not monthly-usable."
CA0549980,2024,motor_vehicle_theft,annual_only_but_usable,queue_payload_nibrs_annual_support,Queue payload shows high-quality NIBRS annual support with 12 reported months.,0.96,"NIBRS annual extraction is usable, but not shown to be monthly."
FL0030000,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual Part I activity concentrated in one month.,0.99,Keep lumpy_or_batched; monthly pattern is still highly concentrated.
FL0030000,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual Part I activity concentrated in one month.,0.99,Keep lumpy_or_batched; the pattern matches annual batching.
FL0030000,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual SRS total concentrated in one month.,0.99,No evidence of genuine monthly reporting beyond the batched annual total.
FL0030000,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,The payload shows all 12 months reported but only one nonzero month and a 100% max month share.,0.99,Keep as lumpy_or_batched; the pattern matches batched annual reporting.
FL0030000,2024,rape,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual activity concentrated in one month.,0.98,Single-month concentration supports batched reporting.
FL0030100,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows all annual Part I activity concentrated in one month.,0.99,Keep lumpy_or_batched; reported months do not indicate true monthly spread.
FL0030100,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows only one nonzero reporting month and a fully concentrated monthly share.,0.99,Keep as lumpy_or_batched; this is classic batched reporting.
FL0030100,2024,larceny,lumpy_or_batched,queue_payload_lumpiness_signal,"All 12 months are reported, but the observed activity is concentrated in one month.",0.99,Single-month concentration with a full month set supports batched reporting.
FL0030100,2024,motor_vehicle_theft,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows one active month and a fully concentrated annual total.,0.99,"Monthly fields look reported, but the data are concentrated in one month."
FL0030100,2024,rape,annual_only_but_usable,queue_payload_lumpiness_signal,"Queue payload shows the full count sitting in one month, so the annual total is usable.",0.94,This looks like an annual lump rather than a meaningful monthly pattern.
FL0060600,2024,aggravated_assault,lumpy_or_batched,queue_payload_lumpiness_signal,Queue payload shows only one nonzero reporting month and a max month share of 1.0.,0.99,Keep as lumpy_or_batched; the reported annual total is highly concentrated.
FL0060600,2024,burglary,lumpy_or_batched,queue_payload_lumpiness_signal,"Queue payload shows one nonzero month, a 100% max month share, and a lumpiness flag.",0.99,"This is classic batched annual reporting, not full monthly reporting."
