source_id,title,url,publisher,source_type,key_finding
1,Hammond Police Division sitemap,https://hammond.org/police-division-sitemap.xml,City of Hammond,official_city_sitemap,"The City of Hammond currently publishes an official police-division sitemap with active division pages, showing that Hammond still maintains a municipal police organization rather than relying exclusively on the parish sheriff."
2,Hammond Municipal Fire and Police Civil Service,https://hammond.org/hammond-municipal-fire-police-civil-service/,City of Hammond,official_city_governance_page,"The city maintains a Hammond Municipal Fire and Police Civil Service page describing the city's classified fire and police service, which is direct official evidence of an ongoing municipal police structure."
3,Hammond Police Department UCR 2017-2021,https://hammond.org/wp-content/uploads/2022/07/ucr_2017-2021.pdf,City of Hammond / Hammond Police Department,official_city_police_publication,"Hammond Police Department published an official city-hosted UCR / Crime Stats PDF through 2021, proving that Hammond historically operated a real municipal crime-publication surface."
4,Couple Arrested in Drug Investigation,https://www.tpso.org/post/couple-arrested-in-drug-investigation,Tangipahoa Parish Sheriff's Office,official_parish_sheriff_news,"TPSO's own 2025 news release says the sheriff's office worked in collaboration with the Hammond Police Department, which confirms separate active agencies rather than sheriff replacement of city policing."
5,Crime in Louisiana 2023,https://lclelsac.com/wp-content/uploads/2025/05/Crime-in-LA-2024-FINAL-web.pdf,Louisiana Commission on Law Enforcement and Louisiana Sheriff's Association,official_state_crime_publication,"The official Louisiana annual report lists Hammond P.D. in the LIBRS participation roster for Tangipahoa Parish, but a packet review of the public PDF did not recover a Hammond city offense row from the published agency tables, indicating a public publication gap or omission rather than disappearance of the agency."
6,FBI CDE Agency Roster 2024 Louisiana mirror,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/data/FBI-CDE-Agency-Rosters-2024/raw/LA.json,FBI Crime Data Explorer mirrored in repo,internal_repo_artifact,"The 2024 FBI CDE roster includes both Hammond Police Department (LA0530100, city agency, NIBRS start 2021-01-01) and Tangipahoa Parish Sheriff's Office (LA0530000), which supports active parallel city and parish law-enforcement entities."
7,agency_to_jurisdiction_crosswalk.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.csv,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes LA0530100 exclusively to 22:municipal:place:2232755, indicating a clean Hammond municipal mapping rather than a mixed sheriff-city geometry."
8,canonical_agency_year_2018_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/artifacts/crime/canonical_agency_year_2018_2024.parquet,CrimeRisk repo,internal_repo_artifact,"LA0530100 carries positive annual Part I totals in 2018-2022, then flips to zero-count rows with months_reported = 0 in 2023 and 2024, which is a continuity break on a real agency row."
9,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Hammond city offense controls are sourced from zero-support SRS annual rows and fully filled from trend_log_linear estimates anchored to usable history through 2022."
10,municipal_target_review_queue.csv,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.csv,CrimeRisk repo,internal_repo_artifact,"Hammond is queued as a high-impact full-fill municipal review case with total_reported_count = 0 and fill_share_of_estimated = 1.0 across the surfaced review offenses."
