# stage1_adjudications registry: token_reporters_adjudicated.csv
# source_registry: state/qa/stage1_adhoc_review/token_reporters_adjudicated.csv
# source_pass: pass 4 (apply_stage1_final_rulings.py) landing on passes 1-3
# rows: live rulings only (the per-class registries hold no superseded rows); the full
#   audit ledger with every superseded instance is state/qa/stage1_adhoc_review/rulings_full.csv
# target_year: 2024
# generated_by: scripts/review/source_audit/promote_stage1_adjudications_to_configs.py
# generated_at: 2026-07-30T01:16:56+00:00
# source_sha256: 0b1e46d6c12b253ff2a18f6b7236e0ed5be3b41ff66d921ce8a36f50bcda0fd6
# rows_written: 431
case_id,target_year,state,oris,verdict,downstream_action,believable_months,repair_value_hint,confidence,needs_review,detail
c-FL0480000-orange,2024,FL,FL0480000,token_reporting_flag,partial_year_uplift,,21650,high,0,"Do NOT keep 3,772 as an observed full year. Mark FL0480000 2024 as partial/non-complete on all three lanes and correct the month labels: NIB should be 1 month (roster nibrs_start 2024-12-01), SPUB ~2 months, SRS <1 month. Best-grounded 2024 total is the December NIBRS fragment annualized: 1,804 x 12 = ~21,650, which lands on the 2022 full-year level of 21,130. The current EST2024 of 17,092 is right in magnitude but the vector is not defensible: it keeps murder=13 as 'observed' from a ~2-month SPUB fragment and splices it against six hist_median full-year values (larceny 10,126), producing an internally inconsistent record. Discard all seven 2024 observed values, or rebuild the whole vector from the December NIBRS month."
c-LA0170200-baton-rouge,2024,LA,LA0170200,token_reporting_flag,partial_year_uplift,4,13425,high,0,"This is not a token report — it is a clean 4-month partial that the pipeline labeled complete. Believable months: 4 (both NIB and SRS state months_reported=4 explicitly). Correct repair is uniform annualization across all seven offenses: 4,475 x 12/4 = ~13,425, i.e. 24/26/100/513/839/2214/759 x3 = 72/78/300/1539/2517/6642/2277. That lands at 94% of the 2021-2023 baseline median of 14,307, confirming the 4 months are genuine and complete. The current EST2024 of 4,523 is NOT defensible: it applied true_partial_month_ratio to murder alone (24 -> 72) and left the other six offenses at their 4-month values, producing a record where murder is at full-year scale and larceny is at one-third scale, and a total that is 34% of the true level."
c-FL0060800-pembroke-pines,2024,FL,FL0060800,token_reporting_flag,treat_missing_repair,,,high,0,"Do not keep 411. This is an offense-truncated feed, not a time-truncated one, so NO month-count uplift can repair it — the NIB vector 0/0/0/4/13/349/25 has murder, rape and robbery all at zero for a 175,757-population city while larceny carries 87% of the total. State how many months are believable: none cleanly; the roster's nibrs_start 2024-10-01 contradicts the NIB '12mo' label and implies at most 3 NIBRS months, and SRS says 8mo, and SPUB assumes 12 — all three lanes are the same broken feed with different labels. Own-history fill is NOT permitted: the last real full year is 2020 (2,704) and 2021, 2022 and 2023 are all SRS 0/0mo non-reports, so there is no real report within 2 years. Fill from peers (FL local_police, 100k-1M band) or from the 2020 anchor with a state trend adjustment, and flag the whole 2021-2024 block as a four-year hole."
c-FL0130500-homestead,2024,FL,FL0130500,token_reporting_flag,flag_review,,,high,0,"Treat 2024 as a structural non-report and discard all seven SPUB values. The FBI submission record for FL0130500 in 2024 is SRS 0/0mo with no NIBRS row (roster nibrs_start 2025-01-01) — the agency submitted nothing at all — so a 50-offense FDLE row cannot be a full year for an 82,094-population city. Own-history fill IS permitted: the last real full year is 2022 (2,589), within the 2-year window, so fill the entire vector from the 2022 level and split. The current EST2024 of 2,223.5 is right in magnitude but the vector is not defensible: it keeps murder=0 and rape=7 as 'observed' from the fragment and fabricates only the other five, so Homestead enters the panel with zero homicides in 2024 (it runs roughly 5-10/yr) next to a full-year larceny of 1,402. PIPELINE GAP: _drop_state_publication_non_reports keys on SPUB == 0 exactly; this row is SPUB == 50 sitting on a 0-month FBI year and therefore evades the rule. Re-key the rule on 'SPUB total implies an implausible fraction of own history or of the FBI lane', not on equality with zero."
c-IN0450500-gary,2024,IN,IN0450500,token_reporting_flag,partial_year_uplift,3,2448,high,0,"A genuine 3-month partial mislabeled complete, not a token report. Believable months: 3 (both NIB and SRS state months_reported=3). Correct repair is uniform annualization across all seven offenses: 612 x 12/3 = ~2,448, i.e. 4/16/11/106/67/305/103 x4 = 16/64/44/424/268/1220/412. That is 97% of the 2023 full year (2,514) and 113% of the 2021-2023 baseline median (2,162), confirming the multiplier. The current EST2024 of 1,527 is NOT defensible: it applied true_partial_month_ratio to larceny alone (305 -> 1,220) and left the other six offenses at 3-month values, yielding 62% of the true level and a vector where larceny is annualized and murder, robbery and burglary are not."
c-FL0030100-panama-city,2024,FL,FL0030100,token_reporting_flag,flag_review,,,high,0,"This one needs no estimate at all — it is a pure lane-selection error, and it is the cleanest demonstration in the batch. A genuine full-year FBI submission exists in the panel: SRS 1,040 at 12mo, tier high, vector 3/21/9/205/147/616/39, which is 88% of the 2023 full year (1,182) and 82% of 2022 (1,269) — a normal year-over-year decline for a 37,318-population city. The ladder discarded it in favour of SPUB 31 (0/9/0/1/3/16/2) solely because 'publication_lane_standing' outranks measured FBI lanes and SPUB rows are assigned months_reported=12 / tier high / weight 1.0 by assumption (artifact 2). Set 2024 = SRS 1,040 as observed. The current EST2024 of 898.9 is NOT defensible on two counts: it fabricates (trend_log_linear x3) when a real observation is sitting in the panel, and it retains four fragment values as 'observed' (murder 0, rape 9, robbery 0, MVT 2) for a city that reported 3 murders and 39 MVTs in the SRS lane the same year."
c-CA0190I00-uprr-los-angeles-county,2024,CA,CA0190I00,genuine_low_crime,accept_observed,,,medium,0,"Keep 136 for 2024; EST2024 [observed x7] is defensible as-is. Do not apply the own-history collapse arm to this ORI: its caseload is episodic rather than trended (611 -> 1,934 -> 2,279 -> non-report -> 1,636 -> 75 -> 136), so an own-history median is not a valid baseline and the 8.3%-of-median figure is an artifact of the metric. Peer-rate comparison is structurally impossible here (FBIpop = 0 for all years) and its absence is not evidence in either direction. Recommend downstream carry this as observed-but-volatile rather than flagged. Note separately that a railroad ORI on 06:statewide_overlap_layer may double-count with LAPD/LASD for the same rail-yard incidents — a jurisdictional-overlap issue, not a reporting-completeness one."
c-FL0160300-jacksonville-beach,2024,FL,FL0160300,token_reporting_flag,partial_year_uplift,,3550,high,0,"Treat SPUB 67 as ~1 month of coverage (2 at the outside), not a 12-month year. Mark 2024 non-observed and fillable; EST2024=67 observed is indefensible. Anchor the fill to the agency's own last clean full year (2020 SRS 850 at 12 measured months), NOT the peer band: Jacksonville Beach runs ~3,550/100k historically against the 1,327/100k band median, so a peer fill (~318) would under-count by ~2.6x. The 2-year own-history window blocks this fill and should be relaxed by exception for agencies with a multi-year FBI submission gap. A 1-month uplift (67 x 12 = 804) lands independently at the same level, which corroborates ~800-850."
c-DCVA00000-united-states-department,2024,DC,DCVA00000,unclear_escalate,retain_current_flag_review,,,medium,1,Provisionally retain 291 without uplift; obtain the FBI ORI master and 2023–2024 Return-A contributor or facility mapping for DCVA00000 to identify the canonical agency coverage and geographic footprint.
c-FL0280300-sebring,2024,FL,FL0280300,token_reporting_flag,treat_missing_repair,0,4300,high,0,"structural_zero_treat_as_missing — 0 believable months. Mark 2024 non-observed and fillable; EST2024=1 is indefensible, and uplift cannot rescue it (1 x 12 = 12, still absurd for an 11,767-person city). Anchor the fill to the 2020 full-year SRS 468, not the peer band: Sebring runs ~4,300/100k historically against the 1,327/100k band median, so a peer fill (~156) under-counts by ~3x. Separately, a rule gap worth patching: _drop_state_publication_non_reports drops all-zero SPUB rows with 0 SRS months, but a single stray record (total 1) walks straight through it — the threshold should be near-zero, not exactly zero."
c-FL0290300-temple-terrace,2024,FL,FL0290300,token_reporting_flag,partial_year_uplift,,,high,0,"This is a lane-selection defect, not agency behaviour. The 2024 value should be the SRS 560 at 12 MEASURED months; EST2024=111 is indefensible. No fill or uplift is needed — the correct number is already in the panel and was discarded by the ladder. Systemic fix (this is the highest-value item in the batch): publication_lane_standing must not let a period-less SPUB row, whose months_reported=12 / tier high / weight 1.0 is assigned by assumption (artifact 2), outrank an FBI lane carrying a MEASURED 12-month count. Demote SPUB below any lane with a real months field."
c-FL0460200-fort-walton-beach,2024,FL,FL0460200,token_reporting_flag,partial_year_uplift,6,452,high,0,"At most 6 months believable, and even those are under-covered. Mark 2024 non-observed; EST2024=93 is indefensible. Preferred repair: own-history fill from 2022 (465) and 2023 (439), both real 12-month NIBRS/SRS years inside the 2-year window, giving ~452. Treat the 6-month uplift (93 x 2 = 186) as a hard floor only, not the estimate — motor vehicle theft at exactly 0 over a nominal half-year in a 22,871-person city shows the six months are themselves missing offense streams, which is why the uplift under-shoots history by ~55%."
c-FL0550100-st-augustine,2024,FL,FL0550100,token_reporting_flag,partial_year_uplift,7,486,high,0,"At most 7 months believable, and under-covered within those. Mark 2024 non-observed; EST2024=139 is indefensible. Preferred repair: own-history fill from 2022 (516) and 2023 (457), both real 12-month NIBRS/SRS years inside the 2-year window, giving ~486. The 7-month uplift (139 x 12/7 = 238) is a floor only — it still sits at ~52% of 2023, so the seven months are themselves partial."
c-FL0290600-tampa-international-airp,2024,FL,FL0290600,genuine_low_crime,accept_observed,,,high,0,"Accept 2024; EST2024=186 is defensible, though I would prefer the FBI 12-month NIBRS/SRS value of 182 on provenance grounds (measured months vs assumed) — the 2% difference is immaterial either way. The screen fired against a garbage baseline: the '2021-2023 median 1172' rests on a single wild SRS year sandwiched between 0 (2021, 1 month) and 92 (2023, 11 months), so the collapse is an artifact of the baseline, not of 2024. The real defect on this ORI is the footprint, not the count: an airport police department is carried at 12:statewide_overlap_layer w=1 (marked [mini_second_pass/reviewed]), smearing its mass across the whole of Florida. It should be a non-exclusive overlap on the airport polygon within Hillsborough County / Tampa."
c-FL0310300-vero-beach,2024,FL,FL0310300,token_reporting_flag,partial_year_uplift,,240,high,0,"Not a partial-month case — the NIBRS header really is 12 months — but an offense-stream gap, so partial-year uplift does not apply. Mark 2024 non-observed; EST2024=58 is indefensible. Do NOT fill from 2023 (81 at 11mo) even though it is inside the 2-year window: 2023 is itself degraded and filling from it propagates the defect. Anchor on the last uncompromised full year, 2020 SRS 284, cross-checked against a peer-band fill (1327.2/100k x 18,049 = ~240); the two agree at ~240-285, so either is defensible. Rule addition: a within-window own-history year that itself fails a composition check must be excluded as a fill source."
c-AR0340100-newport,2024,AR,AR0340100,genuine_low_crime,accept_observed,,,medium,0,"Keep 140 as observed; EST2024 (observed x7) is defensible. Add a watch flag only, no repair. All three lanes carry the identical 140/12mo so nothing larger was discarded by the ladder — the multi-lane hint is a non-issue here."
