source_id,source_type,title,publisher,url,accessed_date,relevance,notes
queue_row_local,local_repo,Overlap localization queue row for MA0096200,crimerisk-clone,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/overlap_localization_queue.parquet,2026-03-24,"Local repo evidence showing MA0096200 is currently anchored to Cambridge place and Middlesex County despite being a campus overlap row.","Useful for explaining why official-source review was needed to reject the default anchors."
hupd_about,official_web,About,Harvard University Police Department,https://www.hupd.harvard.edu/about,2026-03-24,"Primary HUPD identity and authority source stating HUPD is a full-service police department whose special state police officers have authority on Harvard-owned or controlled property and deputy-sheriff authority in Middlesex and Suffolk counties, with offices in Cambridge, Longwood, and 114 Western Ave.","Core source separating Harvard property jurisdiction from generic citywide policing."
hupd_locations,official_web,How do I get to the Harvard University Police Department,Harvard University Police Department,https://www.hupd.harvard.edu/faq/how-do-i-get-harvard-university-police-department,2026-03-24,"Official HUPD location source giving the Smith Campus Center, Longwood Campus Operations, and 114 Western Avenue office locations.","Useful corroboration that HUPD has active Cambridge, Longwood, and Allston operations."
hupd_clery_maps,official_web,Clery Geography Maps,Harvard University Police Department,https://www.hupd.harvard.edu/clery-geography-maps,2026-03-24,"Primary geometry source family. HUPD says these maps identify Harvard-owned and leased property and distinguish the patrol jurisdiction of the police agency across the university's campuses.","Best source for the exact custom-footprint build path."
hupd_asr_page,official_web,2024 Annual Security Report,Harvard University Police Department,https://www.hupd.harvard.edu/node/1556981,2026-03-24,"Official HUPD annual-report landing page that links the current ASR, campus criminal-statistics attachments, and campus Clery geography maps.","Useful index source tying the multi-campus Clery materials together."
hupd_asr_2024,official_pdf,2024 Annual Security Report,Harvard University Police Department,https://www.hupd.harvard.edu/sites/g/files/omnuum2276/files/2024-10/2024%20Annual%20Security%20Report%20101724.pdf,2026-03-24,"Primary official narrative source describing HUPD jurisdiction, partner agencies contributing statistics, and the university's additional campuses beyond Cambridge and Longwood.","Best single official report for provider distinction and multi-campus scope."
cambridge_clery_map_2025,official_pdf,Cambridge Campus Clery Geography Map,Harvard University Police Department,https://www.hupd.harvard.edu/sites/g/files/omnuum12486/files/2025-11/Cambridge%20Campus%20Clery%20Geography%20112525.pdf,2026-03-24,"Official HUPD campus map showing the Cambridge campus Clery geography and patrol-jurisdiction footprint, including Cambridge, Allston, and named Somerville housing such as Holden Green.","Critical source proving the main urban Harvard footprint is already multicity."
public_log_2025_11_04,official_pdf,Public Police Log for November 4 2025,Harvard University Police Department,https://www.hupd.harvard.edu/sites/g/files/omnuum12486/files/2025-11/110425_0.pdf,2026-03-24,"Official live-log example with incidents at Cambridge, Allston, and Longwood/Boston Harvard addresses in the same daily log.","Operational evidence that HUPD actively works more than one municipality and campus cluster."
public_log_2024_10_05,official_pdf,Public Police Log for October 5 2024,Harvard University Police Department,https://www.hupd.harvard.edu/sites/g/files/omnuum2276/files/2024-10/100524.pdf,2026-03-24,"Official live-log example showing a suspicious package investigation at 112 Holden Street in Somerville.","Concrete official evidence that Somerville Harvard housing is within HUPD's live operational geography."
public_log_2025_10_03,official_pdf,Public Police Log for October 3 2025,Harvard University Police Department,https://www.hupd.harvard.edu/sites/g/files/omnuum12486/files/2025-10/100325.pdf,2026-03-24,"Official live-log example showing HUPD action at 4 College Avenue in Somerville and a trespass warning covering all Harvard property.","Useful current corroboration that Somerville is an active HUPD service location rather than just a map artifact."
harvard_maps_directions,official_web,Maps and Directions,Harvard University,https://www.harvard.edu/visit/maps-directions/,2026-03-24,"Official Harvard map page stating that the university has robust campuses in the Longwood and Allston neighborhoods of Boston and listing official Cambridge and Boston school addresses.","Best university-wide source for the main Cambridge and Boston campus clusters."
harvard_factbook_physical_plant,official_web,Fact Book: Physical Plant,Harvard University Office of Institutional Research and Analytics,https://oira.harvard.edu/factbook/fact-book-physical-plant/,2026-03-24,"Official Harvard physical-plant table listing FY2024 buildings and land in Allston, Boston, Cambridge, Jamaica Plain, Roslindale, Somerville, Bedford, Petersham, and other Massachusetts communities.","Strong evidence that Harvard's Massachusetts property system extends beyond Cambridge and crosses multiple municipalities and counties."
huh_home,official_web,Harvard University Housing,Harvard University Housing,https://huhousing.harvard.edu/,2026-03-24,"Official housing overview stating Harvard apartments are located throughout Boston, Cambridge, and Somerville and near the Cambridge, Allston, and Longwood campuses.","Useful housing-system source for the Somerville component."
holden_green,official_web,Holden Green,Harvard University Housing,https://huhousing.harvard.edu/our-properties/holden-green,2026-03-24,"Official Harvard housing property page describing Holden Green as a Harvard housing complex on the Cambridge/Somerville line, with Somerville units at 112-307D Holden Street.","Best official source tying named Somerville Harvard housing to HUPD's broader Cambridge-campus footprint."
concord_field_station,official_web,Concord Field Station: About,Harvard Museum of Comparative Zoology / Harvard University,https://cfs.mcz.harvard.edu/about,2026-03-24,"Official Harvard page placing Concord Field Station in Bedford and describing nearby Harvard-owned conservation woods in Concord.","Confirms a named Massachusetts campus outside the Cambridge/Boston core that is part of Harvard's official campus system."
harvard_forest_visit,official_web,Visit Harvard Forest,Harvard Forest / Harvard University,https://harvardforest.fas.harvard.edu/visit/,2026-03-24,"Official Harvard Forest visit page locating the main campus at 324 North Main Street in Petersham.","Confirms a named Harvard Massachusetts campus outside Middlesex and Suffolk counties."
