ori9,class,evidence,source
AKATF0200,national_hq,BUREAU OF ATF ANCHORAGE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AKDI00100,installation,KATMAI NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AKDI00200,installation,MOUNT MCKINLEY NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AKDI00300,installation,SITKA NHP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AKDI00400,installation,GLACIER BAY NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AKFBIAN00,national_hq,FBI ANCHORAGE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ALATF0300,national_hq,BUREAU OF ATF MOBILE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ALATF0400,national_hq,BUREAU OF ATF MONTGOMERY; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ALATF0800,national_hq,BUREAU OF ATF HUNTSVILLE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ALATFBH00,national_hq,BUREAU OF ATF DISTRICT O; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ALDEA0100,national_hq,DEA BIRMINGHAM; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ALDI00100,installation,HORSESHOE BEND NMP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
ALDI00200,installation,NATCHEZ TRACE PARKWAY; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
ALDI00300,installation,POARCH CREEK TRIBAL; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
ALFBIBH00,national_hq,FBI BIRMINGHAM; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ALFBIMO00,national_hq,FBI MOBILE; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ALPO00100,national_hq,U S POSTAL INSPECTION S; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ARATFLR00,national_hq,BUREAU OF ATF LITTLE RO; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
ARDI00100,installation,FORT SMITH NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
ARDI00200,installation,HOT SPRINGS NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
ARDI00300,installation,PEA RIDGE NMP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
ARDI00400,installation,ARKANSAS POST NMEM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
ARDI00500,installation,BUFFALO NR; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
ARFBILR00,national_hq,FBI LITTLE ROCK; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZATF0200,national_hq,BUREAU OF ATF PHOENIX; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZATF0300,national_hq,BUREAU OF ATF TUCSON; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZATF0400,national_hq,BUREAU OF ATF FLAGSTAFF; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZATF0600,national_hq,BUREAU OF ATF SIERRA VIS; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZCBP1600,national_hq,U S CUSTOMS AND BORDER; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZCBP2500,national_hq,U S BORDER PATROL CASA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZDEA0400,national_hq,DEA PHOENIX; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZDEA0700,national_hq,DEA SIERRA VISTA; investigative departmental or field-office caseload has no fixed policing footprint,agency_master.parquet; agency_year_observations.parquet
AZDI00100,installation,GRAND CANYON NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI00200,installation,CORONDAO NMEM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI00300,installation,GLEN CANYON NRA; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI00400,installation,PETRIFIED FOREST NP; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI00500,installation,SAGUARO NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI00700,installation,CANYON DE CHELLY NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI00800,installation,HUBBELL TRAD POST NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI00900,installation,NAVAJO NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI01000,installation,SUNSET CRATER NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI01100,installation,WUPATKI NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI01200,installation,CASA GRANDE RUINS NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI01300,installation,CHIRICAHUA FT BOWIE NHS; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI01400,installation,MONTEZUMA CASTLE NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI01500,installation,ORGAN PIPE CASTUS NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI01600,installation,TONTO NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI01700,installation,TUMACACORI NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
AZDI01800,installation,TUZIGOOT NM; DOI/BIA ORI class identifies a park reservation or tribal footprint,agency_master.parquet; agency_year_observations.parquet
